"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_268435458_821741197_0.35_24_100_teratest_e07eab89-7cb7-43cc-91a0-5bd893eabf9b.csv",,,,"Date:","28 May 2016 18:47:26 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
1.242,0.126,97.917,0.694,0.000,0.022,331755.686,1027067.996,0.0,0.0,28.576,208.883,356.366,458.551,1464454046.490
13.608,0.624,85.768,0.0,0.0,0.0,0.0,0.0,11946.0,17860.0,0.0,0.0,910.0,1125.0,1464454047.491
12.484,0.375,87.141,0.0,0.0,0.0,0.0,0.0,2173.0,563.0,0.0,0.0,732.0,951.0,1464454048.491
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1554.0,451.0,0.0,0.0,646.0,832.0,1464454049.491
12.375,0.250,87.0,0.375,0.0,0.0,0.0,69632.0,1127.0,339.0,0.0,0.0,662.0,860.0,1464454050.491
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,2301.0,563.0,0.0,0.0,669.0,844.0,1464454051.490
12.484,0.125,87.391,0.0,0.0,0.0,0.0,0.0,1810.0,451.0,0.0,0.0,664.0,866.0,1464454052.491
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,1191.0,339.0,0.0,0.0,672.0,870.0,1464454053.491
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,2301.0,563.0,0.0,0.0,692.0,883.0,1464454054.491
12.155,0.376,86.967,0.501,0.0,0.0,0.0,16384.0,1682.0,451.0,0.0,0.0,670.0,872.0,1464454055.491
12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,687.0,922.0,1464454056.491
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,2109.0,563.0,0.0,0.0,683.0,863.0,1464454057.491
12.140,0.501,87.359,0.0,0.0,0.0,0.0,0.0,1554.0,451.0,0.0,0.0,683.0,892.0,1464454058.491
12.344,0.374,87.282,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,674.0,871.0,1464454059.491
12.155,0.251,87.093,0.501,0.0,0.0,0.0,16384.0,2173.0,563.0,0.0,0.0,696.0,896.0,1464454060.491
12.390,0.250,87.359,0.0,0.0,0.0,0.0,0.0,1554.0,451.0,0.0,0.0,664.0,865.0,1464454061.491
12.155,0.376,87.469,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,663.0,856.0,1464454062.491
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,2109.0,563.0,0.0,0.0,689.0,876.0,1464454063.491
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1554.0,451.0,0.0,0.0,662.0,871.0,1464454064.491
12.265,0.375,86.984,0.375,0.0,0.0,0.0,16384.0,1063.0,339.0,0.0,0.0,669.0,862.0,1464454065.491
12.110,0.499,87.391,0.0,0.0,0.0,0.0,0.0,2301.0,563.0,0.0,0.0,675.0,884.0,1464454066.491
12.406,0.125,87.469,0.0,0.0,0.0,0.0,0.0,1810.0,451.0,0.0,0.0,653.0,850.0,1464454067.491
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1559.0,457.0,0.0,0.0,663.0,870.0,1464454068.491
12.0,0.500,87.500,0.0,0.0,0.0,0.0,0.0,2429.0,563.0,0.0,0.0,658.0,836.0,1464454069.491
12.265,0.375,86.733,0.626,0.0,0.0,0.0,16384.0,1810.0,451.0,0.0,0.0,648.0,848.0,1464454070.491
12.484,0.125,87.391,0.0,0.0,0.0,0.0,73728.0,1127.0,339.0,0.0,0.0,682.0,842.0,1464454071.491
12.155,0.251,87.594,0.0,0.0,0.0,0.0,0.0,2109.0,563.0,0.0,0.0,654.0,848.0,1464454072.491
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,1618.0,451.0,0.0,0.0,629.0,816.0,1464454073.491
12.516,0.125,87.359,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,646.0,836.0,1464454074.491
12.0,0.500,86.875,0.625,0.0,0.0,0.0,28672.0,2109.0,563.0,0.0,0.0,656.0,851.0,1464454075.491
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,1554.0,451.0,0.0,0.0,648.0,848.0,1464454076.491
21.125,1.750,77.125,0.0,0.0,0.0,0.0,0.0,1255.0,339.0,0.0,0.0,1913.0,1635.0,1464454077.491
32.625,1.250,66.125,0.0,0.0,0.0,0.0,0.0,2237.0,563.0,0.0,0.0,1645.0,1276.0,1464454078.491
37.563,1.256,61.181,0.0,0.0,0.0,0.0,0.0,2071.0,761.0,0.0,0.0,1784.0,1306.0,1464454079.491
18.750,1.0,79.500,0.750,0.0,0.0,0.0,188416.0,1127.0,339.0,0.0,0.0,1071.0,1334.0,1464454080.491
12.344,0.499,87.157,0.0,0.0,0.0,0.0,77824.0,2365.0,563.0,0.0,0.0,697.0,860.0,1464454081.491
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1746.0,451.0,0.0,0.0,650.0,845.0,1464454082.491
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,1255.0,339.0,0.0,0.0,649.0,857.0,1464454083.491
12.281,0.125,87.594,0.0,0.0,0.0,0.0,0.0,2365.0,563.0,0.0,0.0,671.0,863.0,1464454084.491
12.360,0.375,87.266,0.0,0.0,0.0,0.0,0.0,1746.0,451.0,0.0,0.0,639.0,836.0,1464454085.491
12.375,0.250,86.625,0.750,0.0,0.0,0.0,180224.0,1063.0,339.0,0.0,0.0,662.0,864.0,1464454086.491
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,2173.0,563.0,0.0,0.0,656.0,838.0,1464454087.491
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,1682.0,451.0,0.0,0.0,656.0,861.0,1464454088.491
12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,1303.0,457.0,0.0,0.0,658.0,852.0,1464454089.491
12.030,0.501,87.469,0.0,0.0,0.0,0.0,0.0,2237.0,563.0,0.0,0.0,652.0,848.0,1464454090.491
12.390,0.125,87.109,0.375,0.0,0.0,0.0,16384.0,1746.0,451.0,0.0,0.0,652.0,852.0,1464454091.491
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,745.0,1010.0,1464454092.490
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2173.0,563.0,0.0,0.0,664.0,841.0,1464454093.491
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,1618.0,451.0,0.0,0.0,664.0,865.0,1464454094.491
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,681.0,880.0,1464454095.491
12.500,0.125,87.375,0.0,0.0,0.0,0.0,24576.0,2173.0,563.0,0.0,0.0,703.0,894.0,1464454096.491
12.235,0.375,87.391,0.0,0.0,0.0,0.0,0.0,1746.0,451.0,0.0,0.0,668.0,847.0,1464454097.491
12.140,0.501,87.359,0.0,0.0,0.0,0.0,0.0,1255.0,339.0,0.0,0.0,678.0,873.0,1464454098.491
12.281,0.125,87.594,0.0,0.0,0.0,0.0,0.0,2301.0,563.0,0.0,0.0,690.0,863.0,1464454099.491
12.484,0.375,86.891,0.250,0.0,0.0,98304.0,0.0,1746.0,451.0,98304.0,0.0,690.0,902.0,1464454100.491
12.250,0.250,87.125,0.375,0.0,0.0,0.0,98304.0,999.0,339.0,0.0,0.0,728.0,908.0,1464454101.491
12.155,0.376,87.469,0.0,0.0,0.0,0.0,0.0,2173.0,563.0,0.0,0.0,693.0,891.0,1464454102.491
12.390,0.250,87.359,0.0,0.0,0.0,0.0,0.0,1618.0,451.0,0.0,0.0,667.0,852.0,1464454103.491
12.110,0.499,87.391,0.0,0.0,0.0,0.0,0.0,1191.0,339.0,0.0,0.0,681.0,876.0,1464454104.491
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2109.0,563.0,0.0,0.0,676.0,848.0,1464454105.491
12.375,0.250,87.250,0.125,0.0,0.0,0.0,28672.0,1858.0,569.0,0.0,0.0,677.0,879.0,1464454106.491
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,683.0,891.0,1464454107.491
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2301.0,563.0,0.0,0.0,776.0,968.0,1464454108.491
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1554.0,451.0,0.0,0.0,664.0,847.0,1464454109.491
