"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_268435458_821741197_0.35_6_100_teratest_c5bf2f48-952a-44ff-a8e4-c2f5e00f8da3.csv",,,,"Date:","28 May 2016 18:36:36 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
1.234,0.126,97.925,0.694,0.000,0.022,331983.425,1027763.497,0.0,0.0,28.470,209.027,356.128,458.267,1464453396.290
13.608,0.375,86.017,0.0,0.0,0.0,0.0,0.0,13178.0,18014.0,0.0,0.0,909.0,1101.0,1464453397.291
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1900.0,451.0,0.0,0.0,695.0,888.0,1464453398.291
12.484,0.250,86.891,0.375,0.0,0.0,0.0,65536.0,1345.0,339.0,0.0,0.0,666.0,879.0,1464453399.291
12.375,0.250,87.375,0.0,0.0,0.0,0.0,196608.0,2455.0,653.0,0.0,0.0,725.0,863.0,1464453400.291
12.155,0.376,87.469,0.0,0.0,0.0,0.0,0.0,1746.0,451.0,0.0,0.0,651.0,837.0,1464453401.291
12.344,0.374,87.282,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,664.0,880.0,1464453402.291
12.390,0.250,87.359,0.0,0.0,0.0,0.0,0.0,2103.0,450.0,0.0,0.0,677.0,848.0,1464453403.291
12.375,0.250,87.0,0.375,0.0,0.0,0.0,40960.0,1291.0,451.0,0.0,0.0,666.0,869.0,1464453404.291
12.125,0.500,87.375,0.0,0.0,0.0,0.0,4096.0,1063.0,339.0,0.0,0.0,675.0,886.0,1464453405.291
12.140,0.501,87.359,0.0,0.0,0.0,0.0,0.0,2413.0,681.0,0.0,0.0,679.0,868.0,1464453406.291
12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,1682.0,451.0,0.0,0.0,658.0,861.0,1464453407.291
12.516,0.125,87.359,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,668.0,894.0,1464453408.291
12.375,0.250,87.0,0.375,0.0,0.0,0.0,16384.0,2109.0,563.0,0.0,0.0,666.0,858.0,1464453409.291
