"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_268435458_821741197_0.5_12_100_teratest_ec061947-7b10-420c-82f8-f5edf406f8cb.csv",,,,"Date:","28 May 2016 18:58:16 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
1.250,0.126,97.909,0.693,0.000,0.022,331528.316,1026371.515,0.0,0.0,28.729,208.740,356.609,458.844,1464454696.582
13.591,0.499,85.411,0.499,0.0,0.0,0.0,53248.0,12483.0,17902.0,0.0,0.0,952.0,1176.0,1464454697.583
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,689.0,877.0,1464454698.583
12.360,0.375,87.266,0.0,0.0,0.0,0.0,0.0,2173.0,563.0,0.0,0.0,697.0,872.0,1464454699.583
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1618.0,451.0,0.0,0.0,675.0,871.0,1464454700.583
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,680.0,880.0,1464454701.583
12.125,0.500,86.875,0.500,0.0,0.0,0.0,16384.0,2237.0,563.0,0.0,0.0,704.0,887.0,1464454702.583
12.406,0.125,87.469,0.0,0.0,0.0,0.0,0.0,1682.0,451.0,0.0,0.0,664.0,860.0,1464454703.583
12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,688.0,899.0,1464454704.583
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,2173.0,563.0,0.0,0.0,685.0,866.0,1464454705.583
12.250,0.500,87.250,0.0,0.0,0.0,0.0,0.0,1618.0,545.0,0.0,0.0,680.0,874.0,1464454706.583
12.375,0.250,86.875,0.500,0.0,0.0,0.0,16384.0,1431.0,457.0,0.0,0.0,692.0,901.0,1464454707.583
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,2109.0,563.0,0.0,0.0,765.0,984.0,1464454708.583
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1554.0,451.0,0.0,0.0,668.0,866.0,1464454709.583
12.155,0.251,87.594,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,684.0,866.0,1464454710.583
12.344,0.374,87.157,0.0,0.0,0.125,0.0,0.0,2301.0,627.0,0.0,0.0,706.0,884.0,1464454711.583
12.281,0.125,86.842,0.752,0.0,0.0,0.0,188416.0,1682.0,515.0,0.0,0.0,747.0,904.0,1464454712.583
12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,1063.0,403.0,0.0,0.0,681.0,880.0,1464454713.583
12.406,0.251,87.343,0.0,0.0,0.0,0.0,0.0,2109.0,563.0,0.0,0.0,693.0,871.0,1464454714.583
12.015,0.375,87.610,0.0,0.0,0.0,0.0,0.0,1682.0,451.0,0.0,0.0,659.0,847.0,1464454715.583
12.344,0.374,87.282,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,685.0,883.0,1464454716.583
12.406,0.251,87.093,0.251,0.0,0.0,0.0,57344.0,2173.0,563.0,0.0,0.0,679.0,883.0,1464454717.583
12.235,0.499,87.266,0.0,0.0,0.0,0.0,0.0,1618.0,451.0,0.0,0.0,668.0,869.0,1464454718.583
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,655.0,854.0,1464454719.583
12.171,0.251,87.578,0.0,0.0,0.0,0.0,0.0,2365.0,563.0,0.0,0.0,680.0,870.0,1464454720.583
12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,1746.0,451.0,0.0,0.0,658.0,859.0,1464454721.583
12.250,0.250,87.0,0.500,0.0,0.0,0.0,20480.0,1127.0,339.0,0.0,0.0,670.0,871.0,1464454722.583
12.265,0.501,87.234,0.0,0.0,0.0,0.0,0.0,2173.0,563.0,0.0,0.0,673.0,866.0,1464454723.583
12.140,0.250,87.610,0.0,0.0,0.0,0.0,0.0,1554.0,451.0,0.0,0.0,676.0,912.0,1464454724.583
12.594,0.125,87.282,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,662.0,857.0,1464454725.583
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,2173.0,563.0,0.0,0.0,670.0,852.0,1464454726.583
22.904,1.126,75.594,0.375,0.0,0.0,0.0,16384.0,1618.0,451.0,0.0,0.0,2008.0,1695.0,1464454727.583
33.458,1.248,65.293,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,1611.0,1290.0,1464454728.583
19.725,0.749,79.526,0.0,0.0,0.0,0.0,0.0,2301.0,714.0,0.0,0.0,999.0,984.0,1464454729.583
29.198,0.877,69.925,0.0,0.0,0.0,0.0,0.0,2311.0,815.0,0.0,0.0,1225.0,1174.0,1464454730.583
16.416,1.003,82.581,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,1021.0,1309.0,1464454731.583
12.235,0.375,86.517,0.874,0.0,0.0,0.0,372736.0,2237.0,563.0,0.0,0.0,763.0,921.0,1464454732.583
12.171,0.251,87.578,0.0,0.0,0.0,0.0,0.0,1682.0,451.0,0.0,0.0,667.0,862.0,1464454733.583
