"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_268435458_821741197_0.5_24_100_teratest_cca6be56-bd8c-4383-8be1-a6816a93bc27.csv",,,,"Date:","31 May 2016 12:03:01 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.622,0.304,93.972,1.056,0.000,0.045,489723.053,2023224.884,0.0,0.0,203.260,554.288,804.783,977.010,1464688981.193
1.005,0.126,98.869,0.0,0.0,0.0,0.0,0.0,10731.0,16130.0,0.0,0.0,616.0,1133.0,1464688982.194
0.125,0.0,99.501,0.375,0.0,0.0,0.0,69632.0,1130.0,403.0,0.0,0.0,375.0,805.0,1464688983.194
0.0,0.0,100.0,0.0,0.0,0.0,0.0,249856.0,2372.0,971.0,0.0,0.0,438.0,828.0,1464688984.194
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,377.0,825.0,1464688985.194
0.0,0.249,99.751,0.0,0.0,0.0,0.0,0.0,1130.0,339.0,0.0,0.0,365.0,809.0,1464688986.194
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,384.0,839.0,1464688987.194
0.125,0.0,99.499,0.376,0.0,0.0,0.0,49152.0,2007.0,450.0,0.0,0.0,409.0,863.0,1464688988.194
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1322.0,339.0,0.0,0.0,354.0,803.0,1464688989.194
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2436.0,561.0,0.0,0.0,368.0,818.0,1464688990.194
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2007.0,450.0,0.0,0.0,375.0,817.0,1464688991.194
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1322.0,339.0,0.0,0.0,363.0,826.0,1464688992.194
0.0,0.0,99.499,0.501,0.0,0.0,0.0,16384.0,2894.0,679.0,0.0,0.0,396.0,834.0,1464688993.194
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2007.0,450.0,0.0,0.0,390.0,846.0,1464688994.194
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1412.0,339.0,0.0,0.0,376.0,818.0,1464688995.194
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2526.0,561.0,0.0,0.0,372.0,802.0,1464688996.194
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1623.0,540.0,0.0,0.0,377.0,828.0,1464688997.194
0.0,0.0,99.499,0.501,0.0,0.0,0.0,16384.0,1066.0,433.0,0.0,0.0,363.0,810.0,1464688998.194
0.125,0.125,99.500,0.250,0.0,0.0,98304.0,8192.0,2180.0,561.0,98304.0,0.0,456.0,922.0,1464688999.194
0.250,0.0,99.625,0.125,0.0,0.0,32768.0,0.0,1687.0,450.0,32768.0,0.0,393.0,823.0,1464689000.194
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1066.0,339.0,0.0,0.0,360.0,799.0,1464689001.194
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2334.0,907.0,0.0,0.0,369.0,794.0,1464689002.194
0.0,0.0,99.625,0.375,0.0,0.0,0.0,28672.0,1623.0,450.0,0.0,0.0,372.0,829.0,1464689003.194
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1130.0,339.0,0.0,0.0,359.0,808.0,1464689004.194
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,2116.0,561.0,0.0,0.0,392.0,813.0,1464689005.194
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1559.0,450.0,0.0,0.0,367.0,798.0,1464689006.194
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1130.0,339.0,0.0,0.0,370.0,823.0,1464689007.194
0.0,0.125,99.375,0.500,0.0,0.0,0.0,16384.0,2180.0,561.0,0.0,0.0,385.0,837.0,1464689008.194
0.250,0.0,99.750,0.0,0.0,0.0,0.0,73728.0,1559.0,450.0,0.0,0.0,412.0,841.0,1464689009.194
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1066.0,339.0,0.0,0.0,369.0,815.0,1464689010.194
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2244.0,561.0,0.0,0.0,379.0,816.0,1464689011.194
9.512,1.752,88.736,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,1749.0,1695.0,1464689012.194
20.750,1.375,77.0,0.875,0.0,0.0,0.0,200704.0,1002.0,339.0,0.0,0.0,1507.0,1240.0,1464689013.194
