"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_268435458_821741197_0.5_6_100_teratest_1277bb54-234f-4af3-9f6b-6f78fe084972.csv",,,,"Date:","28 May 2016 18:52:51 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
1.246,0.126,97.913,0.693,0.000,0.022,331641.981,1026719.403,0.0,0.0,28.670,208.812,356.487,458.698,1464454371.534
13.517,0.375,85.607,0.501,0.0,0.0,0.0,163840.0,13102.0,17874.0,0.0,0.0,958.0,1143.0,1464454372.535
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1618.0,451.0,0.0,0.0,665.0,858.0,1464454373.535
12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,680.0,880.0,1464454374.535
12.140,0.501,87.359,0.0,0.0,0.0,0.0,0.0,2109.0,563.0,0.0,0.0,668.0,858.0,1464454375.535
12.281,0.125,87.594,0.0,0.0,0.0,0.0,0.0,1554.0,451.0,0.0,0.0,681.0,896.0,1464454376.535
12.125,0.375,87.0,0.500,0.0,0.0,0.0,77824.0,1127.0,339.0,0.0,0.0,696.0,907.0,1464454377.535
12.155,0.376,87.469,0.0,0.0,0.0,0.0,0.0,2301.0,563.0,0.0,0.0,690.0,900.0,1464454378.535
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,1746.0,451.0,0.0,0.0,672.0,861.0,1464454379.535
12.375,0.250,87.250,0.125,0.0,0.0,32768.0,0.0,1127.0,339.0,32768.0,0.0,695.0,879.0,1464454380.535
12.484,0.375,87.141,0.0,0.0,0.0,0.0,0.0,2365.0,563.0,0.0,0.0,695.0,882.0,1464454381.535
12.296,0.125,87.202,0.376,0.0,0.0,0.0,20480.0,1618.0,451.0,0.0,0.0,667.0,877.0,1464454382.535
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,675.0,883.0,1464454383.535
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2173.0,563.0,0.0,0.0,695.0,889.0,1464454384.535
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,1682.0,451.0,0.0,0.0,657.0,841.0,1464454385.535
12.095,0.623,87.282,0.0,0.0,0.0,0.0,0.0,1255.0,339.0,0.0,0.0,671.0,865.0,1464454386.535
12.140,0.375,86.984,0.501,0.0,0.0,0.0,16384.0,2237.0,563.0,0.0,0.0,682.0,880.0,1464454387.535
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,1618.0,451.0,0.0,0.0,671.0,869.0,1464454388.535
12.125,0.375,87.500,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,676.0,882.0,1464454389.535
12.406,0.125,87.469,0.0,0.0,0.0,0.0,0.0,2413.0,681.0,0.0,0.0,686.0,868.0,1464454390.535
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1682.0,451.0,0.0,0.0,671.0,863.0,1464454391.535
12.375,0.250,87.0,0.375,0.0,0.0,0.0,16384.0,1191.0,339.0,0.0,0.0,692.0,899.0,1464454392.535
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,2301.0,563.0,0.0,0.0,687.0,871.0,1464454393.535
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,1874.0,451.0,0.0,0.0,675.0,870.0,1464454394.535
12.344,0.374,87.282,0.0,0.0,0.0,0.0,0.0,1153.0,339.0,0.0,0.0,660.0,852.0,1464454395.535
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2109.0,563.0,0.0,0.0,682.0,886.0,1464454396.535
12.281,0.251,86.842,0.627,0.0,0.0,0.0,151552.0,1708.0,451.0,0.0,0.0,720.0,883.0,1464454397.535
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,673.0,870.0,1464454398.535
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2327.0,563.0,0.0,0.0,659.0,843.0,1464454399.535
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1682.0,451.0,0.0,0.0,649.0,838.0,1464454400.535
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,661.0,866.0,1464454401.535
22.904,1.502,74.844,0.751,0.0,0.0,0.0,135168.0,2173.0,563.0,0.0,0.0,2091.0,1683.0,1464454402.535
33.960,1.504,64.536,0.0,0.0,0.0,0.0,0.0,1708.0,451.0,0.0,0.0,1783.0,1246.0,1464454403.535
35.132,1.255,63.614,0.0,0.0,0.0,0.0,0.0,1580.0,649.0,0.0,0.0,1705.0,1562.0,1464454404.535
17.750,1.0,81.125,0.0,0.0,0.125,0.0,0.0,2698.0,653.0,0.0,0.0,1045.0,1307.0,1464454405.535
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,1858.0,569.0,0.0,0.0,677.0,876.0,1464454406.535
12.296,0.376,86.575,0.753,0.0,0.0,0.0,139264.0,1191.0,339.0,0.0,0.0,679.0,874.0,1464454407.535
12.235,0.499,87.266,0.0,0.0,0.0,0.0,0.0,2173.0,563.0,0.0,0.0,751.0,969.0,1464454408.535
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1554.0,451.0,0.0,0.0,653.0,837.0,1464454409.535
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,652.0,853.0,1464454410.535
12.360,0.375,87.266,0.0,0.0,0.0,0.0,0.0,2173.0,563.0,0.0,0.0,668.0,847.0,1464454411.535
12.265,0.250,86.859,0.626,0.0,0.0,0.0,20480.0,1810.0,451.0,0.0,0.0,683.0,900.0,1464454412.535
12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,1191.0,339.0,0.0,0.0,664.0,869.0,1464454413.535
12.171,0.251,87.578,0.0,0.0,0.0,0.0,0.0,2301.0,563.0,0.0,0.0,679.0,871.0,1464454414.535
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1554.0,451.0,0.0,0.0,652.0,847.0,1464454415.535
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,663.0,874.0,1464454416.535
12.625,0.0,86.875,0.500,0.0,0.0,0.0,16384.0,2173.0,563.0,0.0,0.0,673.0,860.0,1464454417.535
