"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_268435458_821741197_0.5_6_100_teratest_1e3f8a6d-2b31-4071-8026-0120532731bc.csv",,,,"Date:","31 May 2016 11:52:11 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.624,0.304,93.969,1.057,0.000,0.045,489990.540,2024326.937,0.0,0.0,202.567,554.593,804.983,977.070,1464688331.397
1.494,0.249,98.257,0.0,0.0,0.0,0.0,0.0,11943.0,17650.0,0.0,0.0,628.0,1109.0,1464688332.398
0.125,0.0,99.875,0.0,0.0,0.0,0.0,8192.0,2180.0,561.0,0.0,0.0,384.0,814.0,1464688333.398
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,369.0,798.0,1464688334.398
0.0,0.0,99.875,0.125,0.0,0.0,0.0,53248.0,1130.0,339.0,0.0,0.0,379.0,827.0,1464688335.398
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2308.0,561.0,0.0,0.0,383.0,848.0,1464688336.398
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1751.0,450.0,0.0,0.0,392.0,863.0,1464688337.398
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1066.0,339.0,0.0,0.0,464.0,1004.0,1464688338.398
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,368.0,808.0,1464688339.398
0.0,0.0,99.500,0.500,0.0,0.0,0.0,20480.0,1623.0,450.0,0.0,0.0,412.0,870.0,1464688340.398
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1194.0,339.0,0.0,0.0,353.0,775.0,1464688341.398
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,369.0,803.0,1464688342.398
0.125,0.0,99.875,0.0,0.0,0.0,0.0,73728.0,1751.0,450.0,0.0,0.0,422.0,842.0,1464688343.398
