"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_67108864_102717648_0.5_24_100_teratest_7e875144-d930-4281-a786-0123b8554691.csv",,,,"Date:","31 May 2016 14:02:50 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.698,0.315,93.877,1.064,0.000,0.047,486960.155,2103902.848,0.0,0.0,229.659,550.937,819.168,991.870,1464696170.605
1.377,0.125,98.498,0.0,0.0,0.0,0.0,28672.0,12558.0,17831.0,0.0,0.0,729.0,1177.0,1464696171.606
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1879.0,515.0,0.0,0.0,492.0,918.0,1464696172.606
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2055.0,633.0,0.0,0.0,496.0,917.0,1464696173.606
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1879.0,514.0,0.0,0.0,488.0,923.0,1464696174.606
0.125,0.0,99.374,0.501,0.0,0.0,0.0,147456.0,1815.0,451.0,0.0,0.0,484.0,920.0,1464696175.606
0.125,0.125,99.375,0.375,0.0,0.0,0.0,1728512.0,1879.0,451.0,0.0,0.0,622.0,933.0,1464696176.606
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1815.0,450.0,0.0,0.0,489.0,917.0,1464696177.606
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1815.0,451.0,0.0,0.0,488.0,929.0,1464696178.606
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1687.0,451.0,0.0,0.0,474.0,888.0,1464696179.606
0.125,0.0,99.001,0.874,0.0,0.0,0.0,188416.0,1559.0,450.0,0.0,0.0,483.0,925.0,1464696180.606
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1623.0,451.0,0.0,0.0,468.0,884.0,1464696181.606
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1623.0,451.0,0.0,0.0,467.0,875.0,1464696182.606
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,498.0,934.0,1464696183.606
0.0,0.125,99.625,0.250,0.0,0.0,32768.0,0.0,1623.0,451.0,32768.0,0.0,470.0,896.0,1464696184.606
0.125,0.0,99.500,0.375,0.0,0.0,0.0,16384.0,1559.0,451.0,0.0,0.0,489.0,919.0,1464696185.606
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,494.0,920.0,1464696186.606
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1623.0,451.0,0.0,0.0,504.0,941.0,1464696187.606
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1815.0,861.0,0.0,0.0,511.0,949.0,1464696188.606
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1863.0,568.0,0.0,0.0,502.0,937.0,1464696189.606
0.125,0.125,99.251,0.499,0.0,0.0,0.0,102400.0,1623.0,451.0,0.0,0.0,499.0,924.0,1464696190.606
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1623.0,451.0,0.0,0.0,494.0,919.0,1464696191.606
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,475.0,911.0,1464696192.606
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1623.0,451.0,0.0,0.0,478.0,892.0,1464696193.606
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1751.0,451.0,0.0,0.0,463.0,877.0,1464696194.606
0.125,0.0,99.500,0.375,0.0,0.0,0.0,98304.0,1623.0,450.0,0.0,0.0,500.0,946.0,1464696195.606
0.0,0.125,99.875,0.0,0.0,0.0,0.0,77824.0,1623.0,451.0,0.0,0.0,514.0,919.0,1464696196.606
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1687.0,451.0,0.0,0.0,490.0,913.0,1464696197.606
0.125,0.0,99.750,0.0,0.0,0.125,0.0,0.0,1623.0,450.0,0.0,0.0,476.0,913.0,1464696198.606
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1815.0,451.0,0.0,0.0,483.0,914.0,1464696199.606
0.0,0.125,99.499,0.375,0.0,0.0,0.0,110592.0,1879.0,451.0,0.0,0.0,489.0,911.0,1464696200.606
10.163,1.129,88.708,0.0,0.0,0.0,0.0,49152.0,2071.0,796.0,0.0,0.0,1697.0,1783.0,1464696201.606
21.178,0.627,78.195,0.0,0.0,0.0,0.0,0.0,1943.0,451.0,0.0,0.0,1354.0,1312.0,1464696202.606
24.436,1.003,74.561,0.0,0.0,0.0,0.0,0.0,2268.0,697.0,0.0,0.0,1929.0,1428.0,1464696203.606
30.241,1.017,68.107,0.254,0.0,0.381,0.0,4096.0,333355.0,3719.0,0.0,0.0,4562.0,5720.0,1464696204.606
14.912,0.501,82.080,2.506,0.0,0.0,0.0,344064.0,5130885.0,39159.0,0.0,0.0,2349.0,2326.0,1464696205.606
13.208,0.881,84.528,1.258,0.0,0.126,0.0,1077248.0,1150377.0,425508.0,0.0,0.0,2971.0,2492.0,1464696206.606
0.376,0.0,97.494,2.130,0.0,0.0,0.0,835584.0,1147629.0,20750.0,0.0,0.0,1187.0,1190.0,1464696207.606
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1140159.0,5701.0,0.0,0.0,868.0,972.0,1464696208.606
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,1140758.0,6420.0,0.0,0.0,974.0,1101.0,1464696209.606
0.125,0.0,99.123,0.752,0.0,0.0,0.0,294912.0,1142566.0,7162.0,0.0,0.0,944.0,1054.0,1464696210.606
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,1141079.0,7425.0,0.0,0.0,923.0,1002.0,1464696211.606
0.376,0.125,98.747,0.752,0.0,0.0,0.0,16384.0,1142568.0,7041.0,0.0,0.0,1037.0,1125.0,1464696212.606
0.375,0.250,99.249,0.125,0.0,0.0,0.0,4096.0,1142884.0,7235.0,0.0,0.0,853.0,1056.0,1464696213.606
9.811,1.761,88.302,0.0,0.0,0.126,0.0,0.0,107583.0,11507.0,0.0,0.0,4175.0,5335.0,1464696214.606
89.686,8.176,2.138,0.0,0.0,0.0,0.0,438272.0,46553.0,120048.0,0.0,0.0,3567.0,4670.0,1464696215.606
96.746,3.129,0.125,0.0,0.0,0.0,0.0,1908736.0,3461.0,1303.0,0.0,0.0,2958.0,3143.0,1464696216.606
97.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8505.0,1654.0,0.0,0.0,2864.0,2838.0,1464696217.606
94.757,5.119,0.0,0.0,0.0,0.125,0.0,0.0,6765.0,3272.0,0.0,0.0,3393.0,2683.0,1464696218.606
