"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_67108864_102717648_0.5_6_100_teratest_fbf1cc51-5635-46f0-8ab5-580ad7b5cbdb.csv",,,,"Date:","31 May 2016 13:39:16 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.677,0.312,93.903,1.062,0.000,0.046,487524.754,2078794.411,0.0,0.0,215.899,551.593,815.291,988.172,1464694756.549
1.253,0.125,98.622,0.0,0.0,0.0,0.0,0.0,12488.0,17832.0,0.0,0.0,727.0,1174.0,1464694757.550
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1258.0,339.0,0.0,0.0,472.0,897.0,1464694758.550
0.0,0.0,99.625,0.375,0.0,0.0,0.0,86016.0,2436.0,562.0,0.0,0.0,473.0,889.0,1464694759.550
0.250,0.0,99.750,0.0,0.0,0.0,0.0,8192.0,1943.0,515.0,0.0,0.0,493.0,914.0,1464694760.550
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1322.0,403.0,0.0,0.0,468.0,882.0,1464694761.550
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2500.0,626.0,0.0,0.0,515.0,945.0,1464694762.550
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1815.0,451.0,0.0,0.0,564.0,1055.0,1464694763.550
0.125,0.0,99.625,0.250,0.0,0.0,0.0,28672.0,1168.0,226.0,0.0,0.0,482.0,907.0,1464694764.550
0.249,0.249,99.502,0.0,0.0,0.0,0.0,466944.0,2206.0,562.0,0.0,0.0,481.0,900.0,1464694765.550
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1623.0,451.0,0.0,0.0,478.0,907.0,1464694766.550
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1156.0,339.0,0.0,0.0,468.0,884.0,1464694767.550
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2356.0,680.0,0.0,0.0,488.0,923.0,1464694768.550
0.125,0.0,99.377,0.374,0.0,0.125,0.0,36864.0,1623.0,451.0,0.0,0.0,484.0,912.0,1464694769.550
0.125,0.0,99.875,0.0,0.0,0.0,0.0,8192.0,1258.0,749.0,0.0,0.0,469.0,893.0,1464694770.549
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2116.0,652.0,0.0,0.0,465.0,882.0,1464694771.550
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1559.0,451.0,0.0,0.0,475.0,907.0,1464694772.550
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1002.0,339.0,0.0,0.0,492.0,911.0,1464694773.550
0.0,0.0,99.500,0.500,0.0,0.0,0.0,24576.0,2116.0,562.0,0.0,0.0,472.0,887.0,1464694774.550
0.125,0.0,99.875,0.0,0.0,0.0,0.0,81920.0,1623.0,451.0,0.0,0.0,519.0,929.0,1464694775.550
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1002.0,339.0,0.0,0.0,481.0,921.0,1464694776.550
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2180.0,908.0,0.0,0.0,474.0,900.0,1464694777.550
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1623.0,451.0,0.0,0.0,509.0,955.0,1464694778.550
0.0,0.0,99.500,0.500,0.0,0.0,0.0,40960.0,1002.0,339.0,0.0,0.0,499.0,931.0,1464694779.550
0.125,0.0,100.0,-0.125,0.0,0.0,0.0,0.0,2244.0,656.0,0.0,0.0,485.0,922.0,1464694780.550
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1623.0,451.0,0.0,0.0,493.0,926.0,1464694781.550
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1194.0,339.0,0.0,0.0,512.0,954.0,1464694782.550
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2308.0,562.0,0.0,0.0,507.0,942.0,1464694783.550
0.0,0.0,99.624,0.376,0.0,0.0,0.0,16384.0,1879.0,451.0,0.0,0.0,493.0,933.0,1464694784.550
0.249,0.0,99.626,0.125,0.0,0.0,0.0,155648.0,1322.0,339.0,0.0,0.0,563.0,944.0,1464694785.550
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2372.0,908.0,0.0,0.0,466.0,888.0,1464694786.550
10.638,1.377,87.985,0.0,0.0,0.0,0.0,0.0,1879.0,451.0,0.0,0.0,1878.0,1832.0,1464694787.550
22.403,0.876,76.721,0.0,0.0,0.0,0.0,0.0,1258.0,339.0,0.0,0.0,1856.0,1477.0,1464694788.550
22.875,1.375,75.250,0.500,0.0,0.0,0.0,208896.0,2873.0,926.0,0.0,0.0,1697.0,1302.0,1464694789.550
29.962,0.896,67.734,1.280,0.0,0.128,0.0,1150976.0,3352568.0,32546.0,0.0,0.0,6010.0,6443.0,1464694790.550
14.912,0.752,81.955,2.256,0.0,0.125,0.0,77824.0,5802440.0,35209.0,0.0,0.0,2895.0,2615.0,1464694791.550
12.673,0.878,85.696,0.753,0.0,0.0,0.0,16384.0,1909818.0,428893.0,0.0,0.0,2754.0,2407.0,1464694792.550
0.376,0.0,99.624,0.0,0.0,0.0,0.0,0.0,1907653.0,118209.0,0.0,0.0,1442.0,1051.0,1464694793.550
0.375,0.0,99.249,0.375,0.0,0.0,0.0,299008.0,1898538.0,9089.0,0.0,0.0,1377.0,966.0,1464694794.550
0.0,0.126,99.245,0.629,0.0,0.0,0.0,4096.0,1900251.0,9685.0,0.0,0.0,1276.0,1023.0,1464694795.550
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,1900871.0,10198.0,0.0,0.0,1279.0,1022.0,1464694796.550
0.125,0.250,99.625,0.0,0.0,0.0,0.0,0.0,1900287.0,11348.0,0.0,0.0,1259.0,1000.0,1464694797.550
0.252,0.0,99.748,0.0,0.0,0.0,0.0,0.0,1899786.0,9382.0,0.0,0.0,1221.0,973.0,1464694798.550
0.625,0.125,98.250,1.0,0.0,0.0,0.0,139264.0,1693487.0,9859.0,0.0,0.0,1095.0,1200.0,1464694799.550
0.626,0.0,99.124,0.250,0.0,0.0,0.0,872448.0,145063.0,2503.0,0.0,0.0,712.0,1061.0,1464694800.550
0.375,0.125,99.499,0.0,0.0,0.0,0.0,0.0,17873.0,19936.0,0.0,0.0,796.0,1260.0,1464694801.550
33.755,5.183,61.062,0.0,0.0,0.0,0.0,0.0,24135.0,15165.0,0.0,0.0,4752.0,5407.0,1464694802.550
94.132,5.743,0.125,0.0,0.0,0.0,0.0,0.0,21866.0,2962.0,0.0,0.0,3073.0,3698.0,1464694803.550
94.125,5.750,0.0,0.0,0.0,0.125,0.0,667648.0,4088.0,1415.0,0.0,0.0,2913.0,2722.0,1464694804.550
94.757,5.119,0.0,0.0,0.0,0.125,0.0,4096.0,5087.0,2288.0,0.0,0.0,3237.0,2653.0,1464694805.550
95.363,4.511,0.125,0.0,0.0,0.0,0.0,0.0,5160.0,2294.0,0.0,0.0,3522.0,2538.0,1464694806.550
91.500,4.750,3.750,0.0,0.0,0.0,0.0,0.0,20776.0,11719.0,0.0,0.0,3309.0,3036.0,1464694807.550
96.875,3.0,0.0,0.0,0.0,0.125,0.0,0.0,3781.0,1304.0,0.0,0.0,3466.0,5522.0,1464694808.550
98.125,1.750,0.0,0.0,0.0,0.125,0.0,122880.0,3965.0,3554.0,0.0,0.0,3015.0,6736.0,1464694809.550
94.862,4.887,0.0,0.0,0.0,0.251,0.0,2842624.0,20641.0,56716.0,0.0,0.0,3569.0,3242.0,1464694810.550
88.360,11.139,0.375,0.0,0.0,0.125,0.0,0.0,9479.0,24833.0,0.0,0.0,3309.0,4511.0,1464694811.550
94.750,4.625,0.0,0.0,0.0,0.625,0.0,0.0,23215.0,5532157.0,0.0,0.0,4178.0,7082.0,1464694812.550
90.0,8.750,0.125,0.0,0.0,1.125,0.0,0.0,12891.0,3158777.0,0.0,0.0,7487.0,18874.0,1464694813.550
96.996,1.877,0.0,0.0,0.0,1.126,0.0,217088.0,13039776.0,55101.0,0.0,0.0,4920.0,5111.0,1464694814.550
99.750,0.250,0.0,0.0,0.0,0.0,0.0,4096.0,9485.0,880.0,0.0,0.0,2517.0,1274.0,1464694815.550
92.491,7.509,0.0,0.0,0.0,0.0,0.0,0.0,4372.0,1485.0,0.0,0.0,2671.0,2615.0,1464694816.550
80.476,19.524,0.0,0.0,0.0,0.0,0.0,0.0,5108.0,5443.0,0.0,0.0,2778.0,2800.0,1464694817.550
87.016,12.609,0.250,0.0,0.0,0.125,0.0,0.0,3716.0,4100.0,0.0,0.0,2779.0,2464.0,1464694818.550
79.725,20.275,0.0,0.0,0.0,0.0,0.0,110592.0,5064.0,1231.0,0.0,0.0,2768.0,5374.0,1464694819.550
74.969,16.771,8.260,0.0,0.0,0.0,0.0,0.0,8111.0,6111.0,0.0,0.0,2772.0,7628.0,1464694820.550
24.469,5.993,69.413,0.0,0.0,0.125,0.0,0.0,7174.0,7614.0,0.0,0.0,2270.0,2816.0,1464694821.550
4.025,6.792,89.057,0.126,0.0,0.0,0.0,4096.0,15342.0,10246.0,0.0,0.0,2936.0,5100.0,1464694822.550
0.626,0.250,98.999,0.125,0.0,0.0,0.0,4096.0,9896.0,11875.0,0.0,0.0,914.0,1529.0,1464694823.550
0.250,0.0,99.499,0.250,0.0,0.0,0.0,196608.0,7686.0,3202.0,0.0,0.0,649.0,1108.0,1464694824.550
0.125,0.0,99.373,0.501,0.0,0.0,0.0,4096.0,3856.0,1271.0,0.0,0.0,501.0,954.0,1464694825.550
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1955.0,663.0,0.0,0.0,512.0,955.0,1464694826.550
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,3118.0,1267.0,0.0,0.0,505.0,952.0,1464694827.550
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,4672.0,6369.0,0.0,0.0,547.0,987.0,1464694828.550
0.125,0.0,99.500,0.375,0.0,0.0,0.0,24576.0,3234.0,832.0,0.0,0.0,500.0,949.0,1464694829.550
0.125,0.251,94.486,5.138,0.0,0.0,0.0,32600064.0,9562.0,913.0,0.0,0.0,768.0,948.0,1464694830.550
0.125,0.125,88.986,10.763,0.0,0.0,4096.0,70922240.0,3573.0,943.0,0.0,0.0,704.0,960.0,1464694831.550
0.875,0.375,98.750,0.0,0.0,0.0,0.0,45232128.0,3190.0,1839.0,0.0,0.0,823.0,1241.0,1464694832.550
34.211,1.504,64.286,0.0,0.0,0.0,0.0,0.0,8460.0,1797.0,0.0,0.0,2475.0,2139.0,1464694833.550
68.096,5.044,26.860,0.0,0.0,0.0,0.0,405504.0,13710.0,5103.0,0.0,0.0,4166.0,3243.0,1464694834.550
92.462,5.528,1.884,0.0,0.0,0.126,0.0,4096.0,15574.0,3716.0,0.0,0.0,4276.0,3073.0,1464694835.550
96.245,3.755,0.0,0.0,0.0,0.0,0.0,13631488.0,4454.0,2641.0,0.0,0.0,3241.0,2517.0,1464694836.550
95.500,4.250,0.0,0.0,0.0,0.250,4096.0,75649024.0,6926.0,2540.0,0.0,0.0,3508.0,2602.0,1464694837.550
94.375,5.0,0.125,0.0,0.0,0.500,0.0,86650880.0,7384.0,6369.0,0.0,0.0,3677.0,4491.0,1464694838.550
96.0,3.625,0.125,0.0,0.0,0.250,4096.0,79839232.0,7453.0,8546.0,0.0,0.0,3517.0,4402.0,1464694839.550
96.250,3.375,0.0,0.0,0.0,0.375,4096.0,67006464.0,7146.0,11993.0,0.0,0.0,3266.0,4189.0,1464694840.550
96.125,3.500,0.0,0.0,0.0,0.375,0.0,86654976.0,7342.0,14292.0,0.0,0.0,3198.0,5668.0,1464694841.550
92.365,7.009,0.0,0.0,0.0,0.626,0.0,35307520.0,14933.0,42531.0,0.0,0.0,3962.0,5963.0,1464694842.550
90.476,8.396,0.501,0.0,0.0,0.627,0.0,0.0,7154.0,12593.0,0.0,0.0,3868.0,5892.0,1464694843.550
96.758,2.618,0.125,0.0,0.0,0.499,0.0,0.0,8339.0,14506.0,0.0,0.0,4298.0,8973.0,1464694844.550
93.242,5.006,0.501,0.0,0.0,1.252,0.0,180224.0,6047.0,6346.0,0.0,0.0,3105.0,16265.0,1464694845.550
93.875,5.750,0.250,0.0,0.0,0.125,0.0,0.0,211022.0,26457.0,0.0,0.0,2790.0,3359.0,1464694846.550
95.244,4.756,0.0,0.0,0.0,0.0,0.0,0.0,5195.0,7348.0,0.0,0.0,2622.0,1984.0,1464694847.550
84.125,15.875,0.0,0.0,0.0,0.0,0.0,0.0,4557.0,3050.0,0.0,0.0,2788.0,2320.0,1464694848.550
77.154,18.102,4.494,0.0,0.0,0.250,0.0,0.0,7493.0,7393.0,0.0,0.0,3252.0,5477.0,1464694849.550
25.689,7.393,66.917,0.0,0.0,0.0,0.0,155648.0,10868.0,11903.0,0.0,0.0,3451.0,4237.0,1464694850.550
33.250,5.144,60.979,0.627,0.0,0.0,0.0,12288.0,14426.0,6921.0,0.0,0.0,2708.0,2894.0,1464694851.550
25.251,2.513,72.236,0.0,0.0,0.0,0.0,0.0,10971.0,5894.0,0.0,0.0,3027.0,2856.0,1464694852.550
46.299,2.133,51.568,0.0,0.0,0.0,0.0,0.0,11260.0,5527.0,0.0,0.0,2861.0,1930.0,1464694853.550
55.668,3.149,40.932,0.0,0.0,0.252,0.0,0.0,17512.0,3192698.0,0.0,0.0,4661.0,2572.0,1464694854.550
85.031,4.528,8.931,0.881,0.0,0.629,0.0,348160.0,73746.0,12112283.0,0.0,0.0,5479.0,4183.0,1464694855.550
95.375,4.625,0.0,0.0,0.0,0.0,0.0,0.0,14517.0,2091019.0,0.0,0.0,3221.0,4009.0,1464694856.550
95.875,4.125,0.0,0.0,0.0,0.0,0.0,0.0,4759.0,4257.0,0.0,0.0,3010.0,2763.0,1464694857.550
94.750,4.875,0.125,0.0,0.0,0.250,0.0,0.0,5815.0,4691.0,0.0,0.0,3340.0,5096.0,1464694858.550
92.500,7.250,0.125,0.0,0.0,0.125,0.0,0.0,6579.0,4785.0,0.0,0.0,3744.0,3992.0,1464694859.550
95.750,4.125,0.0,0.0,0.0,0.125,0.0,307200.0,9586.0,6875.0,0.0,0.0,3181.0,4632.0,1464694860.550
95.369,4.255,0.0,0.0,0.0,0.375,0.0,274432.0,11989.0,5022.0,0.0,0.0,4575.0,7760.0,1464694861.550
95.494,4.506,0.0,0.0,0.0,0.0,0.0,0.0,281760.0,10304.0,0.0,0.0,3164.0,4763.0,1464694862.550
91.092,7.403,1.255,0.0,0.0,0.251,0.0,0.0,8830.0,19127.0,0.0,0.0,3318.0,4417.0,1464694863.550
88.986,10.263,0.375,0.0,0.0,0.375,0.0,0.0,13112.0,28204.0,0.0,0.0,4159.0,5792.0,1464694864.550
87.093,9.398,2.632,0.0,0.0,0.877,0.0,192512.0,12077.0,26260.0,0.0,0.0,5963.0,11564.0,1464694865.550
88.235,4.631,6.633,0.0,0.0,0.501,0.0,1081344.0,94856.0,10445.0,0.0,0.0,4320.0,3895.0,1464694866.550
94.361,3.885,1.754,0.0,0.0,0.0,0.0,0.0,14636.0,153493.0,0.0,0.0,3109.0,2552.0,1464694867.550
89.801,9.701,0.249,0.0,0.0,0.249,0.0,0.0,16368.0,141845.0,0.0,0.0,3014.0,2826.0,1464694868.552
86.902,12.972,0.126,0.0,0.0,0.0,0.0,0.0,12021.0,8139.0,0.0,0.0,3336.0,4172.0,1464694869.550
66.750,7.403,25.345,0.376,0.0,0.125,0.0,385024.0,19431.0,15839.0,0.0,0.0,4828.0,5225.0,1464694870.550
91.855,4.637,3.509,0.0,0.0,0.0,32768.0,1015808.0,22943.0,15881.0,32768.0,0.0,3406.0,4660.0,1464694871.550
94.500,5.125,0.0,0.0,0.0,0.375,0.0,0.0,7510.0,8493.0,0.0,0.0,3071.0,6588.0,1464694872.550
94.730,4.893,0.376,0.0,0.0,0.0,0.0,0.0,4566.0,2742.0,0.0,0.0,3426.0,2981.0,1464694873.550
96.245,3.504,0.250,0.0,0.0,0.0,0.0,0.0,5102.0,2760.0,0.0,0.0,3277.0,3075.0,1464694874.550
95.506,4.370,0.0,0.0,0.0,0.125,0.0,397312.0,5959.0,4438.0,32768.0,0.0,3766.0,5696.0,1464694875.550
94.243,5.632,0.0,0.0,0.0,0.125,32768.0,0.0,8066.0,7366.0,0.0,0.0,3998.0,5730.0,1464694876.550
96.754,3.121,0.125,0.0,0.0,0.0,0.0,0.0,5507.0,6860.0,0.0,0.0,3065.0,6165.0,1464694877.550
95.363,4.010,0.501,0.0,0.0,0.125,0.0,0.0,9614.0,15837.0,0.0,0.0,3177.0,3222.0,1464694878.550
85.338,13.158,1.378,0.0,0.0,0.125,0.0,0.0,11247.0,23476.0,0.0,0.0,3207.0,3737.0,1464694879.550
92.164,7.214,0.124,0.0,0.0,0.498,0.0,282624.0,14837.0,132249.0,0.0,0.0,5267.0,11208.0,1464694880.552
73.038,5.443,18.354,2.658,0.0,0.506,0.0,23068672.0,7556.0,9179.0,0.0,0.0,5815.0,7581.0,1464694881.550
90.727,3.133,4.261,1.504,0.0,0.376,4096.0,83509248.0,220449.0,174053.0,0.0,0.0,4276.0,2690.0,1464694882.550
91.990,5.131,1.252,0.125,0.0,1.502,4096.0,76091392.0,443603.0,32111676.0,0.0,0.0,8874.0,2721.0,1464694883.550
87.234,12.015,0.125,0.0,0.0,0.626,4096.0,79306752.0,182668.0,14177549.0,0.0,0.0,5146.0,2756.0,1464694884.550
53.526,8.312,27.834,8.942,0.0,1.385,4096.0,81600512.0,851694.0,44389048.0,0.0,0.0,10648.0,3679.0,1464694885.550
13.462,4.872,65.256,15.256,0.0,1.154,0.0,68751360.0,2090121.0,34314931.0,0.0,0.0,13140.0,7856.0,1464694886.550
30.819,14.564,45.124,6.372,0.0,3.121,4096.0,81854464.0,45693147.0,53232964.0,0.0,0.0,20357.0,9669.0,1464694887.550
54.499,12.853,25.835,1.414,0.0,5.398,4096.0,74518528.0,0.0,0.0,0.0,0.0,24550.0,14864.0,1464694888.550
67.651,5.135,24.262,0.0,0.0,2.953,0.0,26898432.0,175379338.0,122184176.0,0.0,0.0,18807.0,7130.0,1464694889.550
53.512,6.386,37.931,0.766,0.0,1.405,0.0,417792.0,925588.0,47691866.0,0.0,0.0,16741.0,7798.0,1464694890.550
73.864,12.121,9.722,0.0,0.0,4.293,0.0,6291456.0,60248228.0,31314652.0,0.0,0.0,16445.0,6280.0,1464694891.550
67.397,11.340,14.304,0.902,0.0,6.057,12288.0,63475712.0,70899153.0,26313238.0,0.0,0.0,26390.0,16671.0,1464694892.550
86.750,11.125,1.0,0.0,0.0,1.125,0.0,59260928.0,48392767.0,539990.0,0.0,0.0,8343.0,11481.0,1464694893.550
85.857,8.511,0.125,0.0,0.0,5.507,0.0,23339008.0,46132079.0,66903871.0,0.0,0.0,19454.0,7276.0,1464694894.549
89.750,7.250,0.0,0.0,0.0,3.0,0.0,11980800.0,63023785.0,36658976.0,0.0,0.0,12930.0,3730.0,1464694895.550
89.850,7.143,0.0,0.0,0.0,3.008,0.0,46563328.0,12375947.0,47942372.0,0.0,0.0,13288.0,5705.0,1464694896.550
87.375,6.875,0.875,0.0,0.0,4.875,0.0,0.0,42880090.0,50497670.0,0.0,0.0,17005.0,5989.0,1464694897.550
84.981,9.136,0.0,0.0,0.0,5.882,12288.0,72441856.0,95885860.0,64078674.0,0.0,0.0,19634.0,4928.0,1464694898.550
84.625,9.625,0.0,0.0,0.0,5.750,4096.0,82448384.0,84268194.0,64653533.0,0.0,0.0,17284.0,5586.0,1464694899.550
