"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_67108864_205435297_0.35_24_100_teratest_948b70d5-2b5e-4ccf-a3fe-411a4f1d7778.csv",,,,"Date:","28 May 2016 21:47:03 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
1.559,0.152,97.551,0.711,0.000,0.027,329994.224,1210711.882,0.0,0.0,54.127,209.783,392.717,492.307,1464464823.535
13.517,0.375,85.982,0.0,0.0,0.125,0.0,0.0,12202.0,17650.0,0.0,0.0,1000.0,1242.0,1464464824.536
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,1748.0,451.0,0.0,0.0,712.0,885.0,1464464825.536
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,2369.0,563.0,0.0,0.0,747.0,955.0,1464464826.536
12.250,0.250,87.250,0.250,0.0,0.0,0.0,106496.0,1063.0,339.0,0.0,0.0,766.0,986.0,1464464827.536
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,770.0,970.0,1464464828.536
12.015,0.626,87.359,0.0,0.0,0.0,0.0,0.0,2177.0,909.0,0.0,0.0,740.0,948.0,1464464829.536
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,730.0,922.0,1464464830.536
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,1748.0,451.0,0.0,0.0,774.0,995.0,1464464831.536
12.265,0.375,86.859,0.501,0.0,0.0,0.0,1695744.0,2241.0,563.0,0.0,0.0,778.0,982.0,1464464832.536
12.235,0.375,87.391,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,736.0,942.0,1464464833.536
12.155,0.376,87.469,0.0,0.0,0.0,0.0,0.0,1684.0,451.0,0.0,0.0,731.0,934.0,1464464834.536
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2113.0,909.0,0.0,0.0,730.0,915.0,1464464835.536
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,1239.0,457.0,0.0,0.0,764.0,1000.0,1464464836.536
12.281,0.251,86.967,0.501,0.0,0.0,0.0,319488.0,1620.0,451.0,0.0,0.0,820.0,929.0,1464464837.536
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2241.0,563.0,0.0,0.0,728.0,913.0,1464464838.536
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1255.0,339.0,0.0,0.0,723.0,918.0,1464464839.536
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1940.0,451.0,0.0,0.0,737.0,929.0,1464464840.536
12.500,0.125,87.375,0.0,0.0,0.0,0.0,0.0,2369.0,563.0,0.0,0.0,736.0,922.0,1464464841.536
12.015,0.501,86.984,0.501,0.0,0.0,0.0,16384.0,1191.0,339.0,0.0,0.0,735.0,938.0,1464464842.536
12.360,0.375,87.266,0.0,0.0,0.0,0.0,0.0,1684.0,451.0,0.0,0.0,761.0,957.0,1464464843.536
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,752.0,968.0,1464464844.536
12.015,0.501,87.484,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,707.0,902.0,1464464845.536
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,1556.0,451.0,0.0,0.0,745.0,961.0,1464464846.536
12.375,0.250,87.125,0.250,0.0,0.0,0.0,86016.0,2113.0,563.0,0.0,0.0,758.0,919.0,1464464847.536
12.045,0.376,87.578,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,741.0,958.0,1464464848.536
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1556.0,451.0,0.0,0.0,721.0,903.0,1464464849.536
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,744.0,947.0,1464464850.536
12.155,0.376,87.469,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,725.0,921.0,1464464851.536
12.265,0.250,87.109,0.375,0.0,0.0,0.0,36864.0,1556.0,451.0,0.0,0.0,733.0,936.0,1464464852.536
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,2241.0,909.0,0.0,0.0,742.0,938.0,1464464853.536
21.527,1.502,76.971,0.0,0.0,0.0,0.0,0.0,1255.0,339.0,0.0,0.0,2103.0,1793.0,1464464854.536
