"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_67108864_205435297_0.5_12_100_teratest_8b4ee8ae-11f7-45de-b23b-d7d347d7241d.csv",,,,"Date:","28 May 2016 22:17:19 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
1.633,0.158,97.465,0.716,0.000,0.028,329511.201,1261673.679,0.0,0.0,57.712,209.386,401.449,500.238,1464466639.933
13.267,0.626,86.108,0.0,0.0,0.0,0.0,0.0,12984.0,17944.0,0.0,0.0,1012.0,1211.0,1464466640.934
12.235,0.499,86.767,0.499,0.0,0.0,0.0,73728.0,1860.0,569.0,0.0,0.0,770.0,970.0,1464466641.934
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1191.0,749.0,0.0,0.0,751.0,939.0,1464466642.934
12.516,0.125,87.359,0.0,0.0,0.0,0.0,8192.0,2177.0,563.0,0.0,0.0,733.0,903.0,1464466643.934
12.265,0.125,87.610,0.0,0.0,0.0,0.0,0.0,1556.0,451.0,0.0,0.0,740.0,938.0,1464466644.934
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,734.0,907.0,1464466645.934
12.296,0.251,87.202,0.251,0.0,0.0,0.0,24576.0,2113.0,563.0,0.0,0.0,742.0,930.0,1464466646.934
12.235,0.499,87.266,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,737.0,917.0,1464466647.934
12.140,0.375,87.484,0.0,0.0,0.0,0.0,1097728.0,1255.0,339.0,0.0,0.0,768.0,940.0,1464466648.934
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,2369.0,909.0,0.0,0.0,712.0,885.0,1464466649.934
12.360,0.375,87.266,0.0,0.0,0.0,0.0,0.0,1748.0,451.0,0.0,0.0,721.0,901.0,1464466650.934
12.250,0.375,85.750,1.625,0.0,0.0,36864.0,81920.0,1127.0,339.0,0.0,0.0,773.0,973.0,1464466651.934
12.469,0.499,86.658,0.374,0.0,0.0,81920.0,0.0,2113.0,563.0,0.0,0.0,818.0,1056.0,1464466652.934
12.250,0.500,87.250,0.0,0.0,0.0,16384.0,274432.0,1620.0,451.0,0.0,0.0,848.0,971.0,1464466653.934
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1652.0,339.0,0.0,0.0,825.0,1040.0,1464466654.934
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,726.0,903.0,1464466655.934
12.360,0.250,86.891,0.499,0.0,0.0,0.0,135168.0,1556.0,451.0,0.0,0.0,744.0,940.0,1464466656.934
12.140,0.501,87.359,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,760.0,944.0,1464466657.934
12.375,0.375,87.250,0.0,0.0,0.0,0.0,0.0,2113.0,657.0,0.0,0.0,723.0,890.0,1464466658.934
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,1556.0,451.0,0.0,0.0,737.0,927.0,1464466659.934
12.469,0.249,87.157,0.0,0.0,0.125,0.0,0.0,999.0,685.0,0.0,0.0,725.0,904.0,1464466660.933
12.171,0.376,86.951,0.502,0.0,0.0,0.0,24576.0,2177.0,563.0,0.0,0.0,708.0,883.0,1464466661.933
12.125,0.375,87.500,0.0,0.0,0.0,0.0,0.0,1988.0,569.0,0.0,0.0,740.0,924.0,1464466662.934
12.250,0.375,87.375,0.0,0.0,0.0,0.0,73728.0,1191.0,339.0,0.0,0.0,748.0,888.0,1464466663.934
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,2369.0,563.0,0.0,0.0,749.0,952.0,1464466664.934
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,1812.0,451.0,0.0,0.0,744.0,934.0,1464466665.934
12.140,0.501,86.984,0.375,0.0,0.0,0.0,28672.0,1191.0,339.0,0.0,0.0,741.0,926.0,1464466666.934
