"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_67108864_205435297_0.5_24_100_teratest_6813ceeb-30ce-4b3b-a285-b5c19872d552.csv",,,,"Date:","28 May 2016 22:32:19 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
1.671,0.162,97.420,0.719,0.000,0.029,329591.720,1292808.308,0.0,0.0,58.238,209.190,406.263,504.778,1464467539.738
13.642,0.375,85.982,0.0,0.0,0.0,0.0,0.0,12421.0,17692.0,0.0,0.0,1047.0,1277.0,1464467540.738
12.235,0.375,87.391,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,732.0,915.0,1464467541.739
12.390,0.250,87.359,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,768.0,980.0,1464467542.739
12.390,0.125,87.109,0.375,0.0,0.0,0.0,188416.0,1924.0,569.0,0.0,0.0,801.0,948.0,1464467543.739
12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,768.0,978.0,1464467544.739
12.110,0.499,87.391,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,723.0,911.0,1464467545.739
12.171,0.251,87.578,0.0,0.0,0.0,0.0,0.0,1748.0,451.0,0.0,0.0,748.0,943.0,1464467546.739
12.344,0.374,87.282,0.0,0.0,0.0,0.0,0.0,1127.0,685.0,0.0,0.0,741.0,938.0,1464467547.739
12.155,0.376,86.842,0.627,0.0,0.0,0.0,774144.0,2177.0,563.0,0.0,0.0,770.0,979.0,1464467548.739
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,709.0,882.0,1464467549.739
12.125,0.375,87.500,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,715.0,893.0,1464467550.739
12.265,0.250,87.359,0.0,0.0,0.125,0.0,0.0,2107.0,450.0,0.0,0.0,729.0,914.0,1464467551.739
12.015,0.626,87.359,0.0,0.0,0.0,0.0,0.0,1293.0,451.0,0.0,0.0,752.0,957.0,1464467552.739
12.329,0.249,86.924,0.498,0.0,0.0,0.0,61440.0,999.0,339.0,0.0,0.0,751.0,955.0,1464467553.739
12.171,0.251,87.578,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,737.0,936.0,1464467554.739
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,1556.0,451.0,0.0,0.0,824.0,1065.0,1464467555.739
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,770.0,987.0,1464467556.739
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,735.0,939.0,1464467557.739
12.155,0.376,87.093,0.376,0.0,0.0,0.0,20480.0,1556.0,451.0,0.0,0.0,745.0,941.0,1464467558.739
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,734.0,932.0,1464467559.739
12.500,0.125,87.375,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,732.0,927.0,1464467560.739
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,755.0,973.0,1464467561.739
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,763.0,975.0,1464467562.739
12.250,0.375,86.875,0.500,0.0,0.0,0.0,221184.0,2177.0,563.0,0.0,0.0,788.0,926.0,1464467563.739
12.155,0.376,87.469,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,762.0,984.0,1464467564.739
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,1239.0,457.0,0.0,0.0,739.0,942.0,1464467565.739
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2357.0,563.0,0.0,0.0,757.0,984.0,1464467566.739
12.0,0.500,87.500,0.0,0.0,0.0,0.0,0.0,1556.0,451.0,0.0,0.0,730.0,920.0,1464467567.739
12.281,0.251,87.093,0.376,0.0,0.0,0.0,20480.0,1153.0,339.0,0.0,0.0,745.0,934.0,1464467568.739
12.155,0.376,87.469,0.0,0.0,0.0,0.0,0.0,2433.0,999.0,0.0,0.0,723.0,906.0,1464467569.739
22.875,1.500,75.375,0.250,0.0,0.0,4096.0,0.0,1748.0,451.0,0.0,0.0,1923.0,1727.0,1464467570.739
33.750,1.375,64.875,0.0,0.0,0.0,0.0,0.0,1255.0,339.0,0.0,0.0,1833.0,1433.0,1464467571.739
36.295,1.752,61.952,0.0,0.0,0.0,0.0,0.0,2784.0,809.0,0.0,0.0,2215.0,1588.0,1464467572.739
43.363,1.391,54.109,1.011,0.0,0.126,0.0,806912.0,1991753.0,16089.0,0.0,0.0,5095.0,4882.0,1464467573.739
25.157,0.503,71.069,3.270,0.0,0.0,0.0,671744.0,9948669.0,54512.0,0.0,0.0,2594.0,1615.0,1464467574.739
