"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_67108864_205435297_0.5_6_100_teratest_cf8ba0da-a26e-42d0-bbb4-6c982afe9c6a.csv",,,,"Date:","28 May 2016 22:02:16 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
1.596,0.155,97.507,0.714,0.000,0.027,329800.688,1237447.590,0.0,0.0,54.520,209.583,397.337,496.556,1464465736.613
13.375,0.250,86.0,0.375,0.0,0.0,0.0,21139456.0,12567.0,18042.0,0.0,0.0,1042.0,1225.0,1464465737.614
12.155,0.376,87.469,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,719.0,903.0,1464465738.614
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1796.0,569.0,0.0,0.0,722.0,903.0,1464465739.614
12.0,0.625,87.375,0.0,0.0,0.0,0.0,0.0,1684.0,451.0,0.0,0.0,727.0,895.0,1464465740.614
12.235,0.499,87.266,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,711.0,884.0,1464465741.614
12.030,0.501,86.967,0.501,0.0,0.0,0.0,16384.0,1684.0,451.0,0.0,0.0,731.0,914.0,1464465742.614
11.985,0.624,87.391,0.0,0.0,0.0,0.0,0.0,1684.0,451.0,0.0,0.0,711.0,881.0,1464465743.614
12.045,0.376,87.578,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,730.0,925.0,1464465744.614
12.204,0.498,87.173,0.0,0.0,0.125,0.0,0.0,1556.0,451.0,0.0,0.0,716.0,898.0,1464465745.614
12.030,0.501,87.093,0.376,0.0,0.0,16384.0,692224.0,1556.0,451.0,0.0,0.0,759.0,948.0,1464465746.614
12.375,0.250,87.125,0.250,0.0,0.0,0.0,110592.0,1902.0,797.0,0.0,0.0,739.0,928.0,1464465747.614
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,1556.0,451.0,0.0,0.0,755.0,954.0,1464465748.614
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,724.0,897.0,1464465749.614
12.015,0.626,86.984,0.375,0.0,0.0,32768.0,0.0,1620.0,451.0,0.0,0.0,760.0,973.0,1464465750.614
12.125,0.500,87.375,0.0,0.0,0.0,16384.0,94208.0,1556.0,451.0,0.0,0.0,789.0,968.0,1464465751.614
12.155,0.376,86.591,0.877,0.0,0.0,0.0,139264.0,1556.0,515.0,0.0,0.0,754.0,958.0,1464465752.614
