"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_67108864_205435297_0.95_12_100_teratest_2836e99a-4e1a-4a7d-ae61-5053605a3c8d.csv",,,,"Date:","31 May 2016 14:31:49 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.726,0.319,93.840,1.068,0.000,0.048,486261.326,2139112.591,0.0,0.0,241.233,550.133,825.159,997.799,1464697909.441
1.252,0.250,98.498,0.0,0.0,0.0,0.0,0.0,12580.0,17832.0,0.0,0.0,731.0,1181.0,1464697910.442
0.249,0.125,99.252,0.249,0.0,0.125,0.0,12288.0,1082.0,339.0,0.0,0.0,644.0,1171.0,1464697911.442
0.125,0.0,99.875,0.0,0.0,0.0,0.0,16384.0,2260.0,563.0,0.0,0.0,519.0,956.0,1464697912.442
0.125,0.0,99.750,0.125,0.0,0.0,0.0,86016.0,1703.0,523.0,0.0,0.0,479.0,917.0,1464697913.442
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1082.0,339.0,0.0,0.0,479.0,924.0,1464697914.442
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2196.0,563.0,0.0,0.0,502.0,940.0,1464697915.442
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1703.0,545.0,0.0,0.0,477.0,909.0,1464697916.442
0.125,0.0,99.875,0.0,0.0,0.0,0.0,278528.0,1386.0,457.0,0.0,0.0,487.0,922.0,1464697917.442
0.626,0.250,98.248,0.876,0.0,0.0,0.0,364544.0,2196.0,563.0,0.0,0.0,676.0,1261.0,1464697918.442
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1639.0,451.0,0.0,0.0,488.0,912.0,1464697919.442
