"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_67108864_205435297_0.95_6_100_teratest_052d8e3e-debe-4596-bab2-af336654406e.csv",,,,"Date:","31 May 2016 14:15:39 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.708,0.316,93.862,1.066,0.000,0.047,486645.878,2120398.137,0.0,0.0,229.728,550.581,821.888,994.597,1464696939.457
1.253,0.125,98.622,0.0,0.0,0.0,0.0,0.0,12981.0,17804.0,0.0,0.0,739.0,1183.0,1464696940.458
0.125,0.0,99.875,0.0,0.0,0.0,0.0,507904.0,1623.0,451.0,0.0,0.0,490.0,909.0,1464696941.458
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1002.0,339.0,0.0,0.0,501.0,936.0,1464696942.458
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2116.0,563.0,0.0,0.0,487.0,914.0,1464696943.458
0.125,0.0,99.375,0.500,0.0,0.0,0.0,86016.0,1623.0,451.0,0.0,0.0,506.0,952.0,1464696944.458
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1002.0,339.0,0.0,0.0,499.0,927.0,1464696945.458
0.0,0.0,99.750,0.250,0.0,0.0,0.0,1728512.0,2180.0,563.0,0.0,0.0,606.0,905.0,1464696946.458
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1687.0,451.0,0.0,0.0,506.0,953.0,1464696947.458
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1066.0,339.0,0.0,0.0,498.0,925.0,1464696948.458
0.125,0.125,99.250,0.500,0.0,0.0,0.0,53248.0,2116.0,563.0,0.0,0.0,489.0,915.0,1464696949.458
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1559.0,451.0,0.0,0.0,466.0,888.0,1464696950.458
0.125,0.0,99.875,0.0,0.0,0.0,0.0,81920.0,1066.0,685.0,0.0,0.0,534.0,944.0,1464696951.458
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2308.0,563.0,0.0,0.0,569.0,1061.0,1464696952.458
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1815.0,451.0,0.0,0.0,483.0,913.0,1464696953.458
0.0,0.125,99.0,0.875,0.0,0.0,0.0,155648.0,1258.0,339.0,0.0,0.0,501.0,929.0,1464696954.458
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2548.0,681.0,0.0,0.0,497.0,925.0,1464696955.458
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1751.0,451.0,0.0,0.0,474.0,893.0,1464696956.458
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1322.0,339.0,0.0,0.0,484.0,911.0,1464696957.458
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2244.0,563.0,0.0,0.0,483.0,908.0,1464696958.458
0.0,0.0,99.500,0.500,0.0,0.0,0.0,16384.0,1623.0,451.0,0.0,0.0,470.0,881.0,1464696959.458
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1002.0,339.0,0.0,0.0,492.0,939.0,1464696960.458
0.0,0.125,99.750,0.125,0.0,0.0,0.0,290816.0,2116.0,563.0,0.0,0.0,586.0,918.0,1464696961.458
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1687.0,797.0,0.0,0.0,485.0,922.0,1464696962.458
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1002.0,339.0,0.0,0.0,474.0,907.0,1464696963.457
0.0,0.0,99.499,0.501,0.0,0.0,0.0,98304.0,2116.0,563.0,0.0,0.0,486.0,910.0,1464696964.458
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1559.0,451.0,0.0,0.0,477.0,915.0,1464696965.458
0.0,0.0,99.875,0.125,0.0,0.0,0.0,155648.0,1002.0,339.0,0.0,0.0,552.0,926.0,1464696966.458
