"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_67108864_34239216_0.35_24_100_teratest_478478a5-3ca3-4b07-acef-e0b7abf2b589.csv",,,,"Date:","28 May 2016 19:27:49 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
1.288,0.129,97.867,0.694,0.000,0.022,330925.267,1039971.553,0.0,0.0,32.118,208.351,360.323,462.512,1464456469.205
13.750,0.375,85.500,0.375,0.0,0.0,0.0,65536.0,5106.0,3414.0,0.0,0.0,970.0,1164.0,1464456470.206
12.155,0.251,87.594,0.0,0.0,0.0,0.0,0.0,9191.0,14799.0,0.0,0.0,704.0,876.0,1464456471.206
12.235,0.499,87.266,0.0,0.0,0.0,0.0,0.0,1684.0,451.0,0.0,0.0,744.0,937.0,1464456472.206
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,700.0,858.0,1464456473.206
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1191.0,339.0,0.0,0.0,709.0,879.0,1464456474.206
12.390,0.125,86.984,0.501,0.0,0.0,0.0,16384.0,1860.0,569.0,0.0,0.0,721.0,892.0,1464456475.206
12.110,0.624,87.266,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,718.0,907.0,1464456476.206
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,999.0,339.0,0.0,0.0,710.0,879.0,1464456477.206
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1684.0,451.0,0.0,0.0,746.0,931.0,1464456478.206
12.250,0.375,87.375,0.0,0.0,0.0,0.0,532480.0,2241.0,563.0,0.0,0.0,745.0,887.0,1464456479.206
12.250,0.375,87.250,0.125,0.0,0.0,0.0,61440.0,1127.0,339.0,0.0,0.0,714.0,899.0,1464456480.206
12.484,0.250,87.266,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,725.0,890.0,1464456481.206
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,2241.0,563.0,0.0,0.0,707.0,892.0,1464456482.206
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,702.0,874.0,1464456483.206
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,1620.0,451.0,0.0,0.0,729.0,915.0,1464456484.206
12.375,0.250,86.875,0.500,0.0,0.0,0.0,24576.0,2177.0,563.0,0.0,0.0,732.0,915.0,1464456485.206
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,720.0,898.0,1464456486.206
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,1684.0,451.0,0.0,0.0,735.0,915.0,1464456487.206
12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2305.0,563.0,0.0,0.0,734.0,926.0,1464456488.206
12.125,0.500,87.375,0.0,0.0,0.0,0.0,0.0,1063.0,339.0,0.0,0.0,730.0,913.0,1464456489.206
12.375,0.250,86.750,0.625,0.0,0.0,0.0,16384.0,1684.0,451.0,0.0,0.0,745.0,923.0,1464456490.206
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,2305.0,563.0,0.0,0.0,710.0,885.0,1464456491.206
12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,1255.0,339.0,0.0,0.0,738.0,927.0,1464456492.206
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,1684.0,451.0,0.0,0.0,722.0,896.0,1464456493.206
