"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_67108864_34239216_0.5_12_100_teratest_f1d223ee-1bfb-45ff-870e-8f50db7178aa.csv",,,,"Date:","31 May 2016 12:46:25 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.637,0.306,93.955,1.057,0.000,0.045,488820.936,2035211.189,0.0,0.0,209.119,553.069,807.788,980.197,1464691585.837
1.126,0.250,98.623,0.0,0.0,0.0,0.0,499712.0,12436.0,18041.0,0.0,0.0,753.0,1193.0,1464691586.838
0.125,0.0,99.625,0.250,0.0,0.0,0.0,73728.0,1066.0,339.0,0.0,0.0,484.0,907.0,1464691587.838
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,487.0,916.0,1464691588.838
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1751.0,450.0,0.0,0.0,472.0,898.0,1464691589.838
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1386.0,339.0,0.0,0.0,495.0,927.0,1464691590.838
0.125,0.0,99.875,0.0,0.0,0.0,0.0,1085440.0,2372.0,561.0,0.0,0.0,517.0,938.0,1464691591.838
0.125,0.0,99.500,0.375,0.0,0.0,0.0,90112.0,1815.0,450.0,0.0,0.0,511.0,963.0,1464691592.838
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1130.0,339.0,0.0,0.0,471.0,893.0,1464691593.838
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2372.0,907.0,0.0,0.0,486.0,917.0,1464691594.838
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,482.0,921.0,1464691595.838
0.125,0.0,99.875,0.0,0.0,0.0,0.0,299008.0,1002.0,339.0,0.0,0.0,529.0,991.0,1464691596.838
0.0,0.0,99.624,0.376,0.0,0.0,0.0,98304.0,2116.0,561.0,0.0,0.0,524.0,965.0,1464691597.838
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,491.0,926.0,1464691598.838
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1002.0,339.0,0.0,0.0,499.0,929.0,1464691599.838
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,498.0,940.0,1464691600.838
0.125,0.0,99.875,0.0,0.0,0.0,0.0,253952.0,1863.0,568.0,0.0,0.0,573.0,945.0,1464691601.838
0.125,0.125,99.501,0.249,0.0,0.0,0.0,16384.0,1066.0,339.0,0.0,0.0,530.0,987.0,1464691602.838
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2244.0,561.0,0.0,0.0,493.0,931.0,1464691603.838
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,493.0,941.0,1464691604.838
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1002.0,339.0,0.0,0.0,492.0,919.0,1464691605.838
0.0,0.0,100.0,0.0,0.0,0.0,0.0,8192.0,2180.0,561.0,0.0,0.0,494.0,922.0,1464691606.838
0.125,0.125,99.376,0.375,0.0,0.0,0.0,20480.0,1879.0,450.0,0.0,0.0,499.0,937.0,1464691607.838
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1258.0,339.0,0.0,0.0,489.0,912.0,1464691608.838
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2372.0,561.0,0.0,0.0,478.0,902.0,1464691609.838
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1687.0,450.0,0.0,0.0,518.0,968.0,1464691610.838
0.375,0.0,99.374,0.250,0.0,0.0,0.0,81920.0,1130.0,339.0,0.0,0.0,705.0,1183.0,1464691611.838
0.125,0.125,99.501,0.249,0.0,0.0,0.0,49152.0,2244.0,561.0,0.0,0.0,481.0,914.0,1464691612.838
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1559.0,450.0,0.0,0.0,476.0,917.0,1464691613.838
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1002.0,685.0,0.0,0.0,485.0,926.0,1464691614.838
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2180.0,633.0,0.0,0.0,485.0,919.0,1464691615.838
9.774,1.128,88.972,0.125,0.0,0.0,0.0,172032.0,1559.0,450.0,0.0,0.0,1925.0,1849.0,1464691616.838
20.352,1.131,77.764,0.754,0.0,0.0,0.0,303104.0,1242.0,457.0,0.0,0.0,1631.0,1336.0,1464691617.838
23.500,1.375,75.125,0.0,0.0,0.0,0.0,0.0,2569.0,807.0,0.0,0.0,1783.0,1408.0,1464691618.838
30.789,0.636,67.684,0.509,0.0,0.382,0.0,8192.0,1559.0,514.0,0.0,0.0,4606.0,5521.0,1464691619.838
13.693,0.879,82.915,2.387,0.0,0.126,0.0,81920.0,6921652.0,40555.0,0.0,0.0,2513.0,2633.0,1464691620.838
12.641,0.876,81.227,5.257,0.0,0.0,0.0,1536000.0,1527888.0,310854.0,0.0,0.0,2403.0,2116.0,1464691621.838
