"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_67108864_34239216_0.5_6_100_teratest_b3ef7a32-0e8d-4ae9-8f1e-2656bb5b5fb1.csv",,,,"Date:","28 May 2016 19:36:33 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
1.301,0.129,97.853,0.694,0.000,0.022,330743.062,1043447.186,0.0,0.0,32.410,208.236,361.523,463.634,1464456993.582
13.733,0.499,85.768,0.0,0.0,0.0,0.0,0.0,12984.0,18014.0,0.0,0.0,977.0,1157.0,1464456994.583
12.375,0.250,86.875,0.500,0.0,0.0,0.0,77824.0,999.0,339.0,0.0,0.0,705.0,893.0,1464456995.583
12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,1556.0,451.0,0.0,0.0,723.0,928.0,1464456996.583
12.390,0.250,87.359,0.0,0.0,0.0,0.0,0.0,2113.0,563.0,0.0,0.0,731.0,922.0,1464456997.583
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,1127.0,339.0,0.0,0.0,722.0,910.0,1464456998.583
12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,1684.0,451.0,0.0,0.0,729.0,922.0,1464456999.583
12.250,0.375,86.875,0.500,0.0,0.0,0.0,1417216.0,2113.0,563.0,0.0,0.0,803.0,917.0,1464457000.583
12.171,0.251,87.578,0.0,0.0,0.0,0.0,0.0,1575.0,339.0,0.0,0.0,708.0,892.0,1464457001.583
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1684.0,451.0,0.0,0.0,720.0,923.0,1464457002.583
12.140,0.250,87.610,0.0,0.0,0.0,0.0,0.0,2433.0,563.0,0.0,0.0,717.0,889.0,1464457003.583
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,1255.0,339.0,0.0,0.0,722.0,923.0,1464457004.583
12.281,0.251,87.093,0.376,0.0,0.0,0.0,61440.0,1812.0,451.0,0.0,0.0,729.0,920.0,1464457005.583
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,2433.0,563.0,0.0,0.0,731.0,917.0,1464457006.583
12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,1255.0,339.0,0.0,0.0,711.0,903.0,1464457007.583
12.171,0.251,87.578,0.0,0.0,0.0,0.0,0.0,1748.0,451.0,0.0,0.0,734.0,948.0,1464457008.583
12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,2177.0,563.0,0.0,0.0,737.0,947.0,1464457009.583
12.171,0.251,87.077,0.502,0.0,0.0,0.0,45056.0,1063.0,339.0,0.0,0.0,704.0,897.0,1464457010.583
12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,1716.0,451.0,0.0,0.0,715.0,911.0,1464457011.583
12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,2209.0,563.0,0.0,0.0,753.0,957.0,1464457012.583
12.250,0.375,87.375,0.0,0.0,0.0,0.0,0.0,1255.0,339.0,0.0,0.0,700.0,886.0,1464457013.583
