"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_67108864_34239216_0.95_12_100_teratest_71b63929-94a4-4dc1-b4c3-67e6b7a5d6f9.csv",,,,"Date:","31 May 2016 12:19:03 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.627,0.305,93.967,1.056,0.000,0.045,489328.807,2026830.139,0.0,0.0,205.511,553.837,805.735,978.028,1464689943.929
1.250,0.375,97.875,0.500,0.0,0.0,0.0,98304.0,10806.0,13989.0,0.0,0.0,715.0,1151.0,1464689944.930
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,4188.0,4473.0,0.0,0.0,446.0,871.0,1464689945.930
0.0,0.0,100.0,0.0,0.0,0.0,0.0,110592.0,1450.0,339.0,0.0,0.0,448.0,869.0,1464689946.930
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1751.0,450.0,0.0,0.0,453.0,870.0,1464689947.930
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2308.0,561.0,0.0,0.0,478.0,917.0,1464689948.930
0.0,0.0,99.625,0.375,0.0,0.0,0.0,32768.0,1194.0,339.0,0.0,0.0,472.0,907.0,1464689949.930
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,465.0,885.0,1464689950.930
0.125,0.0,99.875,0.0,0.0,0.0,0.0,757760.0,2372.0,971.0,0.0,0.0,473.0,893.0,1464689951.930
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1130.0,339.0,0.0,0.0,452.0,878.0,1464689952.930
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1687.0,450.0,0.0,0.0,442.0,862.0,1464689953.930
0.125,0.0,99.499,0.375,0.0,0.0,0.0,40960.0,2308.0,561.0,0.0,0.0,482.0,916.0,1464689954.930
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1242.0,457.0,0.0,0.0,464.0,890.0,1464689955.930
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,506.0,955.0,1464689956.930
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2372.0,561.0,0.0,0.0,480.0,911.0,1464689957.930
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1258.0,339.0,0.0,0.0,468.0,894.0,1464689958.930
0.250,0.125,98.876,0.749,0.0,0.0,98304.0,16384.0,1815.0,450.0,98304.0,0.0,560.0,1025.0,1464689959.930
0.249,0.125,99.626,0.0,0.0,0.0,0.0,0.0,2308.0,561.0,0.0,0.0,447.0,877.0,1464689960.930
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,1130.0,339.0,0.0,0.0,451.0,895.0,1464689961.930
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,444.0,878.0,1464689962.930
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2180.0,561.0,0.0,0.0,441.0,864.0,1464689963.930
0.125,0.0,99.499,0.375,0.0,0.0,0.0,36864.0,1066.0,339.0,0.0,0.0,463.0,898.0,1464689964.930
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1687.0,450.0,0.0,0.0,450.0,893.0,1464689965.930
0.249,0.0,99.751,0.0,0.0,0.0,0.0,98304.0,2116.0,561.0,0.0,0.0,490.0,897.0,1464689966.930
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1066.0,339.0,0.0,0.0,430.0,858.0,1464689967.930
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1559.0,450.0,0.0,0.0,463.0,901.0,1464689968.930
0.250,0.0,99.251,0.499,0.0,0.0,0.0,53248.0,2308.0,907.0,0.0,0.0,526.0,994.0,1464689969.930
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1194.0,339.0,0.0,0.0,435.0,858.0,1464689970.930
0.125,0.0,99.875,0.0,0.0,0.0,0.0,184320.0,1815.0,450.0,0.0,0.0,495.0,863.0,1464689971.930
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2308.0,561.0,0.0,0.0,449.0,881.0,1464689972.930
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1130.0,339.0,0.0,0.0,422.0,838.0,1464689973.929
10.013,1.377,88.235,0.375,0.0,0.0,0.0,28672.0,1687.0,450.0,0.0,0.0,1477.0,1648.0,1464689974.930
21.500,0.625,77.875,0.0,0.0,0.0,0.0,0.0,2116.0,561.0,0.0,0.0,1466.0,1302.0,1464689975.930
24.185,1.378,74.436,0.0,0.0,0.0,0.0,1044480.0,1695.0,703.0,0.0,0.0,1988.0,1352.0,1464689976.930
31.210,0.764,67.261,0.382,0.0,0.382,0.0,8192.0,1623.0,450.0,0.0,0.0,5721.0,6001.0,1464689977.930
14.429,0.878,82.560,2.133,0.0,0.0,0.0,81920.0,10556778.0,65840.0,0.0,0.0,2644.0,2641.0,1464689978.930
11.742,1.010,85.354,1.894,0.0,0.0,0.0,311296.0,2288269.0,408832.0,0.0,0.0,2225.0,2259.0,1464689979.930
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2285949.0,25850.0,0.0,0.0,1171.0,1014.0,1464689980.930
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,2279344.0,11061.0,0.0,0.0,1114.0,995.0,1464689981.930
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,2278102.0,10839.0,0.0,0.0,970.0,972.0,1464689982.930
0.251,0.125,99.624,0.0,0.0,0.0,0.0,0.0,2279322.0,11323.0,0.0,0.0,981.0,994.0,1464689983.930
0.251,0.0,99.246,0.503,0.0,0.0,0.0,32768.0,2266635.0,12453.0,0.0,0.0,1025.0,1023.0,1464689984.930
0.627,0.0,99.122,0.251,0.0,0.0,0.0,4096.0,2279150.0,12563.0,0.0,0.0,1007.0,1018.0,1464689985.930
0.377,0.0,97.739,1.884,0.0,0.0,0.0,811008.0,2281016.0,12172.0,0.0,0.0,1106.0,1090.0,1464689986.930
0.501,0.0,99.499,0.0,0.0,0.0,0.0,0.0,1015923.0,6995.0,0.0,0.0,580.0,1066.0,1464689987.930
35.264,7.683,56.801,0.0,0.0,0.252,0.0,0.0,12980.0,10904.0,0.0,0.0,5472.0,7430.0,1464689988.929
95.119,4.881,0.0,0.0,0.0,0.0,0.0,507904.0,45962.0,25868.0,0.0,0.0,2631.0,3059.0,1464689989.930
96.250,3.625,0.0,0.0,0.0,0.125,0.0,0.0,7614.0,1764.0,0.0,0.0,2629.0,3303.0,1464689990.930
95.381,4.494,0.0,0.0,0.0,0.125,0.0,1740800.0,8726.0,1071.0,0.0,0.0,2950.0,2282.0,1464689991.930
20.0,0.625,79.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,1375.0,1464689992.930
0.751,0.626,98.623,0.0,0.0,0.0,0.0,0.0,9088.0,5276.0,0.0,0.0,806.0,1420.0,1464689993.930
25.532,2.003,71.464,1.001,0.0,0.0,0.0,212992.0,8730.0,2316.0,0.0,0.0,1686.0,2418.0,1464689994.930
49.373,3.008,47.619,0.0,0.0,0.0,0.0,0.0,9403.0,2193.0,0.0,0.0,2689.0,2563.0,1464689995.929
38.491,1.384,60.126,0.0,0.0,0.0,0.0,0.0,10092.0,9450.0,0.0,0.0,3443.0,3387.0,1464689996.930
91.740,4.506,3.755,0.0,0.0,0.0,0.0,0.0,7094.0,3446.0,0.0,0.0,3213.0,3575.0,1464689997.930
95.0,4.875,0.0,0.0,0.0,0.125,0.0,0.0,6992.0,8146.0,0.0,0.0,3363.0,5844.0,1464689998.930
96.625,3.375,0.0,0.0,0.0,0.0,0.0,131072.0,8060.0,10202.0,0.0,0.0,3156.0,5964.0,1464689999.930
93.750,5.500,0.250,0.0,0.0,0.500,0.0,0.0,5348.0,7767.0,0.0,0.0,4226.0,6818.0,1464690000.930
87.610,11.640,0.250,0.0,0.0,0.501,0.0,0.0,18338.0,1473939.0,0.0,0.0,4298.0,7841.0,1464690001.930
95.750,3.625,0.0,0.0,0.0,0.625,0.0,0.0,1475137.0,1478840.0,0.0,0.0,4174.0,10331.0,1464690002.930
81.149,7.116,10.612,0.0,0.0,1.124,0.0,0.0,2908.0,1282.0,0.0,0.0,5597.0,11417.0,1464690003.930
70.927,4.135,24.812,0.0,0.0,0.125,0.0,106496.0,1453924.0,13322.0,0.0,0.0,2407.0,1798.0,1464690004.930
85.320,3.011,11.669,0.0,0.0,0.0,0.0,0.0,6874.0,3711.0,0.0,0.0,2589.0,1818.0,1464690005.930
75.500,12.125,11.125,1.0,0.0,0.250,4096.0,60338176.0,5308.0,3810.0,0.0,0.0,3197.0,3462.0,1464690006.930
