"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/clean/2_67108864_34239216_0.95_24_100_teratest_d00191e8-fede-4c7f-b76b-c8e17a8d8c92.csv",,,,"Date:","31 May 2016 12:28:07 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.630,0.305,93.964,1.056,0.000,0.045,489180.302,2029019.518,0.0,0.0,207.915,553.582,806.338,978.686,1464690487.841
1.498,0.125,98.377,0.0,0.0,0.0,0.0,0.0,12564.0,17691.0,0.0,0.0,697.0,1128.0,1464690488.842
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1751.0,450.0,0.0,0.0,431.0,856.0,1464690489.842
0.250,0.0,99.750,0.0,0.0,0.0,0.0,598016.0,1687.0,450.0,0.0,0.0,490.0,871.0,1464690490.842
0.125,0.125,99.500,0.250,0.0,0.0,0.0,106496.0,1815.0,450.0,0.0,0.0,448.0,893.0,1464690491.842
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1751.0,796.0,0.0,0.0,428.0,859.0,1464690492.842
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1687.0,450.0,0.0,0.0,438.0,855.0,1464690493.842
0.125,0.0,99.750,0.0,0.0,0.125,0.0,0.0,1879.0,450.0,0.0,0.0,423.0,842.0,1464690494.842
0.125,0.0,99.750,0.125,0.0,0.0,4096.0,1204224.0,1687.0,450.0,0.0,0.0,439.0,837.0,1464690495.842
0.0,0.0,99.625,0.375,0.0,0.0,0.0,106496.0,1623.0,450.0,0.0,0.0,437.0,867.0,1464690496.842
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1863.0,568.0,0.0,0.0,421.0,850.0,1464690497.842
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1701.0,514.0,0.0,0.0,420.0,839.0,1464690498.842
0.250,0.250,98.748,0.751,0.0,0.0,98304.0,0.0,1791.0,450.0,98304.0,0.0,556.0,1016.0,1464690499.842
0.125,0.0,99.875,0.0,0.0,0.0,32768.0,352256.0,1687.0,540.0,32768.0,0.0,585.0,935.0,1464690500.842
0.125,0.375,99.126,0.375,0.0,0.0,0.0,20480.0,1841.0,450.0,0.0,0.0,495.0,931.0,1464690501.842
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1751.0,450.0,0.0,0.0,465.0,885.0,1464690502.842
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1751.0,796.0,0.0,0.0,467.0,896.0,1464690503.842
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1687.0,450.0,0.0,0.0,465.0,894.0,1464690504.842
0.0,0.250,99.750,0.0,0.0,0.0,0.0,0.0,1713.0,450.0,0.0,0.0,459.0,885.0,1464690505.842
0.125,0.0,99.500,0.375,0.0,0.0,0.0,24576.0,1687.0,450.0,0.0,0.0,475.0,911.0,1464690506.842
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1687.0,540.0,0.0,0.0,490.0,938.0,1464690507.842
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1687.0,514.0,0.0,0.0,484.0,919.0,1464690508.842
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1623.0,514.0,0.0,0.0,538.0,1011.0,1464690509.842
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1751.0,514.0,0.0,0.0,480.0,907.0,1464690510.842
0.0,0.0,99.499,0.501,0.0,0.0,0.0,16384.0,1623.0,450.0,0.0,0.0,468.0,891.0,1464690511.842
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1623.0,450.0,0.0,0.0,470.0,905.0,1464690512.842
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1751.0,450.0,0.0,0.0,523.0,967.0,1464690513.842
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1687.0,450.0,0.0,0.0,470.0,897.0,1464690514.842
0.0,0.125,99.875,0.0,0.0,0.0,0.0,8192.0,1815.0,860.0,0.0,0.0,488.0,937.0,1464690515.842
0.125,0.125,99.500,0.250,0.0,0.0,0.0,81920.0,1559.0,450.0,0.0,0.0,511.0,970.0,1464690516.842
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1815.0,450.0,0.0,0.0,500.0,952.0,1464690517.842
9.787,1.129,89.084,0.0,0.0,0.0,0.0,0.0,1927.0,568.0,0.0,0.0,1712.0,1777.0,1464690518.842
20.651,1.001,78.348,0.0,0.0,0.0,0.0,0.0,1751.0,450.0,0.0,0.0,1661.0,1415.0,1464690519.842
23.655,1.377,74.969,0.0,0.0,0.0,0.0,622592.0,2076.0,696.0,0.0,0.0,2176.0,1402.0,1464690520.842
30.039,0.642,68.293,0.770,0.0,0.257,0.0,724992.0,1815.0,450.0,0.0,0.0,5211.0,5494.0,1464690521.842
14.698,0.628,82.789,1.759,0.0,0.126,0.0,73728.0,10670672.0,72574.0,0.0,0.0,2692.0,2331.0,1464690522.842
15.763,1.765,81.463,1.009,0.0,0.0,65536.0,28672.0,2273036.0,409145.0,65536.0,0.0,4127.0,4122.0,1464690523.842
17.337,1.005,81.658,0.0,0.0,0.0,0.0,0.0,2294123.0,11020.0,0.0,0.0,2506.0,1807.0,1464690524.842
29.686,1.258,68.805,0.252,0.0,0.0,0.0,1269760.0,2278815.0,10950.0,0.0,0.0,3016.0,1595.0,1464690525.842
15.935,1.004,82.183,0.878,0.0,0.0,0.0,352256.0,2279739.0,11569.0,0.0,0.0,1638.0,1431.0,1464690526.842
19.424,0.501,80.075,0.0,0.0,0.0,0.0,0.0,2278815.0,10950.0,0.0,0.0,1694.0,1531.0,1464690527.842
20.175,0.501,79.323,0.0,0.0,0.0,0.0,0.0,2278559.0,10950.0,0.0,0.0,2181.0,2124.0,1464690528.842
20.125,1.250,78.250,0.375,0.0,0.0,0.0,20480.0,2278559.0,10950.0,0.0,0.0,3048.0,3033.0,1464690529.842
1.258,0.126,98.616,0.0,0.0,0.0,0.0,0.0,2248199.0,10810.0,0.0,0.0,1232.0,1397.0,1464690530.842
49.242,5.934,44.192,0.379,0.0,0.253,32768.0,12288.0,1165993.0,5910.0,32768.0,0.0,7254.0,8875.0,1464690531.842
94.361,4.637,1.003,0.0,0.0,0.0,0.0,425984.0,49088.0,103987.0,0.0,0.0,3455.0,2630.0,1464690532.842
97.250,2.750,0.0,0.0,0.0,0.0,0.0,0.0,10083.0,450.0,0.0,0.0,3380.0,2588.0,1464690533.842
94.500,5.375,0.0,0.0,0.0,0.125,0.0,0.0,7261.0,1898.0,0.0,0.0,3609.0,2823.0,1464690534.842
92.240,6.633,0.876,0.0,0.0,0.250,163840.0,962560.0,9732.0,1260.0,163840.0,0.0,3690.0,3261.0,1464690535.842
96.750,3.250,0.0,0.0,0.0,0.0,0.0,659456.0,23101.0,18761.0,0.0,0.0,3184.0,2820.0,1464690536.842
97.625,2.375,0.0,0.0,0.0,0.0,0.0,315392.0,2429.0,450.0,0.0,0.0,3268.0,7816.0,1464690537.842
94.095,3.894,2.010,0.0,0.0,0.0,0.0,0.0,5657.0,450.0,0.0,0.0,3227.0,3413.0,1464690538.842
