"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/dirty/2_134217728_200000000_0.35_6_100_teratest_329a64da-d51f-4c8d-b4d1-6aae471b1c03.csv",,,,"Date:","27 May 2016 15:49:00 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
0.341,0.032,99.027,0.598,0.0,0.003,264477.842,249520.991,0.0,0.0,16.783,107.191,200.485,287.719,1464356940.885
1.252,0.125,98.623,0.0,0.0,0.0,0.0,0.0,12123.0,15554.0,0.0,0.0,716.0,1147.0,1464356941.886
0.125,0.0,99.875,0.0,0.0,0.0,0.0,8192.0,2300.0,553.0,0.0,0.0,509.0,945.0,1464356942.886
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1744.0,443.0,0.0,0.0,484.0,924.0,1464356943.886
1.373,0.125,98.127,0.375,0.0,0.0,0.0,86016.0,1060.0,333.0,0.0,0.0,579.0,1026.0,1464356944.886
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2172.0,553.0,0.0,0.0,489.0,910.0,1464356945.886
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,1616.0,443.0,0.0,0.0,473.0,900.0,1464356946.886
0.0,0.0,100.0,0.0,0.0,0.0,0.0,425984.0,1300.0,451.0,0.0,0.0,499.0,901.0,1464356947.886
0.375,0.125,99.501,0.0,0.0,0.0,0.0,0.0,2236.0,553.0,0.0,0.0,489.0,918.0,1464356948.886
0.250,0.0,99.501,0.250,0.0,0.0,0.0,57344.0,1680.0,443.0,0.0,0.0,499.0,936.0,1464356949.886
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1060.0,333.0,0.0,0.0,470.0,910.0,1464356950.886
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2172.0,553.0,0.0,0.0,496.0,932.0,1464356951.886
0.125,0.0,99.749,0.125,0.0,0.0,0.0,385024.0,1616.0,789.0,0.0,0.0,574.0,911.0,1464356952.886
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1124.0,333.0,0.0,0.0,479.0,915.0,1464356953.886
0.375,0.125,99.001,0.499,0.0,0.0,0.0,90112.0,2300.0,553.0,0.0,0.0,512.0,942.0,1464356954.886
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1808.0,443.0,0.0,0.0,467.0,904.0,1464356955.886
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1188.0,333.0,0.0,0.0,487.0,922.0,1464356956.886
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2300.0,553.0,0.0,0.0,497.0,935.0,1464356957.886
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1616.0,443.0,0.0,0.0,466.0,895.0,1464356958.886
