"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/dirty/2_134217728_200000000_0.35_6_100_teratest_610218b1-1f5c-4999-b7df-c4afe398885c.csv",,,,"Date:","27 May 2016 16:19:58 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
0.365,0.035,98.996,0.600,0.0,0.004,264321.329,277321.649,0.0,0.0,16.746,106.957,205.822,292.600,1464358798.472
1.375,0.0,98.625,0.0,0.0,0.0,0.0,0.0,6206.0,7029.0,0.0,0.0,717.0,1142.0,1464358799.473
0.250,0.125,99.251,0.375,0.0,0.0,0.0,212992.0,7495.0,8952.0,0.0,0.0,534.0,925.0,1464358800.473
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2920.0,663.0,0.0,0.0,481.0,929.0,1464358801.473
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1124.0,333.0,0.0,0.0,461.0,892.0,1464358802.473
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1124.0,333.0,0.0,0.0,488.0,917.0,1464358803.473
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2664.0,663.0,0.0,0.0,469.0,918.0,1464358804.473
0.250,0.0,99.374,0.375,0.0,0.0,0.0,1761280.0,1060.0,333.0,0.0,0.0,585.0,945.0,1464358805.473
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,996.0,333.0,0.0,0.0,498.0,938.0,1464358806.473
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2792.0,663.0,0.0,0.0,484.0,915.0,1464358807.473
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1124.0,333.0,0.0,0.0,481.0,938.0,1464358808.473
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1060.0,333.0,0.0,0.0,520.0,964.0,1464358809.473
0.249,0.125,99.127,0.499,0.0,0.0,0.0,73728.0,2946.0,663.0,0.0,0.0,494.0,917.0,1464358810.473
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1188.0,423.0,0.0,0.0,468.0,900.0,1464358811.473
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1278.0,423.0,0.0,0.0,522.0,957.0,1464358812.473
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,3160.0,781.0,0.0,0.0,485.0,917.0,1464358813.473
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1188.0,333.0,0.0,0.0,469.0,909.0,1464358814.473
0.125,0.0,99.249,0.626,0.0,0.0,0.0,16384.0,1214.0,333.0,0.0,0.0,516.0,953.0,1464358815.473
0.374,0.0,99.626,0.0,0.0,0.0,0.0,0.0,2728.0,663.0,0.0,0.0,499.0,939.0,1464358816.473
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,996.0,333.0,0.0,0.0,466.0,887.0,1464358817.473
0.249,0.125,99.626,0.0,0.0,0.0,0.0,0.0,1060.0,333.0,0.0,0.0,496.0,931.0,1464358818.473
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2754.0,663.0,0.0,0.0,469.0,893.0,1464358819.473
0.125,0.0,99.375,0.500,0.0,0.0,0.0,16384.0,996.0,333.0,0.0,0.0,473.0,904.0,1464358820.473
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,996.0,333.0,0.0,0.0,516.0,953.0,1464358821.473
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,2856.0,663.0,0.0,0.0,461.0,891.0,1464358822.473
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1252.0,333.0,0.0,0.0,461.0,883.0,1464358823.473
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1316.0,333.0,0.0,0.0,503.0,928.0,1464358824.473
0.249,0.249,99.252,0.249,0.0,0.0,0.0,20480.0,2856.0,663.0,0.0,0.0,487.0,934.0,1464358825.473
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1060.0,333.0,0.0,0.0,458.0,888.0,1464358826.473
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1124.0,333.0,0.0,0.0,474.0,894.0,1464358827.473
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2664.0,663.0,0.0,0.0,485.0,925.0,1464358828.473
9.762,1.252,88.986,0.0,0.0,0.0,0.0,0.0,996.0,333.0,0.0,0.0,1664.0,1781.0,1464358829.473
21.053,0.752,77.193,1.003,0.0,0.0,0.0,1454080.0,1060.0,333.0,0.0,0.0,1707.0,1318.0,1464358830.473
25.187,0.998,73.815,0.0,0.0,0.0,0.0,0.0,3193.0,1209.0,0.0,0.0,1843.0,1371.0,1464358831.473
