"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/dirty/2_134217728_500000000_0.35_6_100_teratest_86133a79-4bc9-4685-9555-ab0aa58dc6fd.csv",,,,"Date:","14 May 2016 21:12:35 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.549,1.164,80.556,2.594,0.000,0.136,1742730.867,5436832.619,0.0,0.0,2769.084,2695.863,1804.655,2105.104,1463253155.539
0.623,0.125,98.878,0.374,0.0,0.0,0.0,0.0,4787.0,4723.0,0.0,0.0,576.0,1027.0,1463253156.540
0.501,0.0,99.499,0.0,0.0,0.0,0.0,0.0,5609.0,6199.0,0.0,0.0,543.0,986.0,1463253157.540
0.501,0.0,99.499,0.0,0.0,0.0,0.0,28672.0,5405.0,6199.0,0.0,0.0,568.0,993.0,1463253158.540
0.125,0.0,98.498,1.377,0.0,0.0,0.0,98304.0,2432.0,1928.0,0.0,0.0,491.0,946.0,1463253159.540
0.373,0.124,99.502,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,491.0,936.0,1463253160.540
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,468.0,896.0,1463253161.540
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,468.0,906.0,1463253162.540
0.125,0.0,99.875,0.0,0.0,0.0,0.0,1679360.0,1610.0,452.0,0.0,0.0,491.0,906.0,1463253163.540
0.125,0.0,99.875,0.0,0.0,0.0,0.0,61440.0,1610.0,452.0,0.0,0.0,477.0,935.0,1463253164.540
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,466.0,900.0,1463253165.540
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,475.0,923.0,1463253166.540
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,480.0,922.0,1463253167.540
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,487.0,940.0,1463253168.540
0.0,0.125,99.625,0.250,0.0,0.0,0.0,16384.0,1546.0,452.0,0.0,0.0,478.0,914.0,1463253169.540
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,473.0,918.0,1463253170.540
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1674.0,452.0,0.0,0.0,459.0,893.0,1463253171.540
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1674.0,452.0,0.0,0.0,490.0,940.0,1463253172.540
0.125,0.0,99.875,0.0,0.0,0.0,0.0,73728.0,1738.0,452.0,0.0,0.0,526.0,932.0,1463253173.540
0.125,0.0,99.625,0.250,0.0,0.0,0.0,32768.0,1930.0,452.0,0.0,0.0,472.0,913.0,1463253174.540
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1802.0,452.0,0.0,0.0,473.0,914.0,1463253175.540
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1802.0,452.0,0.0,0.0,466.0,914.0,1463253176.540
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1802.0,452.0,0.0,0.0,464.0,898.0,1463253177.540
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1738.0,452.0,0.0,0.0,503.0,949.0,1463253178.540
0.0,0.0,99.750,0.250,0.0,0.0,0.0,20480.0,1546.0,452.0,0.0,0.0,492.0,942.0,1463253179.540
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,503.0,959.0,1463253180.540
0.125,0.125,97.872,1.877,0.0,0.0,208896.0,0.0,1546.0,452.0,0.0,0.0,620.0,1055.0,1463253181.540
0.125,0.125,99.750,0.0,0.0,0.0,16384.0,0.0,1700.0,452.0,0.0,0.0,496.0,952.0,1463253182.540
0.0,0.0,99.499,0.501,0.0,0.0,49152.0,278528.0,1546.0,542.0,0.0,0.0,620.0,999.0,1463253183.540
0.250,0.0,98.876,0.874,0.0,0.0,0.0,217088.0,1700.0,452.0,0.0,0.0,495.0,947.0,1463253184.540
0.0,0.0,100.0,0.0,0.0,0.0,16384.0,0.0,1546.0,452.0,0.0,0.0,486.0,943.0,1463253185.540
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,476.0,917.0,1463253186.540
0.125,0.0,99.875,0.0,0.0,0.0,16384.0,0.0,1674.0,452.0,0.0,0.0,493.0,944.0,1463253187.540
2.500,0.375,96.125,1.0,0.0,0.0,61440.0,151552.0,1764.0,452.0,0.0,0.0,936.0,1441.0,1463253188.540
15.875,1.125,82.0,1.0,0.0,0.0,36864.0,192512.0,1674.0,452.0,0.0,0.0,1683.0,1509.0,1463253189.540
29.825,1.378,68.672,0.125,0.0,0.0,81920.0,0.0,1764.0,452.0,0.0,0.0,1945.0,1537.0,1463253190.540
16.186,0.502,81.681,1.631,0.0,0.0,200704.0,16384.0,1999.0,698.0,155648.0,0.0,1261.0,1548.0,1463253191.540
27.735,1.018,68.957,1.908,0.0,0.382,126976.0,12288.0,2617344.0,24903.0,77824.0,0.0,5798.0,6294.0,1463253192.540
10.375,0.375,83.250,6.0,0.0,0.0,131072.0,1597440.0,7729547.0,53062.0,0.0,0.0,2091.0,2379.0,1463253193.540
11.640,0.375,83.479,4.506,0.0,0.0,430080.0,303104.0,10298.0,380882.0,0.0,0.0,1555.0,2013.0,1463253194.540
0.251,0.0,98.369,1.380,0.0,0.0,0.0,8192.0,7025.0,99805.0,0.0,0.0,714.0,1159.0,1463253195.540
0.250,0.0,99.499,0.250,0.0,0.0,24576.0,0.0,7129.0,11514.0,24576.0,0.0,568.0,1032.0,1463253196.540
0.249,0.125,99.626,0.0,0.0,0.0,0.0,0.0,2506.0,961.0,0.0,0.0,512.0,974.0,1463253197.540
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2694.0,893.0,0.0,0.0,546.0,1012.0,1463253198.540
0.125,0.125,99.499,0.250,0.0,0.0,0.0,73728.0,4245.0,1914.0,0.0,0.0,555.0,1010.0,1463253199.540
2.128,0.0,97.872,0.0,0.0,0.0,32768.0,0.0,3056.0,2684.0,32768.0,0.0,643.0,1313.0,1463253200.540
0.0,0.125,99.249,0.626,0.0,0.0,4096.0,20480.0,1646.0,452.0,0.0,0.0,588.0,1041.0,1463253201.539
1.252,0.250,98.248,0.250,0.0,0.0,0.0,8192.0,6621.0,3474.0,0.0,0.0,996.0,1514.0,1463253202.540
3.375,1.250,93.750,1.625,0.0,0.0,57344.0,565248.0,4016.0,1592.0,0.0,0.0,2025.0,2757.0,1463253203.540
78.030,9.343,10.985,1.641,0.0,0.0,196608.0,258048.0,38599.0,28730.0,69632.0,0.0,5169.0,6834.0,1463253204.540
95.875,4.125,0.0,0.0,0.0,0.0,16384.0,0.0,6632.0,8398.0,0.0,0.0,2708.0,3142.0,1463253205.540
97.250,2.750,0.0,0.0,0.0,0.0,0.0,0.0,4176.0,1644.0,0.0,0.0,2597.0,2631.0,1463253206.540
93.500,6.500,0.0,0.0,0.0,0.0,0.0,0.0,6847.0,3511.0,0.0,0.0,3088.0,3062.0,1463253207.540
93.852,5.144,0.878,0.0,0.0,0.125,0.0,0.0,4035.0,1621.0,0.0,0.0,3290.0,3646.0,1463253208.540
97.378,2.622,0.0,0.0,0.0,0.0,0.0,520192.0,11863.0,11539.0,0.0,0.0,2870.0,2421.0,1463253209.540
97.872,2.128,0.0,0.0,0.0,0.0,0.0,0.0,3108.0,1115.0,0.0,0.0,2865.0,9168.0,1463253210.540
96.750,3.0,0.125,0.0,0.0,0.125,0.0,0.0,4273.0,3488.0,0.0,0.0,2953.0,3079.0,1463253211.540
89.098,10.025,0.501,0.0,0.0,0.376,5955584.0,0.0,12660.0,48461.0,0.0,0.0,3620.0,4770.0,1463253212.540
