"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/dirty/2_134217728_500000000_0.35_6_100_teratest_88a23a91-7774-48ae-89db-c8703c0c2f99.csv",,,,"Date:","14 May 2016 16:48:15 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.537,1.161,80.585,2.581,0.000,0.136,1733747.489,5396385.345,0.0,0.0,2754.559,2676.506,1799.194,2100.614,1463237295.262
0.501,0.125,98.874,0.501,0.0,0.0,0.0,565248.0,5426.0,4836.0,0.0,0.0,645.0,1085.0,1463237296.263
0.750,0.125,99.125,0.0,0.0,0.0,0.0,0.0,6143.0,7305.0,0.0,0.0,599.0,992.0,1463237297.263
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,5654.0,6570.0,0.0,0.0,537.0,956.0,1463237298.263
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2313.0,565.0,0.0,0.0,499.0,935.0,1463237299.263
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1626.0,452.0,0.0,0.0,481.0,924.0,1463237300.263
0.0,0.0,99.374,0.626,0.0,0.0,0.0,1863680.0,1067.0,339.0,0.0,0.0,541.0,951.0,1463237301.263
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2249.0,565.0,0.0,0.0,502.0,924.0,1463237302.263
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1754.0,452.0,0.0,0.0,485.0,910.0,1463237303.263
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1131.0,339.0,0.0,0.0,486.0,922.0,1463237304.263
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2185.0,565.0,0.0,0.0,517.0,949.0,1463237305.263
0.0,0.0,99.750,0.250,0.0,0.0,0.0,16384.0,1626.0,452.0,0.0,0.0,493.0,927.0,1463237306.263
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1195.0,339.0,0.0,0.0,492.0,915.0,1463237307.263
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2249.0,565.0,0.0,0.0,485.0,922.0,1463237308.263
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1690.0,452.0,0.0,0.0,472.0,903.0,1463237309.263
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1131.0,339.0,0.0,0.0,502.0,922.0,1463237310.263
0.0,0.0,99.500,0.500,0.0,0.0,0.0,94208.0,2377.0,565.0,0.0,0.0,538.0,943.0,1463237311.263
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1882.0,452.0,0.0,0.0,489.0,932.0,1463237312.263
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1259.0,339.0,0.0,0.0,496.0,924.0,1463237313.263
0.125,0.249,99.626,0.0,0.0,0.0,0.0,0.0,2249.0,565.0,0.0,0.0,477.0,899.0,1463237314.263
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1690.0,452.0,0.0,0.0,472.0,907.0,1463237315.263
0.0,0.0,99.875,0.125,0.0,0.0,0.0,20480.0,1067.0,339.0,0.0,0.0,502.0,931.0,1463237316.263
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2313.0,565.0,0.0,0.0,495.0,921.0,1463237317.263
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1626.0,452.0,0.0,0.0,462.0,895.0,1463237318.263
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1131.0,339.0,0.0,0.0,479.0,903.0,1463237319.263
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2249.0,565.0,0.0,0.0,506.0,947.0,1463237320.263
