"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/dirty/2_134217728_500000000_0.35_6_100_teratest_b459813a-a208-4f05-88e3-f02ebb1530c8.csv",,,,"Date:","14 May 2016 14:11:14 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.532,1.159,80.608,2.566,0.000,0.135,1724553.071,5369296.020,0.0,0.0,2752.873,2668.337,1795.477,2097.331,1463227874.994
0.625,0.0,99.375,0.0,0.0,0.0,0.0,0.0,4292.0,4674.0,0.0,0.0,600.0,1054.0,1463227875.995
0.874,0.125,99.001,0.0,0.0,0.0,0.0,0.0,6127.0,7369.0,0.0,0.0,658.0,1085.0,1463227876.995
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,6756.0,6860.0,0.0,0.0,507.0,919.0,1463227877.995
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1307.0,339.0,0.0,0.0,455.0,878.0,1463227878.995
0.0,0.0,99.499,0.501,0.0,0.0,0.0,147456.0,1738.0,452.0,0.0,0.0,538.0,975.0,1463227879.995
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,2169.0,565.0,0.0,0.0,455.0,877.0,1463227880.995
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1179.0,339.0,0.0,0.0,461.0,889.0,1463227881.995
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,467.0,903.0,1463227882.995
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2169.0,565.0,0.0,0.0,452.0,886.0,1463227883.995
0.125,0.125,98.377,1.373,0.0,0.0,0.0,843776.0,987.0,339.0,0.0,0.0,576.0,910.0,1463227884.995
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,470.0,913.0,1463227885.995
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2169.0,565.0,0.0,0.0,462.0,898.0,1463227886.995
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1115.0,749.0,0.0,0.0,449.0,886.0,1463227887.995
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,461.0,888.0,1463227888.995
0.125,0.0,99.376,0.499,0.0,0.0,0.0,57344.0,2169.0,565.0,0.0,0.0,452.0,887.0,1463227889.995
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,466.0,903.0,1463227890.995
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,466.0,917.0,1463227891.995
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2105.0,565.0,0.0,0.0,448.0,874.0,1463227892.995
