"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/dirty/2_134217728_500000000_0.35_6_100_teratest_b8c36b1c-6452-4573-b75e-eb5e7b5204db.csv",,,,"Date:","14 May 2016 20:42:12 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.548,1.163,80.559,2.593,0.000,0.136,1741928.177,5432310.348,0.0,0.0,2769.270,2694.401,1804.074,2104.668,1463251332.748
0.876,0.125,98.874,0.125,0.0,0.0,0.0,0.0,3270.0,3536.0,0.0,0.0,625.0,1063.0,1463251333.749
0.501,0.376,98.120,1.003,0.0,0.0,32768.0,0.0,7600.0,9496.0,0.0,0.0,664.0,1132.0,1463251334.748
0.125,0.0,99.875,0.0,0.0,0.0,16384.0,0.0,5461.0,6121.0,0.0,0.0,501.0,943.0,1463251335.749
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,527.0,954.0,1463251336.749
0.125,0.0,97.628,2.247,0.0,0.0,0.0,180224.0,2233.0,565.0,0.0,0.0,487.0,918.0,1463251337.749
0.125,0.501,98.498,0.876,0.0,0.0,131072.0,0.0,1802.0,452.0,0.0,0.0,576.0,1002.0,1463251338.749
0.0,0.125,99.875,0.0,0.0,0.0,0.0,1716224.0,1243.0,339.0,0.0,0.0,515.0,933.0,1463251339.749
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2489.0,565.0,0.0,0.0,481.0,901.0,1463251340.749
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1866.0,452.0,0.0,0.0,483.0,938.0,1463251341.749
0.125,0.0,97.872,2.003,0.0,0.0,0.0,135168.0,1179.0,339.0,0.0,0.0,528.0,949.0,1463251342.749
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,2297.0,565.0,0.0,0.0,493.0,925.0,1463251343.749
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1674.0,452.0,0.0,0.0,475.0,914.0,1463251344.749
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,494.0,945.0,1463251345.749
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2105.0,565.0,0.0,0.0,477.0,901.0,1463251346.749
0.125,0.0,99.500,0.375,0.0,0.0,0.0,24576.0,1674.0,862.0,0.0,0.0,507.0,952.0,1463251347.749
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,496.0,928.0,1463251348.749
0.0,0.0,100.0,0.0,0.0,0.0,0.0,81920.0,2105.0,565.0,0.0,0.0,498.0,897.0,1463251349.749
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,465.0,895.0,1463251350.749
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,483.0,907.0,1463251351.749
0.0,0.125,99.499,0.375,0.0,0.0,0.0,32768.0,2233.0,565.0,0.0,0.0,486.0,913.0,1463251352.749
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,458.0,886.0,1463251353.749
0.0,0.125,99.875,0.0,0.0,0.0,0.0,24576.0,987.0,339.0,0.0,0.0,510.0,938.0,1463251354.749
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2169.0,565.0,0.0,0.0,474.0,896.0,1463251355.749
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,471.0,910.0,1463251356.749
0.0,0.0,99.500,0.500,0.0,0.0,0.0,28672.0,1051.0,339.0,0.0,0.0,500.0,934.0,1463251357.749
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2233.0,565.0,0.0,0.0,467.0,898.0,1463251358.749
0.125,0.0,99.875,0.0,0.0,0.0,0.0,8192.0,1546.0,798.0,0.0,0.0,494.0,933.0,1463251359.748
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1179.0,339.0,0.0,0.0,499.0,938.0,1463251360.749
0.125,0.0,99.250,0.625,0.0,0.0,32768.0,0.0,2233.0,565.0,0.0,0.0,522.0,981.0,1463251361.749
0.0,0.0,99.625,0.375,0.0,0.0,0.0,122880.0,1738.0,452.0,0.0,0.0,498.0,941.0,1463251362.749
0.0,0.0,100.0,0.0,0.0,0.0,32768.0,0.0,1243.0,339.0,0.0,0.0,509.0,954.0,1463251363.749
