"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/dirty/2_134217728_500000000_0.35_6_100_teratest_bfe75158-fddc-4872-ad16-c28dbe81fdd5.csv",,,,"Date:","14 May 2016 17:51:24 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.541,1.161,80.578,2.584,0.000,0.136,1735775.605,5406936.565,0.0,0.0,2756.734,2680.651,1800.591,2101.755,1463241084.730
0.749,0.125,98.752,0.375,0.0,0.0,16384.0,0.0,5597.0,6237.0,0.0,0.0,611.0,1043.0,1463241085.731
0.376,0.0,99.624,0.0,0.0,0.0,0.0,0.0,6341.0,7795.0,0.0,0.0,579.0,985.0,1463241086.731
0.375,0.0,98.875,0.750,0.0,0.0,0.0,167936.0,3971.0,3017.0,0.0,0.0,526.0,951.0,1463241087.731
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2420.0,1966.0,0.0,0.0,519.0,956.0,1463241088.731
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,987.0,339.0,0.0,0.0,470.0,900.0,1463241089.731
0.125,0.0,99.875,0.0,0.0,0.0,16384.0,0.0,2105.0,565.0,0.0,0.0,493.0,946.0,1463241090.731
0.0,0.125,99.875,0.0,0.0,0.0,0.0,798720.0,1546.0,452.0,0.0,0.0,475.0,888.0,1463241091.731
0.0,0.0,99.625,0.375,0.0,0.0,0.0,118784.0,1115.0,339.0,0.0,0.0,507.0,959.0,1463241092.731
0.0,0.0,99.749,0.251,0.0,0.0,32768.0,0.0,2233.0,565.0,32768.0,0.0,487.0,916.0,1463241093.731
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1738.0,452.0,0.0,0.0,480.0,910.0,1463241094.731
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1115.0,339.0,0.0,0.0,481.0,911.0,1463241095.730
0.0,0.125,99.501,0.375,0.0,0.0,32768.0,0.0,2169.0,565.0,32768.0,0.0,495.0,937.0,1463241096.731
0.125,0.0,99.500,0.375,0.0,0.0,0.0,16384.0,1546.0,452.0,0.0,0.0,512.0,939.0,1463241097.731
0.0,0.0,99.874,0.126,0.0,0.0,16384.0,0.0,987.0,339.0,0.0,0.0,503.0,943.0,1463241098.731
0.0,0.0,99.875,0.125,0.0,0.0,32768.0,0.0,2105.0,565.0,0.0,0.0,528.0,997.0,1463241099.731
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,485.0,924.0,1463241100.731
0.0,0.125,99.875,0.0,0.0,0.0,0.0,90112.0,1051.0,339.0,0.0,0.0,515.0,906.0,1463241101.731
0.0,0.0,99.249,0.751,0.0,0.0,0.0,180224.0,2297.0,565.0,0.0,0.0,489.0,920.0,1463241102.731
0.0,0.0,99.875,0.125,0.0,0.0,16384.0,0.0,1930.0,452.0,0.0,0.0,612.0,1083.0,1463241103.731
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1179.0,339.0,0.0,0.0,486.0,923.0,1463241104.731
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2486.0,565.0,0.0,0.0,499.0,934.0,1463241105.731
0.0,0.0,99.499,0.501,0.0,0.0,4096.0,348160.0,1546.0,452.0,0.0,0.0,595.0,935.0,1463241106.731
0.0,0.0,99.250,0.750,0.0,0.0,0.0,172032.0,987.0,339.0,0.0,0.0,466.0,896.0,1463241107.731
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2105.0,565.0,0.0,0.0,493.0,937.0,1463241108.731
0.250,0.0,98.999,0.751,0.0,0.0,57344.0,0.0,1546.0,452.0,0.0,0.0,523.0,964.0,1463241109.731
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,987.0,339.0,0.0,0.0,468.0,898.0,1463241110.731
0.0,0.0,100.0,0.0,0.0,0.0,16384.0,147456.0,2297.0,565.0,0.0,0.0,580.0,963.0,1463241111.731
0.125,0.125,99.0,0.750,0.0,0.0,0.0,176128.0,1738.0,452.0,0.0,0.0,518.0,936.0,1463241112.731
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1115.0,339.0,0.0,0.0,466.0,899.0,1463241113.731
0.0,0.0,100.0,0.0,0.0,0.0,16384.0,0.0,2297.0,565.0,0.0,0.0,509.0,952.0,1463241114.731
0.0,0.0,99.750,0.250,0.0,0.0,143360.0,0.0,1546.0,452.0,0.0,0.0,560.0,958.0,1463241115.731
0.0,0.0,100.0,0.0,0.0,0.0,0.0,172032.0,987.0,339.0,0.0,0.0,531.0,908.0,1463241116.731
0.125,0.0,99.001,0.874,0.0,0.0,0.0,184320.0,2105.0,565.0,0.0,0.0,495.0,922.0,1463241117.731
