"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/dirty/2_134217728_500000000_0.35_6_100_teratest_dab10097-b08d-4600-bf7d-0dccff493385.csv",,,,"Date:","14 May 2016 18:56:02 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.544,1.162,80.569,2.589,0.000,0.136,1737815.272,5417312.312,0.0,0.0,2767.440,2690.130,1801.947,2102.894,1463244962.131
0.625,0.375,86.500,12.500,0.0,0.0,0.0,78118912.0,9252.0,12016.0,0.0,0.0,782.0,1010.0,1463244963.132
0.501,0.125,84.481,14.894,0.0,0.0,4096.0,62124032.0,5379.0,6089.0,0.0,0.0,755.0,1049.0,1463244964.132
0.125,0.250,87.234,12.390,0.0,0.0,0.0,81788928.0,1610.0,452.0,0.0,0.0,706.0,944.0,1463244965.132
0.0,0.125,87.484,12.390,0.0,0.0,0.0,75071488.0,1610.0,452.0,0.0,0.0,728.0,913.0,1463244966.132
0.125,0.0,93.609,6.266,0.0,0.0,16384.0,16330752.0,1738.0,452.0,0.0,0.0,687.0,937.0,1463244967.132
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1674.0,452.0,0.0,0.0,485.0,923.0,1463244968.132
0.125,0.0,98.623,1.252,0.0,0.0,0.0,172032.0,1674.0,452.0,0.0,0.0,524.0,962.0,1463244969.132
0.125,0.125,99.002,0.748,0.0,0.0,0.0,4096.0,1802.0,862.0,0.0,0.0,510.0,950.0,1463244970.132
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1738.0,452.0,0.0,0.0,474.0,898.0,1463244971.131
0.125,0.0,99.875,0.0,0.0,0.0,0.0,712704.0,1674.0,452.0,0.0,0.0,509.0,928.0,1463244972.132
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1674.0,452.0,0.0,0.0,485.0,921.0,1463244973.132
0.0,0.0,98.0,2.0,0.0,0.0,0.0,53248.0,1738.0,452.0,0.0,0.0,477.0,924.0,1463244974.132
0.125,0.0,97.372,2.503,0.0,0.0,16384.0,4096.0,1738.0,452.0,0.0,0.0,488.0,933.0,1463244975.132
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,494.0,937.0,1463244976.132
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,467.0,885.0,1463244977.132
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,470.0,899.0,1463244978.132
0.0,0.0,98.248,1.752,0.0,0.0,0.0,98304.0,1610.0,452.0,0.0,0.0,486.0,935.0,1463244979.132
0.125,0.0,95.745,4.130,0.0,0.0,16384.0,4096.0,1610.0,452.0,0.0,0.0,568.0,1058.0,1463244980.132
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,476.0,909.0,1463244981.132
0.0,0.125,99.499,0.376,0.0,0.0,32768.0,0.0,1610.0,452.0,0.0,0.0,505.0,965.0,1463244982.132
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1674.0,452.0,0.0,0.0,466.0,896.0,1463244983.132
0.0,0.0,98.748,1.252,0.0,0.0,0.0,131072.0,1674.0,798.0,0.0,0.0,473.0,911.0,1463244984.132
0.125,0.125,98.252,1.498,0.0,0.0,0.0,4096.0,1674.0,452.0,0.0,0.0,484.0,919.0,1463244985.132
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1674.0,452.0,0.0,0.0,477.0,914.0,1463244986.132
0.125,0.0,99.875,0.0,0.0,0.0,0.0,98304.0,1610.0,452.0,0.0,0.0,502.0,887.0,1463244987.132
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,484.0,922.0,1463244988.132
0.125,0.0,99.625,0.250,0.0,0.0,0.0,32768.0,1674.0,452.0,0.0,0.0,472.0,903.0,1463244989.132
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1546.0,798.0,0.0,0.0,465.0,902.0,1463244990.131
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,482.0,934.0,1463244991.131
0.125,0.0,99.875,0.0,0.0,0.0,32768.0,36864.0,1674.0,452.0,0.0,0.0,514.0,981.0,1463244992.131
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,473.0,903.0,1463244993.131
6.008,0.751,90.989,2.253,0.0,0.0,1089536.0,184320.0,1674.0,452.0,0.0,0.0,1802.0,1831.0,1463244994.131
14.750,1.0,82.750,1.500,0.0,0.0,512000.0,0.0,1674.0,452.0,0.0,0.0,1431.0,1358.0,1463244995.131
29.463,0.999,69.039,0.499,0.0,0.0,98304.0,0.0,2203.0,1046.0,0.0,0.0,2605.0,1751.0,1463244996.132
16.709,0.628,81.910,0.628,0.0,0.126,192512.0,8192.0,1610.0,452.0,0.0,0.0,2238.0,3273.0,1463244997.132
27.331,0.639,71.009,0.894,0.0,0.128,20480.0,8192.0,8976284.0,66720.0,0.0,0.0,4273.0,3529.0,1463244998.132
12.516,0.751,82.103,4.506,0.0,0.125,180224.0,344064.0,116871.0,361401.0,0.0,0.0,2170.0,2689.0,1463244999.132
8.417,1.256,85.050,5.276,0.0,0.0,638976.0,8192.0,6810.0,120797.0,241664.0,0.0,2543.0,3643.0,1463245000.132
15.789,1.504,82.206,0.501,0.0,0.0,393216.0,0.0,2018.0,586.0,0.0,0.0,1797.0,1901.0,1463245001.132
29.875,1.500,67.0,1.625,0.0,0.0,368640.0,397312.0,2030.0,872.0,0.0,0.0,2141.0,1632.0,1463245002.132
15.875,0.625,83.125,0.375,0.0,0.0,217088.0,274432.0,4847.0,291016.0,0.0,0.0,1239.0,1519.0,1463245003.132
17.440,0.627,80.552,1.380,0.0,0.0,1339392.0,0.0,1738.0,452.0,0.0,0.0,1473.0,1914.0,1463245004.132
10.237,0.250,83.645,5.743,0.0,0.125,2682880.0,368640.0,1610.0,452.0,0.0,0.0,1366.0,1742.0,1463245005.132
18.045,0.251,78.321,3.383,0.0,0.0,1110016.0,0.0,2094.0,872.0,0.0,0.0,2406.0,2932.0,1463245006.132
20.980,0.503,70.477,8.040,0.0,0.0,339968.0,2273280.0,1610.0,452.0,32768.0,0.0,2544.0,2462.0,1463245007.132
3.759,0.125,95.363,0.752,0.0,0.0,143360.0,86016.0,1610.0,516.0,0.0,0.0,1212.0,1855.0,1463245008.132
49.620,6.709,42.152,0.759,0.0,0.759,241664.0,0.0,11815.0,30940.0,0.0,0.0,5960.0,7414.0,1463245009.132
93.719,4.648,1.633,0.0,0.0,0.0,184320.0,651264.0,29734.0,74711.0,65536.0,0.0,3431.0,2917.0,1463245010.132
97.121,2.879,0.0,0.0,0.0,0.0,16384.0,0.0,3893.0,2736.0,0.0,0.0,3195.0,2722.0,1463245011.132
94.763,4.988,0.125,0.0,0.0,0.125,77824.0,0.0,5267.0,2238.0,0.0,0.0,3368.0,2840.0,1463245012.132
91.468,6.775,1.757,0.0,0.0,0.0,12288.0,0.0,2830.0,802.0,0.0,0.0,3428.0,3163.0,1463245013.132
96.875,3.0,0.0,0.0,0.0,0.125,0.0,0.0,22443.0,16919.0,0.0,0.0,3367.0,3896.0,1463245014.132
97.750,2.250,0.0,0.0,0.0,0.0,0.0,249856.0,3195.0,896.0,0.0,0.0,2925.0,5780.0,1463245015.132
93.726,4.517,1.757,0.0,0.0,0.0,8192.0,0.0,2480.0,452.0,0.0,0.0,3101.0,3224.0,1463245016.132
82.767,15.220,1.509,0.252,0.0,0.252,6017024.0,0.0,2544.0,452.0,0.0,0.0,3473.0,3898.0,1463245017.132
92.625,4.500,1.625,0.0,0.0,1.250,29732864.0,0.0,15591.0,35877.0,0.0,0.0,6847.0,17676.0,1463245018.132
88.972,7.769,1.880,0.376,0.0,1.003,42024960.0,0.0,13525.0,78984.0,0.0,0.0,8187.0,13863.0,1463245019.132
