"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/dirty/2_134217728_500000000_0.35_6_100_teratest_e6c72645-5a36-4801-8f76-c4b1b49c07ff.csv",,,,"Date:","14 May 2016 15:31:54 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.535,1.160,80.595,2.575,0.000,0.136,1730496.856,5384486.838,0.0,0.0,2752.524,2671.203,1797.466,2099.053,1463232714.342
0.125,0.0,99.375,0.500,0.0,0.0,32768.0,0.0,2870.0,826.0,32768.0,0.0,491.0,939.0,1463232715.343
0.0,0.0,99.374,0.626,0.0,0.0,139264.0,0.0,1051.0,339.0,0.0,0.0,575.0,964.0,1463232716.343
0.376,0.0,97.368,2.256,0.0,0.0,0.0,118784.0,4150.0,4462.0,0.0,0.0,510.0,929.0,1463232717.343
0.0,0.0,99.625,0.375,0.0,0.0,0.0,569344.0,2792.0,678.0,0.0,0.0,604.0,892.0,1463232718.343
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1325.0,1337.0,0.0,0.0,504.0,942.0,1463232719.343
0.752,0.125,99.123,0.0,0.0,0.0,0.0,0.0,1978.0,2524.0,0.0,0.0,652.0,1075.0,1463232720.343
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,9501.0,9065.0,0.0,0.0,526.0,985.0,1463232721.343
0.0,0.0,97.747,2.253,0.0,0.0,0.0,53248.0,1797.0,1853.0,0.0,0.0,456.0,882.0,1463232722.343
0.0,0.125,98.377,1.498,0.0,0.0,0.0,1892352.0,987.0,339.0,0.0,0.0,496.0,920.0,1463232723.343
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2664.0,678.0,0.0,0.0,461.0,894.0,1463232724.343
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,456.0,887.0,1463232725.343
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,987.0,339.0,0.0,0.0,478.0,923.0,1463232726.343
0.0,0.0,97.750,2.250,0.0,0.0,0.0,40960.0,2856.0,678.0,0.0,0.0,475.0,900.0,1463232727.343
0.0,0.0,100.125,-0.125,0.0,0.0,0.0,0.0,1179.0,685.0,0.0,0.0,472.0,928.0,1463232728.343
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1115.0,339.0,0.0,0.0,480.0,910.0,1463232729.342
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2792.0,678.0,0.0,0.0,495.0,936.0,1463232730.343
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1368.0,339.0,0.0,0.0,478.0,932.0,1463232731.343
0.0,0.0,99.875,0.125,0.0,0.0,0.0,32768.0,1051.0,339.0,0.0,0.0,517.0,984.0,1463232732.343
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2728.0,742.0,0.0,0.0,471.0,908.0,1463232733.343
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1051.0,403.0,0.0,0.0,478.0,923.0,1463232734.343
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1385.0,403.0,0.0,0.0,488.0,938.0,1463232735.343
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2818.0,678.0,0.0,0.0,472.0,922.0,1463232736.343
0.0,0.0,99.875,0.125,0.0,0.0,0.0,16384.0,987.0,339.0,0.0,0.0,482.0,931.0,1463232737.343
0.0,0.0,100.0,0.0,0.0,0.0,0.0,106496.0,987.0,339.0,0.0,0.0,526.0,942.0,1463232738.343
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2728.0,678.0,0.0,0.0,465.0,903.0,1463232739.343
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,987.0,339.0,0.0,0.0,466.0,914.0,1463232740.343
