"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/dirty/2_134217728_500000000_0.35_6_100_teratest_ebed4698-95ca-4e24-be1a-3f6c99007811.csv",,,,"Date:","14 May 2016 20:11:47 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.546,1.163,80.563,2.593,0.000,0.136,1740834.423,5427489.315,0.0,0.0,2769.435,2692.583,1803.429,2104.164,1463249507.004
0.501,0.0,99.499,0.0,0.0,0.0,0.0,0.0,5067.0,5823.0,0.0,0.0,569.0,1019.0,1463249508.005
0.500,0.125,99.375,0.0,0.0,0.0,0.0,126976.0,5539.0,6199.0,0.0,0.0,568.0,985.0,1463249509.005
0.376,0.0,99.624,0.0,0.0,0.0,0.0,0.0,5883.0,6575.0,0.0,0.0,532.0,946.0,1463249510.005
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,476.0,907.0,1463249511.005
0.0,0.0,99.625,0.375,0.0,0.0,0.0,77824.0,1610.0,452.0,0.0,0.0,516.0,969.0,1463249512.005
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1610.0,452.0,0.0,0.0,483.0,911.0,1463249513.005
0.0,0.0,100.0,0.0,0.0,0.0,0.0,749568.0,1674.0,798.0,0.0,0.0,451.0,861.0,1463249514.005
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1674.0,452.0,0.0,0.0,474.0,915.0,1463249515.005
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,467.0,915.0,1463249516.005
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1738.0,452.0,0.0,0.0,465.0,890.0,1463249517.005
0.0,0.0,99.750,0.250,0.0,0.0,0.0,94208.0,1802.0,452.0,0.0,0.0,476.0,916.0,1463249518.005
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1738.0,516.0,0.0,0.0,456.0,882.0,1463249519.005
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1994.0,516.0,0.0,0.0,480.0,922.0,1463249520.005
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1866.0,516.0,0.0,0.0,494.0,939.0,1463249521.005
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1738.0,452.0,0.0,0.0,460.0,885.0,1463249522.004
0.501,2.128,89.612,7.760,0.0,0.0,3407872.0,16384.0,1738.0,452.0,0.0,0.0,2217.0,1496.0,1463249523.005
0.250,1.373,93.758,4.619,0.0,0.0,3284992.0,0.0,1930.0,452.0,0.0,0.0,2118.0,1267.0,1463249524.005
