"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/dirty/2_134217728_500000000_0.35_6_100_teratest_f02ae7d7-ad42-47ad-b6f4-5c8d4a4c1a57.csv",,,,"Date:","14 May 2016 19:34:52 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.545,1.163,80.564,2.592,0.000,0.136,1740080.832,5424777.525,0.0,0.0,2769.644,2692.735,1802.931,2103.865,1463247292.603
0.875,0.125,96.750,2.250,0.0,0.0,0.0,86016.0,5288.0,4836.0,0.0,0.0,627.0,1057.0,1463247293.603
0.624,0.125,98.377,0.874,0.0,0.0,0.0,4096.0,7870.0,9494.0,0.0,0.0,617.0,1045.0,1463247294.604
0.125,0.0,99.875,0.0,0.0,0.0,0.0,4096.0,3625.0,4267.0,0.0,0.0,584.0,1064.0,1463247295.604
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2169.0,565.0,0.0,0.0,487.0,926.0,1463247296.604
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,463.0,889.0,1463247297.604
0.125,0.0,99.625,0.250,0.0,0.0,0.0,40960.0,1115.0,749.0,0.0,0.0,502.0,946.0,1463247298.604
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2105.0,565.0,0.0,0.0,487.0,909.0,1463247299.604
0.125,0.0,99.875,0.0,0.0,0.0,0.0,1929216.0,1610.0,452.0,0.0,0.0,496.0,916.0,1463247300.604
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,987.0,339.0,0.0,0.0,507.0,949.0,1463247301.604
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2105.0,565.0,0.0,0.0,476.0,908.0,1463247302.604
0.125,0.0,99.625,0.250,0.0,0.0,0.0,53248.0,1546.0,452.0,0.0,0.0,489.0,927.0,1463247303.604
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1115.0,339.0,0.0,0.0,498.0,932.0,1463247304.604
0.0,0.0,100.0,0.0,0.0,0.0,0.0,8192.0,2105.0,565.0,0.0,0.0,494.0,920.0,1463247305.604
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1546.0,452.0,0.0,0.0,475.0,913.0,1463247306.604
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1051.0,339.0,0.0,0.0,486.0,919.0,1463247307.604
0.0,0.0,99.750,0.250,0.0,0.0,0.0,16384.0,2233.0,565.0,0.0,0.0,493.0,933.0,1463247308.604
