replication,blocksize,dimension,start_reduce_percentage,reducers,taskio,start_time,start_reduce,end_time,total_time
2,134217728,68478432,0.5,12,100,terasort,1464531384,1464531443,1464531500,116
2,134217728,410870595,0.5,12,100,terasort,1464447004,1464447212,1464447703,699
2,134217728,68478432,0.5,12,100,terasort,1464524101,1464524161,1464524212,111
2,67108864,205435297,0.5,6,100,terasort,1464465780,1464465920,1464466148,368
2,134217728,68478432,0.35,6,100,terasort,1464430728,1464430773,1464430883,155
2,134217728,68478432,0.95,12,100,terasort,1464662976,1464662976,1464663047,71
2,134217728,410870595,0.35,24,100,terasort,1464443798,1464443967,1464444577,779
2,134217728,68478432,0.5,12,100,terasort,1464525198,1464525259,1464525308,110
2,134217728,68478432,0.35,12,100,terasort,1464431334,1464431385,1464431443,109
2,134217728,1000000,0.35,6,100,terasort,1464425805,1464425843,1464425856,51
2,134217728,1000000,0.35,6,100,terasort,1464427154,1464427184,1464427209,55
2,134217728,1000000,0.35,6,100,terasort,1464429179,1464429208,1464429234,55
2,67108864,34239216,0.35,24,100,terasort,1464456512,1464456546,1464456605,93
2,134217728,410870595,0.5,6,100,terasort,1464445223,1464445433,1464446341,1118
2,134217728,68478432,0.95,6,100,terasort,1464663482,1464663584,1464663649,167
2,134217728,205435297,0.35,6,100,terasort,1464434260,1464434351,1464435135,875
2,67108864,205435297,0.35,6,100,terasort,1464463033,1464463138,1464463405,372
2,67108864,205435297,0.35,24,100,terasort,1464464867,1464464969,1464465249,382
2,134217728,68478432,0.5,6,100,terasort,1464665379,1464665438,1464665514,135
2,67108864,102717648,0.5,24,100,terasort,1464462261,1464462349,1464462487,226
2,134217728,68478432,0.5,12,100,terasort,1464527997,1464528058,1464528108,111
2,134217728,68478432,0.95,24,100,terasort,1464664738,1464664834,1464664931,193
2,134217728,68478432,0.5,12,100,terasort,1464530809,1464530868,1464530926,117
2,134217728,205435297,0.5,6,100,terasort,1464437417,1464437520,1464437844,427
2,134217728,1000000,0.35,6,100,terasort,1464426692,1464426722,1464426747,55
2,134217728,1000000,0.35,6,100,terasort,1464428526,1464428556,1464428579,53
2,67108864,34239216,0.5,6,100,terasort,1464457036,1464457079,1464457122,86
2,134217728,100000000,0.35,6,100,terasort,1464365753,1464365815,1464365944,191
2,67108864,34239216,0.5,12,100,terasort,1464457556,1464457597,1464457639,83
2,67108864,205435297,0.35,12,100,terasort,1464463960,1464464065,1464464322,362
2,134217728,68478432,0.5,12,100,terasort,1464525755,1464525821,1464525869,114
2,134217728,205435297,0.5,12,100,terasort,1464438371,1464438475,1464438776,405
2,134217728,68478432,0.5,12,100,terasort,1464532500,1464532568,1464532622,122
2,134217728,205435297,0.5,12,100,terasort,1464671121,1464671233,1464671532,411
2,134217728,100000000,0.35,6,100,terasort,1464368558,1464368624,1464368725,167
2,134217728,68478432,0.5,12,100,terasort,1464533636,1464533697,1464533749,113
2,67108864,205435297,0.5,12,100,terasort,1464466684,1464466825,1464467040,356
2,134217728,68478432,0.5,12,100,terasort,1464433061,1464433128,1464433178,117
2,134217728,68478432,0.5,12,100,terasort,1464534191,1464534251,1464534308,117
2,134217728,1000000,0.35,6,100,terasort,1464428869,1464428898,1464428920,51
2,134217728,68478432,0.5,12,100,terasort,1464527432,1464527492,1464527548,116
2,134217728,68478432,0.5,24,100,terasort,1464666567,1464666626,1464666692,125
2,134217728,410870595,0.35,12,100,terasort,1464442419,1464442575,1464443120,701
2,134217728,205435297,0.35,12,100,terasort,1464435701,1464435793,1464436043,342
2,134217728,68478432,0.5,12,100,terasort,1464524646,1464524705,1464524754,108
2,134217728,205435297,0.95,24,100,terasort,1464669102,1464669283,1464669405,303
2,134217728,205435297,0.5,24,100,terasort,1464672081,1464672186,1464672416,335
2,67108864,102717648,0.5,12,100,terasort,1464461593,1464461681,1464461767,174
2,134217728,68478432,0.5,12,100,terasort,1464529135,1464529197,1464529247,112
2,134217728,100000000,0.35,6,100,terasort,1464370154,1464370227,1464370330,176
2,134217728,205435297,0.95,6,100,terasort,1464667267,1464667452,1464667638,371
2,134217728,68478432,0.5,12,100,terasort,1464528564,1464528631,1464528680,116
2,67108864,205435297,0.5,24,100,terasort,1464467582,1464467718,1464468005,423
2,134217728,68478432,0.5,12,100,terasort,1464529700,1464529757,1464529818,118
2,134217728,410870595,0.35,6,100,terasort,1464440302,1464440471,1464441754,1452
2,134217728,68478432,0.5,12,100,terasort,1464523554,1464523614,1464523665,111
2,134217728,205435297,0.35,24,100,terasort,1464436588,1464436680,1464436891,303
2,67108864,102717648,0.35,24,100,terasort,1464460165,1464460234,1464460390,225
2,134217728,100000000,0.35,6,100,terasort,1464363121,1464363187,1464363316,195
2,134217728,100000000,0.35,6,100,terasort,1464370638,1464370700,1464370864,226
2,134217728,410870595,0.5,24,100,terasort,1464448380,1464448591,1464449172,792
2,134217728,1000000,0.35,6,100,terasort,1464428101,1464428131,1464428156,55
2,67108864,34239216,0.5,24,100,terasort,1464458056,1464458103,1464458134,78
2,67108864,102717648,0.35,6,100,terasort,1464458591,1464458667,1464458982,391
2,134217728,68478432,0.5,12,100,terasort,1464526872,1464526933,1464526982,110
2,134217728,68478432,0.5,12,100,terasort,1464665978,1464666038,1464666103,125
2,67108864,34239216,0.35,12,100,terasort,1464455999,1464456036,1464456082,83
2,134217728,68478432,0.95,12,100,terasort,1464664102,1464664204,1464664285,183
2,134217728,68478432,0.5,12,100,terasort,1464530256,1464530316,1464530368,112
2,134217728,68478432,0.5,6,100,terasort,1464432484,1464432544,1464432609,125
2,134217728,68478432,0.5,12,100,terasort,1464533072,1464533132,1464533190,118
2,134217728,68478432,0.5,12,100,terasort,1464531941,1464532000,1464532057,116
2,134217728,205435297,0.5,24,100,terasort,1464439319,1464439431,1464439628,309
2,67108864,102717648,0.35,12,100,terasort,1464459478,1464459550,1464459697,219
2,67108864,102717648,0.5,6,100,terasort,1464460866,1464460946,1464461115,249
2,134217728,205435297,0.95,12,100,terasort,1464668224,1464668400,1464668521,297
2,67108864,34239216,0.35,6,100,terasort,1464455473,1464455506,1464455570,97
2,134217728,205435297,0.5,6,100,terasort,1464669977,1464670082,1464670538,561
2,134217728,68478432,0.5,24,100,terasort,1464433622,1464433683,1464433734,112
2,134217728,68478432,0.35,24,100,terasort,1464431885,1464431930,1464432036,151
2,134217728,68478432,0.5,12,100,terasort,1464526308,1464526373,1464526426,118
