timestamp,map,reduce
1464438371,0,0
1464438387,2,0
1464438388,5,0
1464438389,6,0
1464438390,8,0
1464438391,9,0
1464438392,10,0
1464438396,11,0
1464438397,12,0
1464438398,13,0
1464438400,14,0
1464438402,15,0
1464438411,16,0
1464438412,18,0
1464438414,19,0
1464438415,20,0
1464438417,21,0
1464438418,23,0
1464438420,25,0
1464438421,26,0
1464438422,27,0
1464438424,28,0
1464438425,29,0
1464438426,30,0
1464438427,31,0
1464438429,32,0
1464438432,33,0
1464438434,34,0
1464438435,35,0
1464438436,36,0
1464438437,37,0
1464438438,38,0
1464438440,39,0
1464438441,40,0
1464438443,41,0
1464438444,42,0
1464438445,43,0
1464438446,44,0
1464438447,45,0
1464438449,47,0
1464438451,48,0
1464438452,49,0
1464438454,50,0
1464438456,51,0
1464438458,52,0
1464438459,53,0
1464438460,54,0
1464438461,55,0
1464438463,56,0
1464438465,57,0
1464438466,58,0
1464438468,59,0
1464438469,60,0
1464438472,61,0
1464438475,62,1
1464438476,63,2
1464438479,64,2
1464438483,64,4
1464438484,64,6
1464438485,64,7
1464438486,64,9
1464438487,65,9
1464438488,65,10
1464438490,66,10
1464438491,66,11
1464438494,67,12
1464438497,68,13
1464438499,68,14
1464438502,68,15
1464438503,69,15
1464438505,70,16
1464438507,71,16
1464438508,71,17
1464438509,72,17
1464438511,73,18
1464438513,74,18
1464438515,74,19
1464438516,75,19
1464438517,75,20
1464438520,76,20
1464438521,77,21
1464438523,78,21
1464438524,78,22
1464438526,79,22
1464438527,79,23
1464438529,80,23
1464438532,80,24
1464438533,81,24
1464438535,82,25
1464438536,83,25
1464438537,84,25
1464438539,85,25
1464438540,85,26
1464438542,86,26
1464438543,87,26
1464438546,88,27
1464438550,89,28
1464438554,89,29
1464438558,90,29
1464438560,91,30
1464438563,93,30
1464438565,94,30
1464438569,95,30
1464438571,95,31
1464438574,95,32
1464438583,96,32
1464438590,97,32
1464438596,98,32
1464438605,99,32
1464438615,100,32
1464438620,100,33
1464438623,100,37
1464438624,100,38
1464438625,100,40
1464438626,100,47
1464438627,100,48
1464438628,100,50
1464438629,100,57
1464438630,100,65
1464438632,100,68
1464438635,100,69
1464438636,100,70
1464438638,100,71
1464438640,100,72
1464438642,100,73
1464438644,100,74
1464438645,100,75
1464438647,100,76
1464438648,100,77
1464438650,100,78
1464438652,100,79
1464438654,100,80
1464438655,100,81
1464438657,100,82
1464438659,100,83
1464438660,100,84
1464438662,100,85
1464438665,100,86
1464438666,100,87
1464438669,100,88
1464438672,100,89
1464438674,100,90
1464438679,100,91
1464438688,100,92
1464438699,100,93
1464438708,100,94
1464438720,100,95
1464438729,100,96
1464438742,100,97
1464438752,100,98
1464438764,100,99
1464438776,100,100
