timestamp,map,reduce
1464431334,0,0
1464431351,5,0
1464431352,16,0
1464431353,21,0
1464431354,24,0
1464431355,29,0
1464431356,32,0
1464431357,33,0
1464431358,34,0
1464431359,35,0
1464431361,39,0
1464431362,45,0
1464431363,46,0
1464431366,47,0
1464431368,48,0
1464431373,49,0
1464431377,50,0
1464431379,53,0
1464431380,62,0
1464431381,66,0
1464431382,67,0
1464431383,74,0
1464431384,77,0
1464431385,77,1
1464431386,79,3
1464431387,80,3
1464431388,81,3
1464431389,86,5
1464431390,89,5
1464431391,91,7
1464431392,93,7
1464431393,95,7
1464431394,95,8
1464431395,95,9
1464431398,96,10
1464431399,96,11
1464431400,97,11
1464431402,98,15
1464431403,99,19
1464431404,99,20
1464431405,100,23
1464431406,100,24
1464431407,100,25
1464431408,100,27
1464431410,100,28
1464431411,100,30
1464431412,100,31
1464431413,100,32
1464431414,100,38
1464431415,100,39
1464431416,100,44
1464431417,100,53
1464431418,100,55
1464431419,100,58
1464431420,100,66
1464431422,100,68
1464431423,100,71
1464431424,100,72
1464431425,100,73
1464431426,100,76
1464431427,100,77
1464431428,100,78
1464431429,100,82
1464431431,100,83
1464431432,100,86
1464431433,100,87
1464431434,100,88
1464431435,100,92
1464431437,100,94
1464431438,100,96
1464431439,100,97
1464431440,100,98
1464431441,100,99
1464431443,100,100
