timestamp,map,reduce
1464431885,0,0
1464431900,4,0
1464431901,10,0
1464431902,16,0
1464431903,22,0
1464431904,25,0
1464431905,28,0
1464431906,31,0
1464431907,32,0
1464431908,33,0
1464431909,36,0
1464431910,37,0
1464431911,41,0
1464431912,43,0
1464431914,44,0
1464431915,46,0
1464431921,47,0
1464431924,51,0
1464431925,56,0
1464431926,59,0
1464431927,62,0
1464431928,65,0
1464431929,67,0
1464431930,68,1
1464431931,70,1
1464431932,71,3
1464431933,73,3
1464431934,76,4
1464431935,82,5
1464431936,83,6
1464431938,84,7
1464431939,85,7
1464431941,85,8
1464431942,85,9
1464431945,86,10
1464431946,88,11
1464431948,88,13
1464431949,89,15
1464431950,89,20
1464431951,89,23
1464431953,89,24
1464431954,89,25
1464431955,90,25
1464431956,91,25
1464431958,92,25
1464431959,93,25
1464431961,94,25
1464431962,94,26
1464431965,94,27
1464431968,94,28
1464431972,94,29
1464431975,94,30
1464431983,94,31
1464431987,96,31
1464431990,97,31
1464431993,98,31
1464432002,99,31
1464432005,100,31
1464432006,100,32
1464432008,100,33
1464432009,100,35
1464432010,100,38
1464432011,100,44
1464432012,100,48
1464432013,100,52
1464432014,100,58
1464432015,100,61
1464432016,100,65
1464432017,100,66
1464432018,100,68
1464432019,100,69
1464432020,100,70
1464432021,100,72
1464432022,100,75
1464432023,100,77
1464432024,100,79
1464432025,100,81
1464432026,100,84
1464432027,100,87
1464432028,100,89
1464432029,100,91
1464432030,100,93
1464432031,100,95
1464432032,100,97
1464432033,100,98
1464432035,100,99
1464432036,100,100
