timestamp,map,reduce
1464665978,0,0
1464665993,6,0
1464665994,19,0
1464665995,20,0
1464665996,23,0
1464665997,30,0
1464665998,31,0
1464665999,32,0
1464666000,33,0
1464666001,34,0
1464666002,36,0
1464666003,43,0
1464666004,46,0
1464666015,48,0
1464666016,49,0
1464666018,57,0
1464666019,60,0
1464666020,64,0
1464666021,69,0
1464666023,71,0
1464666024,74,0
1464666025,76,0
1464666026,79,0
1464666027,82,0
1464666028,83,0
1464666030,84,0
1464666032,85,0
1464666038,85,7
1464666039,86,12
1464666040,86,15
1464666041,86,17
1464666042,86,19
1464666043,88,21
1464666044,88,22
1464666045,88,23
1464666046,89,25
1464666047,91,25
1464666048,91,26
1464666049,92,28
1464666050,92,29
1464666054,93,29
1464666057,94,29
1464666059,95,29
1464666061,96,29
1464666065,97,29
1464666067,97,30
1464666070,98,30
1464666072,99,30
1464666073,100,30
1464666077,100,31
1464666078,100,32
1464666079,100,35
1464666080,100,37
1464666081,100,41
1464666082,100,48
1464666083,100,54
1464666084,100,60
1464666085,100,64
1464666086,100,68
1464666087,100,70
1464666088,100,72
1464666089,100,73
1464666090,100,76
1464666091,100,78
1464666092,100,80
1464666093,100,82
1464666094,100,85
1464666095,100,87
1464666096,100,89
1464666097,100,91
1464666098,100,93
1464666099,100,95
1464666100,100,96
1464666101,100,98
1464666102,100,99
1464666103,100,100
