timestamp,map,reduce
1464527432,0,0
1464527447,3,0
1464527448,9,0
1464527449,14,0
1464527450,22,0
1464527451,24,0
1464527452,27,0
1464527453,30,0
1464527454,31,0
1464527455,32,0
1464527456,35,0
1464527457,36,0
1464527458,40,0
1464527459,43,0
1464527461,44,0
1464527462,45,0
1464527463,46,0
1464527469,48,0
1464527471,52,0
1464527472,54,0
1464527473,59,0
1464527474,63,0
1464527475,66,0
1464527476,69,0
1464527477,71,0
1464527478,75,0
1464527480,77,0
1464527481,80,0
1464527482,84,0
1464527483,87,0
1464527485,90,0
1464527486,91,0
1464527491,92,0
1464527492,94,4
1464527493,94,5
1464527494,94,7
1464527495,95,10
1464527496,95,12
1464527497,95,15
1464527498,95,18
1464527499,95,20
1464527500,96,20
1464527501,97,22
1464527502,97,23
1464527504,99,24
1464527506,100,25
1464527507,100,26
1464527509,100,27
1464527510,100,28
1464527511,100,29
1464527513,100,32
1464527515,100,34
1464527516,100,40
1464527517,100,41
1464527518,100,47
1464527519,100,53
1464527520,100,59
1464527521,100,64
1464527522,100,66
1464527523,100,68
1464527524,100,69
1464527525,100,71
1464527526,100,72
1464527527,100,73
1464527528,100,76
1464527529,100,77
1464527530,100,78
1464527531,100,81
1464527533,100,83
1464527534,100,86
1464527535,100,87
1464527536,100,88
1464527537,100,90
1464527538,100,91
1464527539,100,92
1464527540,100,93
1464527541,100,94
1464527542,100,96
1464527544,100,97
1464527545,100,98
1464527546,100,99
1464527548,100,100
