timestamp,map,reduce
1464523554,0,0
1464523569,6,0
1464523570,13,0
1464523571,17,0
1464523572,23,0
1464523573,26,0
1464523574,28,0
1464523575,31,0
1464523576,32,0
1464523577,33,0
1464523578,36,0
1464523579,39,0
1464523580,41,0
1464523581,43,0
1464523583,45,0
1464523584,46,0
1464523591,50,0
1464523593,54,0
1464523594,57,0
1464523595,61,0
1464523596,63,0
1464523597,64,0
1464523598,70,0
1464523599,71,0
1464523600,74,0
1464523601,77,0
1464523602,80,0
1464523603,81,0
1464523604,83,0
1464523605,86,0
1464523606,87,0
1464523607,89,0
1464523608,91,0
1464523614,91,3
1464523615,93,9
1464523616,94,11
1464523617,94,16
1464523618,95,18
1464523620,95,20
1464523621,95,22
1464523623,95,23
1464523624,97,24
1464523626,97,25
1464523627,98,26
1464523628,99,26
1464523629,100,27
1464523632,100,29
1464523633,100,30
1464523636,100,34
1464523638,100,37
1464523639,100,46
1464523640,100,47
1464523641,100,56
1464523642,100,62
1464523643,100,64
1464523644,100,68
1464523645,100,69
1464523646,100,70
1464523647,100,72
1464523648,100,74
1464523649,100,75
1464523650,100,77
1464523651,100,80
1464523652,100,81
1464523653,100,82
1464523654,100,86
1464523655,100,87
1464523656,100,88
1464523657,100,91
1464523658,100,92
1464523659,100,94
1464523660,100,96
1464523662,100,98
1464523663,100,99
1464523665,100,100
