timestamp,map,reduce
1464534191,0,0
1464534206,4,0
1464534207,13,0
1464534208,16,0
1464534209,22,0
1464534210,27,0
1464534211,28,0
1464534212,31,0
1464534213,32,0
1464534215,35,0
1464534216,40,0
1464534217,41,0
1464534218,43,0
1464534220,44,0
1464534221,46,0
1464534227,47,0
1464534229,49,0
1464534230,51,0
1464534231,53,0
1464534232,60,0
1464534233,65,0
1464534234,66,0
1464534235,69,0
1464534236,73,0
1464534237,76,0
1464534238,80,0
1464534239,83,0
1464534240,84,0
1464534241,86,0
1464534242,89,0
1464534243,91,0
1464534249,92,0
1464534251,92,2
1464534252,93,2
1464534253,94,4
1464534254,95,12
1464534255,95,14
1464534256,95,16
1464534257,95,18
1464534258,95,20
1464534259,95,21
1464534260,96,22
1464534261,96,23
1464534263,97,24
1464534264,98,24
1464534265,98,25
1464534266,99,25
1464534267,100,26
1464534268,100,27
1464534270,100,28
1464534271,100,29
1464534272,100,30
1464534273,100,32
1464534274,100,33
1464534275,100,38
1464534276,100,44
1464534277,100,46
1464534278,100,51
1464534279,100,58
1464534280,100,60
1464534281,100,64
1464534282,100,68
1464534283,100,69
1464534284,100,71
1464534285,100,72
1464534286,100,73
1464534287,100,75
1464534288,100,76
1464534289,100,78
1464534290,100,80
1464534291,100,81
1464534292,100,83
1464534293,100,85
1464534294,100,86
1464534295,100,88
1464534296,100,90
1464534297,100,91
1464534298,100,93
1464534299,100,94
1464534300,100,95
1464534301,100,96
1464534303,100,97
1464534304,100,98
1464534306,100,99
1464534308,100,100
