timestamp,map,reduce
1464530809,0,0
1464530825,20,0
1464530828,31,0
1464530831,33,0
1464530834,42,0
1464530835,46,0
1464530847,48,0
1464530848,49,0
1464530849,53,0
1464530850,57,0
1464530851,60,0
1464530852,66,0
1464530853,68,0
1464530854,69,0
1464530855,74,0
1464530856,76,0
1464530857,78,0
1464530858,79,0
1464530859,80,0
1464530860,83,0
1464530861,89,0
1464530862,90,0
1464530863,91,0
1464530866,92,0
1464530868,92,2
1464530870,92,5
1464530871,92,9
1464530872,93,10
1464530873,94,11
1464530874,94,14
1464530875,95,16
1464530876,95,18
1464530877,95,19
1464530878,95,20
1464530879,96,20
1464530880,96,21
1464530881,96,22
1464530882,97,22
1464530883,98,25
1464530885,99,25
1464530886,100,26
1464530887,100,27
1464530889,100,28
1464530890,100,29
1464530891,100,30
1464530893,100,32
1464530894,100,33
1464530895,100,36
1464530896,100,42
1464530897,100,48
1464530898,100,53
1464530899,100,60
1464530900,100,65
1464530901,100,66
1464530902,100,68
1464530904,100,69
1464530905,100,71
1464530906,100,72
1464530907,100,73
1464530908,100,75
1464530909,100,77
1464530910,100,78
1464530911,100,80
1464530912,100,81
1464530913,100,82
1464530914,100,85
1464530915,100,86
1464530916,100,87
1464530917,100,90
1464530918,100,91
1464530919,100,92
1464530920,100,94
1464530921,100,95
1464530922,100,96
1464530923,100,98
1464530925,100,99
1464530926,100,100
