timestamp,map,reduce
1464432484,0,0
1464432499,6,0
1464432500,10,0
1464432501,14,0
1464432502,23,0
1464432503,24,0
1464432504,27,0
1464432505,30,0
1464432506,31,0
1464432508,36,0
1464432510,40,0
1464432511,43,0
1464432514,46,0
1464432520,47,0
1464432523,49,0
1464432524,50,0
1464432525,54,0
1464432526,58,0
1464432528,65,0
1464432529,69,0
1464432531,72,0
1464432532,76,0
1464432533,77,0
1464432534,83,0
1464432535,85,0
1464432536,86,0
1464432537,89,0
1464432538,90,0
1464432540,91,0
1464432544,91,7
1464432545,92,15
1464432546,93,15
1464432547,94,15
1464432548,95,15
1464432550,95,17
1464432551,95,18
1464432553,95,19
1464432554,96,21
1464432556,97,23
1464432557,98,24
1464432559,99,25
1464432560,100,26
1464432562,100,27
1464432563,100,29
1464432566,100,31
1464432569,100,36
1464432571,100,38
1464432572,100,43
1464432574,100,52
1464432575,100,68
1464432577,100,69
1464432578,100,71
1464432580,100,72
1464432581,100,74
1464432583,100,75
1464432584,100,77
1464432586,100,78
1464432587,100,80
1464432589,100,81
1464432590,100,83
1464432592,100,84
1464432593,100,86
1464432596,100,87
1464432597,100,89
1464432599,100,90
1464432600,100,92
1464432602,100,93
1464432603,100,96
1464432606,100,98
1464432609,100,100
