timestamp,map,reduce
1464665379,0,0
1464665395,3,0
1464665396,10,0
1464665397,20,0
1464665398,22,0
1464665399,24,0
1464665400,31,0
1464665401,32,0
1464665403,33,0
1464665404,36,0
1464665406,44,0
1464665407,46,0
1464665418,51,0
1464665419,57,0
1464665421,61,0
1464665422,63,0
1464665423,66,0
1464665424,71,0
1464665425,73,0
1464665426,74,0
1464665427,76,0
1464665428,79,0
1464665430,80,0
1464665431,82,0
1464665432,83,0
1464665433,85,0
1464665434,86,0
1464665436,88,0
1464665437,89,0
1464665438,89,5
1464665439,90,13
1464665440,91,13
1464665441,91,15
1464665442,92,15
1464665445,92,17
1464665446,92,18
1464665448,92,19
1464665449,93,21
1464665450,94,21
1464665451,94,22
1464665452,95,23
1464665454,96,24
1464665455,96,25
1464665457,96,26
1464665458,96,27
1464665460,97,27
1464665461,97,28
1464665463,98,29
1464665465,99,29
1464665466,100,29
1464665469,100,30
1464665470,100,31
1464665473,100,32
1464665475,100,35
1464665476,100,45
1464665478,100,50
1464665479,100,57
1464665481,100,68
1464665482,100,69
1464665484,100,71
1464665485,100,72
1464665487,100,73
1464665488,100,75
1464665490,100,76
1464665491,100,78
1464665493,100,79
1464665494,100,81
1464665496,100,83
1464665497,100,84
1464665499,100,86
1464665500,100,87
1464665502,100,89
1464665503,100,90
1464665505,100,92
1464665506,100,93
1464665508,100,95
1464665509,100,96
1464665511,100,97
1464665512,100,99
1464665514,100,100
