timestamp,map,reduce
1464460866,0,0
1464460882,9,0
1464460883,10,0
1464460885,14,0
1464460886,15,0
1464460899,16,0
1464460900,17,0
1464460901,18,0
1464460902,26,0
1464460903,27,0
1464460905,30,0
1464460906,31,0
1464460915,32,0
1464460916,33,0
1464460917,34,0
1464460918,37,0
1464460919,39,0
1464460920,40,0
1464460921,41,0
1464460922,44,0
1464460923,50,0
1464460929,51,0
1464460931,53,0
1464460932,55,0
1464460933,56,0
1464460934,57,0
1464460935,58,0
1464460937,61,0
1464460938,62,0
1464460939,63,0
1464460940,67,0
1464460944,68,0
1464460946,69,3
1464460948,69,5
1464460949,70,5
1464460952,72,7
1464460953,74,7
1464460954,75,7
1464460956,77,9
1464460957,78,9
1464460958,79,9
1464460959,80,10
1464460960,81,10
1464460962,81,11
1464460963,82,11
1464460966,83,13
1464460967,84,13
1464460968,85,13
1464460969,87,13
1464460970,88,14
1464460972,90,14
1464460974,93,15
1464460975,93,16
1464460976,94,16
1464460977,94,17
1464460978,95,18
1464460979,96,18
1464460982,96,19
1464460984,97,20
1464460986,97,21
1464460988,98,21
1464460990,98,22
1464460991,99,22
1464460994,99,23
1464460996,99,24
1464461001,100,25
1464461005,100,27
1464461008,100,30
1464461009,100,31
1464461011,100,38
1464461012,100,44
1464461013,100,50
1464461014,100,51
1464461017,100,52
1464461018,100,53
1464461021,100,54
1464461023,100,55
1464461024,100,56
1464461026,100,57
1464461027,100,58
1464461028,100,59
1464461030,100,60
1464461031,100,61
1464461033,100,62
1464461036,100,64
1464461038,100,65
1464461039,100,66
1464461040,100,67
1464461042,100,68
1464461044,100,69
1464461045,100,70
1464461048,100,73
1464461049,100,74
1464461050,100,75
1464461051,100,78
1464461052,100,81
1464461054,100,83
1464461055,100,86
1464461057,100,87
1464461059,100,88
1464461061,100,89
1464461063,100,90
1464461067,100,91
1464461073,100,92
1464461078,100,93
1464461084,100,94
1464461090,100,95
1464461094,100,96
1464461099,100,97
1464461105,100,98
1464461109,100,99
1464461115,100,100
