timestamp,map,reduce
1464693423,0,0
1464693438,3,0
1464693439,10,0
1464693441,12,0
1464693442,14,0
1464693443,15,0
1464693454,16,0
1464693456,20,0
1464693459,21,0
1464693460,28,0
1464693461,29,0
1464693463,31,0
1464693473,33,0
1464693474,39,0
1464693475,40,0
1464693479,44,0
1464693480,47,0
1464693483,48,0
1464693484,50,0
1464693486,51,0
1464693487,52,0
1464693488,55,0
1464693489,58,0
1464693490,59,0
1464693493,60,0
1464693494,61,0
1464693495,66,0
1464693496,67,0
1464693500,68,0
1464693501,69,0
1464693502,71,0
1464693503,75,0
1464693505,76,0
1464693508,77,0
1464693509,78,0
1464693510,80,0
1464693511,83,0
1464693515,84,0
1464693516,85,0
1464693517,87,0
1464693518,91,0
1464693521,93,0
1464693524,95,0
1464693543,96,0
1464693550,97,0
1464693552,98,0
1464693553,98,5
1464693554,99,9
1464693555,99,12
1464693556,99,13
1464693557,99,15
1464693558,100,17
1464693559,100,19
1464693561,100,20
1464693562,100,21
1464693563,100,22
1464693564,100,23
1464693565,100,24
1464693566,100,25
1464693567,100,26
1464693569,100,27
1464693570,100,28
1464693572,100,31
1464693573,100,32
1464693574,100,33
1464693575,100,39
1464693576,100,43
1464693577,100,44
1464693578,100,47
1464693579,100,52
1464693580,100,56
1464693581,100,59
1464693582,100,62
1464693583,100,64
1464693584,100,68
1464693585,100,69
1464693586,100,72
1464693587,100,74
1464693588,100,75
1464693589,100,76
1464693590,100,78
1464693591,100,79
1464693592,100,80
1464693593,100,82
1464693594,100,83
1464693595,100,84
1464693596,100,86
1464693597,100,87
1464693598,100,88
1464693599,100,90
1464693600,100,91
1464693601,100,92
1464693602,100,94
1464693603,100,95
1464693604,100,96
1464693605,100,97
1464693607,100,98
1464693608,100,99
1464693610,100,100
