timestamp,map,reduce
1464464867,0,0
1464464884,5,0
1464464885,7,0
1464464898,8,0
1464464901,13,0
1464464912,14,0
1464464914,15,0
1464464916,17,0
1464464917,20,0
1464464919,21,0
1464464924,22,0
1464464928,23,0
1464464931,24,0
1464464932,27,0
1464464933,29,0
1464464943,30,0
1464464947,31,0
1464464948,32,0
1464464949,34,0
1464464950,35,0
1464464956,36,0
1464464961,37,0
1464464963,38,0
1464464964,40,0
1464464965,41,0
1464464966,42,0
1464464969,42,1
1464464972,42,2
1464464974,42,3
1464464978,42,4
1464464979,43,4
1464464980,44,6
1464464982,45,7
1464464983,46,7
1464464984,46,8
1464464987,47,8
1464464993,48,8
1464464995,49,9
1464464996,50,9
1464465004,51,9
1464465005,52,9
1464465006,53,9
1464465014,53,10
1464465015,54,10
1464465016,55,10
1464465024,56,10
1464465025,57,10
1464465028,58,10
1464465032,58,11
1464465035,59,11
1464465036,60,11
1464465038,61,11
1464465040,62,11
1464465045,63,11
1464465047,64,12
1464465050,65,12
1464465054,65,13
1464465056,66,13
1464465058,67,13
1464465059,68,13
1464465061,69,13
1464465062,69,14
1464465069,70,14
1464465071,71,14
1464465079,72,14
1464465082,73,14
1464465083,74,14
1464465084,74,15
1464465089,75,15
1464465092,76,15
1464465094,77,15
1464465097,78,16
1464465101,79,16
1464465104,80,16
1464465105,81,16
1464465107,81,17
1464465108,82,17
1464465113,83,17
1464465116,85,17
1464465120,86,18
1464465123,87,18
1464465124,88,18
1464465127,89,18
1464465130,90,18
1464465131,91,18
1464465133,91,19
1464465136,92,19
1464465138,93,19
1464465140,94,19
1464465142,94,20
1464465143,95,20
1464465145,96,20
1464465147,97,20
1464465149,98,20
1464465151,99,20
1464465152,100,20
1464465153,100,21
1464465158,100,23
1464465159,100,27
1464465160,100,32
1464465161,100,34
1464465162,100,38
1464465163,100,43
1464465164,100,46
1464465166,100,47
1464465167,100,48
1464465168,100,49
1464465169,100,51
1464465171,100,52
1464465172,100,53
1464465173,100,54
1464465174,100,55
1464465175,100,56
1464465176,100,57
1464465178,100,58
1464465179,100,60
1464465180,100,61
1464465182,100,63
1464465183,100,66
1464465184,100,68
1464465185,100,69
1464465186,100,71
1464465187,100,72
1464465188,100,74
1464465189,100,75
1464465190,100,77
1464465191,100,78
1464465192,100,79
1464465193,100,80
1464465194,100,81
1464465195,100,82
1464465197,100,84
1464465200,100,85
1464465202,100,86
1464465204,100,87
1464465207,100,88
1464465209,100,89
1464465212,100,91
1464465213,100,92
1464465215,100,93
1464465216,100,95
1464465219,100,96
1464465223,100,97
1464465228,100,98
1464465237,100,99
1464465249,100,100
