timestamp,map,reduce
1464699795,0,0
1464699810,2,0
1464699811,5,0
1464699812,7,0
1464699826,9,0
1464699828,10,0
1464699829,13,0
1464699840,15,0
1464699841,16,0
1464699844,17,0
1464699845,19,0
1464699846,20,0
1464699852,21,0
1464699855,22,0
1464699856,24,0
1464699858,25,0
1464699860,26,0
1464699861,28,0
1464699863,29,0
1464699869,30,0
1464699871,32,0
1464699874,33,0
1464699876,34,0
1464699877,35,0
1464699880,36,0
1464699883,37,0
1464699886,38,0
1464699887,39,0
1464699891,40,0
1464699892,41,0
1464699894,42,0
1464699895,43,0
1464699900,45,0
1464699903,46,0
1464699907,47,0
1464699909,48,0
1464699910,49,0
1464699913,50,0
1464699915,52,0
1464699917,53,0
1464699919,54,0
1464699922,56,0
1464699924,57,0
1464699926,58,0
1464699928,59,0
1464699930,60,1
1464699934,60,3
1464699936,61,3
1464699937,61,4
1464699939,62,5
1464699943,63,5
1464699944,64,6
1464699946,65,6
1464699947,65,7
1464699948,65,8
1464699950,66,8
1464699956,66,10
1464699957,67,10
1464699958,68,10
1464699959,68,11
1464699962,69,11
1464699963,70,11
1464699964,71,11
1464699966,71,12
1464699968,71,13
1464699971,71,14
1464699973,72,14
1464699976,73,14
1464699978,74,15
1464699980,75,15
1464699981,75,16
1464699982,76,16
1464699983,76,17
1464699984,77,17
1464699987,78,17
1464699988,78,18
1464699989,79,18
1464699992,80,19
1464699994,81,19
1464699995,82,20
1464700000,83,21
1464700002,84,21
1464700004,85,22
1464700007,86,23
1464700011,87,23
1464700013,89,24
1464700016,90,24
1464700021,90,25
1464700022,92,25
1464700023,93,25
1464700024,94,25
1464700025,94,26
1464700028,95,27
1464700031,97,27
1464700032,97,28
1464700034,98,28
1464700035,98,29
1464700039,98,30
1464700043,98,31
1464700047,98,32
1464700049,99,32
1464700052,100,32
1464700056,100,33
1464700058,100,34
1464700059,100,37
1464700060,100,40
1464700061,100,42
1464700062,100,47
1464700063,100,51
1464700064,100,53
1464700065,100,62
1464700066,100,65
1464700067,100,66
1464700069,100,68
1464700073,100,69
1464700077,100,70
1464700080,100,71
1464700083,100,72
1464700087,100,73
1464700090,100,74
1464700095,100,75
1464700098,100,76
1464700101,100,77
1464700104,100,78
1464700108,100,79
1464700111,100,80
1464700115,100,81
1464700119,100,82
1464700122,100,83
1464700125,100,84
1464700128,100,85
1464700131,100,86
1464700135,100,87
1464700138,100,88
1464700142,100,89
1464700146,100,90
1464700149,100,91
1464700152,100,92
1464700156,100,93
1464700160,100,94
1464700165,100,95
1464700173,100,96
1464700183,100,97
1464700193,100,98
1464700203,100,99
1464700212,100,100
