timestamp,map,reduce
1464697955,0,0
1464697971,2,0
1464697972,6,0
1464697973,7,0
1464697985,9,0
1464697990,11,0
1464697991,13,0
1464698000,14,0
1464698001,16,0
1464698006,17,0
1464698008,20,0
1464698009,21,0
1464698013,22,0
1464698016,24,0
1464698017,25,0
1464698020,26,0
1464698022,27,0
1464698024,28,0
1464698025,29,0
1464698031,31,0
1464698032,32,0
1464698035,33,0
1464698038,34,0
1464698040,35,0
1464698043,36,0
1464698045,37,0
1464698046,38,0
1464698047,39,0
1464698051,40,0
1464698054,41,0
1464698056,42,0
1464698058,43,0
1464698061,45,0
1464698063,46,0
1464698065,47,0
1464698067,48,0
1464698068,49,0
1464698072,50,0
1464698073,51,0
1464698075,53,0
1464698077,54,0
1464698080,55,0
1464698082,56,0
1464698086,57,0
1464698088,58,0
1464698089,59,0
1464698091,60,0
1464698092,61,0
1464698095,62,0
1464698097,63,0
1464698103,65,0
1464698105,66,0
1464698106,67,0
1464698110,68,0
1464698111,69,0
1464698116,70,0
1464698118,71,0
1464698119,73,0
1464698121,74,0
1464698124,75,0
1464698125,76,0
1464698128,77,0
1464698130,78,0
1464698133,79,0
1464698136,81,0
1464698137,82,0
1464698138,83,0
1464698139,84,0
1464698142,85,0
1464698143,86,0
1464698147,88,0
1464698149,89,0
1464698150,90,0
1464698151,91,0
1464698153,92,0
1464698155,93,0
1464698158,95,0
1464698160,96,0
1464698161,98,0
1464698173,98,1
1464698174,98,5
1464698175,98,9
1464698180,98,11
1464698183,98,13
1464698184,98,14
1464698186,98,15
1464698187,99,15
1464698189,99,16
1464698190,100,16
1464698192,100,17
1464698195,100,18
1464698198,100,19
1464698201,100,20
1464698203,100,21
1464698205,100,22
1464698207,100,23
1464698209,100,24
1464698211,100,25
1464698213,100,26
1464698215,100,27
1464698217,100,28
1464698219,100,29
1464698223,100,30
1464698225,100,31
1464698226,100,32
1464698228,100,33
1464698229,100,35
1464698231,100,36
1464698232,100,38
1464698234,100,44
1464698235,100,47
1464698237,100,51
1464698238,100,53
1464698240,100,55
1464698241,100,59
1464698242,100,62
1464698243,100,66
1464698244,100,67
1464698245,100,70
1464698246,100,71
1464698247,100,72
1464698250,100,73
1464698251,100,74
1464698253,100,75
1464698255,100,76
1464698256,100,77
1464698260,100,78
1464698261,100,79
1464698263,100,80
1464698265,100,81
1464698266,100,82
1464698269,100,83
1464698271,100,84
1464698274,100,85
1464698276,100,86
1464698278,100,87
1464698281,100,88
1464698283,100,89
1464698286,100,90
1464698287,100,91
1464698290,100,92
1464698293,100,93
1464698297,100,94
1464698300,100,95
1464698304,100,96
1464698307,100,97
1464698311,100,98
1464698314,100,99
1464698319,100,100
