timestamp,map,reduce
1464455999,0,0
1464456015,8,0
1464456016,14,0
1464456017,34,0
1464456018,41,0
1464456019,45,0
1464456020,46,0
1464456028,48,0
1464456030,60,0
1464456031,64,0
1464456033,75,0
1464456034,79,0
1464456035,81,0
1464456036,81,2
1464456037,81,6
1464456038,82,8
1464456039,82,10
1464456040,82,13
1464456042,82,16
1464456043,82,23
1464456044,82,25
1464456045,82,27
1464456046,84,27
1464456047,85,28
1464456050,87,28
1464456051,92,28
1464456052,94,28
1464456055,95,28
1464456058,96,28
1464456059,100,28
1464456061,100,29
1464456062,100,30
1464456063,100,31
1464456064,100,36
1464456065,100,39
1464456066,100,44
1464456067,100,52
1464456068,100,54
1464456069,100,59
1464456070,100,66
1464456071,100,67
1464456072,100,70
1464456073,100,74
1464456074,100,76
1464456075,100,80
1464456076,100,86
1464456077,100,88
1464456078,100,92
1464456079,100,96
1464456080,100,97
1464456081,100,99
1464456082,100,100
