timestamp,map,reduce
1464455473,0,0
1464455489,33,0
1464455490,46,0
1464455502,49,0
1464455503,50,0
1464455504,55,0
1464455505,56,0
1464455506,60,3
1464455507,79,3
1464455508,83,6
1464455509,83,9
1464455510,84,9
1464455511,84,12
1464455512,84,14
1464455513,84,15
1464455515,84,17
1464455516,84,22
1464455517,84,23
1464455519,84,28
1464455525,87,28
1464455528,90,29
1464455529,94,29
1464455530,95,29
1464455535,96,29
1464455536,98,29
1464455537,100,29
1464455539,100,30
1464455540,100,33
1464455541,100,34
1464455542,100,37
1464455543,100,47
1464455544,100,51
1464455545,100,58
1464455546,100,64
1464455547,100,65
1464455548,100,68
1464455549,100,69
1464455550,100,70
1464455551,100,71
1464455552,100,74
1464455553,100,75
1464455554,100,76
1464455555,100,79
1464455556,100,80
1464455557,100,82
1464455558,100,84
1464455559,100,86
1464455560,100,87
1464455561,100,90
1464455562,100,91
1464455563,100,92
1464455564,100,94
1464455565,100,96
1464455566,100,97
1464455567,100,99
1464455570,100,100
