timestamp,map,reduce
1464458056,0,0
1464458074,11,0
1464458076,29,0
1464458077,46,0
1464458079,48,0
1464458088,51,0
1464458089,58,0
1464458090,60,0
1464458092,62,0
1464458093,72,0
1464458095,80,0
1464458096,82,0
1464458098,86,0
1464458102,87,0
1464458103,87,2
1464458104,89,5
1464458105,91,8
1464458106,92,11
1464458107,95,11
1464458108,95,12
1464458109,95,19
1464458110,95,22
1464458111,95,25
1464458112,97,29
1464458114,98,29
1464458115,100,30
1464458117,100,31
1464458118,100,33
1464458119,100,35
1464458120,100,39
1464458121,100,52
1464458122,100,58
1464458123,100,62
1464458124,100,67
1464458125,100,68
1464458126,100,69
1464458127,100,72
1464458128,100,76
1464458129,100,79
1464458130,100,85
1464458131,100,91
1464458132,100,96
1464458133,100,99
1464458134,100,100
