timestamp,map,reduce
1464689443,0,0
1464689461,1,0
1464689462,17,0
1464689464,39,0
1464689466,47,0
1464689468,48,0
1464689479,50,0
1464689481,54,0
1464689483,62,0
1464689484,64,0
1464689485,72,0
1464689486,78,0
1464689487,86,0
1464689497,87,0
1464689498,88,0
1464689500,94,0
1464689501,95,0
1464689503,96,0
1464689506,97,0
1464689507,100,0
1464689519,100,5
1464689521,100,18
1464689522,100,25
1464689524,100,28
1464689525,100,30
1464689526,100,34
1464689527,100,37
1464689529,100,44
1464689530,100,48
1464689531,100,54
1464689532,100,56
1464689533,100,57
1464689534,100,67
1464689535,100,69
1464689536,100,70
1464689537,100,75
1464689538,100,77
1464689539,100,78
1464689540,100,81
1464689541,100,84
1464689542,100,85
1464689543,100,88
1464689544,100,90
1464689545,100,92
1464689546,100,95
1464689549,100,98
1464689552,100,99
1464689555,100,100
