timestamp,map,reduce
1454267714,0,0
1454267817,1,0
1454267995,2,0
1454268176,3,0
1454268359,4,0
1454268539,5,0
1454268720,6,0
1454268908,7,0
1454268976,7,1
1454269093,8,1
1454269282,9,1
1454269472,10,1
1454269662,11,1
1454269852,12,1
1454269925,12,2
1454270040,13,2
1454270231,14,2
1454270417,15,2
1454270521,15,3
1454270611,16,3
1454270804,17,3
1454270997,18,3
1454271098,18,4
1454271198,19,4
1454271389,20,4
1454271585,21,4
1454271685,21,5
1454271784,22,5
1454271974,23,5
1454272168,24,5
1454272361,25,5
1454272387,25,6
1454272560,26,6
1454272656,26,7
1454272754,27,7
1454272953,28,7
1454272976,28,8
1454273150,29,8
1454273346,30,8
1454273546,31,8
1454273568,31,9
1454273741,32,9
1454273840,32,10
1454273940,33,10
1454274141,34,10
1454274317,34,11
1454274342,35,11
1454274422,35,12
1454274549,36,12
1454274753,37,12
1454274952,38,12
1454274954,38,13
1454275152,39,13
1454275352,40,13
1454275555,41,13
1454275560,41,14
1454275757,42,14
1454275958,43,14
1454276161,44,14
1454276163,44,15
1454276363,45,15
1454276561,46,15
1454276761,47,15
1454276763,47,16
1454276962,48,16
1454277160,49,16
1454277360,50,16
1454277362,50,17
1454277561,51,17
1454277765,52,17
1454277968,53,17
1454277969,53,18
1454278164,54,18
1454278367,55,18
1454278563,56,18
1454278565,56,19
1454278764,57,19
1454278965,58,19
1454279163,59,19
1454279165,59,20
1454279365,60,20
1454279562,61,20
1454279761,62,20
1454279762,62,21
1454279958,63,21
1454280157,64,21
1454280355,65,21
1454280358,65,22
1454280560,66,22
1454280767,67,22
1454280970,68,22
1454280973,68,23
1454281176,69,23
1454281379,70,23
1454281583,71,23
1454281585,71,24
1454281795,72,24
1454281997,73,24
1454282206,74,24
1454282209,74,25
1454282410,75,25
1454282612,76,25
1454282816,77,25
1454282818,77,26
1454283018,78,26
1454283216,79,26
1454283419,80,26
1454283421,80,27
1454283618,81,27
1454283817,82,27
1454284015,83,27
1454284017,83,28
1454284212,84,28
1454284414,85,28
1454284612,86,28
1454284614,86,29
1454284817,87,29
1454285102,88,29
1454285390,89,29
1454285394,89,30
1454285680,90,30
1454285967,91,30
1454286257,92,30
1454286258,92,31
1454286551,93,31
1454286839,94,31
1454287134,95,31
1454287137,95,32
1454287432,96,32
1454287798,97,32
1454288174,98,32
1454288176,98,33
1454288555,99,33
1454288933,100,33
1454289112,100,34
1454289113,100,35
1454289114,100,37
1454289115,100,38
1454289116,100,41
1454289117,100,42
1454289119,100,45
1454289120,100,46
1454289123,100,49
1454289125,100,50
1454289128,100,51
1454289131,100,52
1454289134,100,53
1454289137,100,54
1454289140,100,55
1454289144,100,56
1454289146,100,57
1454289150,100,58
1454289153,100,59
1454289156,100,60
1454289159,100,61
1454289162,100,62
1454289165,100,63
1454289168,100,64
1454289172,100,65
1454289175,100,66
1454289178,100,67
1454289182,100,68
1454289185,100,69
1454289188,100,70
1454289190,100,71
1454289193,100,72
1454289198,100,73
1454289201,100,74
1454289204,100,75
1454289208,100,76
1454289213,100,77
1454289216,100,78
1454289221,100,79
1454289227,100,80
1454289237,100,81
1454289264,100,82
1454289291,100,83
1454289314,100,84
1454289336,100,85
1454289355,100,86
1454289371,100,87
1454289410,100,88
1454289443,100,89
1454289476,100,90
1454289507,100,91
1454289539,100,92
1454289573,100,93
1454289606,100,94
1454289639,100,95
1454289671,100,96
1454289704,100,97
1454289739,100,98
1454289776,100,99
1454289810,100,100
