timestamp,map,reduce
1462718400,0,0
1462718422,4,0
1462718424,5,0
1462718426,6,0
1462718430,7,0
1462718432,8,0
1462718453,9,0
1462718455,10,0
1462718456,11,0
1462718457,12,0
1462718458,13,0
1462718460,14,0
1462718462,15,0
1462718465,16,0
1462718467,17,0
1462718473,18,0
1462718478,19,0
1462718481,20,0
1462718483,21,0
1462718484,22,0
1462718485,23,0
1462718486,24,0
1462718490,25,0
1462718492,26,0
1462718500,27,0
1462718504,28,0
1462718508,29,0
1462718510,30,0
1462718513,31,0
1462718514,32,0
1462718516,33,0
1462718521,34,0
1462718522,35,0
1462718528,36,0
1462718531,37,0
1462718536,38,0
1462718538,39,0
1462718539,40,0
1462718541,41,0
1462718542,42,0
1462718545,43,0
1462718548,44,0
1462718552,45,0
1462718555,46,0
1462718558,47,0
1462718561,48,0
1462718564,49,0
1462718565,50,0
1462718567,51,0
1462718569,52,0
1462718572,53,0
1462718575,54,0
1462718580,55,0
1462718583,56,0
1462718586,57,0
1462718590,58,2
1462718595,59,2
1462718599,60,2
1462718601,60,3
1462718603,60,4
1462718606,61,4
1462718609,62,4
1462718612,63,5
1462718616,64,5
1462718620,65,5
1462718621,65,6
1462718624,66,6
1462718628,67,7
1462718632,68,7
1462718635,69,8
1462718638,70,8
1462718640,71,8
1462718641,71,9
1462718645,72,9
1462718648,73,9
1462718650,73,10
1462718653,74,10
1462718654,74,11
1462718657,75,11
1462718661,76,11
1462718663,77,11
1462718666,77,12
1462718667,78,12
1462718670,79,12
1462718672,79,13
1462718676,80,13
1462718681,81,14
1462718689,82,14
1462718692,82,15
1462718693,83,15
1462718700,84,15
1462718703,84,16
1462718707,85,16
1462718712,85,17
1462718713,86,17
1462718720,87,17
1462718722,88,17
1462718724,88,18
1462718727,89,18
1462718730,90,18
1462718732,90,19
1462718733,91,19
1462718737,91,20
1462718741,92,20
1462718743,93,20
1462718749,94,21
1462718754,95,21
1462718757,96,21
1462718763,97,21
1462718764,97,22
1462718769,98,22
1462718772,98,23
1462718777,99,23
1462718780,99,24
1462718786,99,25
1462718792,100,26
1462718801,100,27
1462718805,100,28
1462718810,100,29
1462718816,100,30
1462718819,100,31
1462718823,100,32
1462718827,100,33
1462718831,100,34
1462718835,100,35
1462718838,100,36
1462718843,100,37
1462718845,100,38
1462718849,100,39
1462718853,100,40
1462718855,100,41
1462718859,100,42
1462718863,100,43
1462718865,100,44
1462718868,100,45
1462718872,100,46
1462718875,100,47
1462718878,100,48
1462718881,100,49
1462718883,100,50
1462718888,100,51
1462718890,100,52
1462718893,100,53
1462718897,100,54
1462718900,100,55
1462718903,100,56
1462718907,100,57
1462718910,100,58
1462718914,100,59
1462718917,100,60
1462718921,100,61
1462718925,100,62
1462718929,100,63
1462718932,100,64
1462718936,100,65
1462718940,100,66
1462718944,100,67
1462718951,100,68
1462718955,100,69
1462718960,100,70
1462718964,100,71
1462718969,100,72
1462718973,100,73
1462718977,100,74
1462718982,100,75
1462718987,100,76
1462718991,100,77
1462718996,100,78
1462719000,100,79
1462719005,100,80
1462719009,100,81
1462719015,100,82
1462719020,100,83
1462719025,100,84
1462719030,100,85
1462719035,100,86
1462719041,100,87
1462719046,100,88
1462719051,100,89
1462719057,100,90
1462719062,100,91
1462719068,100,92
1462719072,100,93
1462719079,100,94
1462719087,100,95
1462719096,100,96
1462719107,100,97
1462719119,100,98
1462719149,100,99
1462719183,100,100
