timestamp,map,reduce
1462711739,0,0
1462711755,1,0
1462711756,3,0
1462711759,4,0
1462711761,5,0
1462711765,6,0
1462711766,7,0
1462711779,8,0
1462711782,9,0
1462711784,10,0
1462711786,11,0
1462711788,12,0
1462711793,13,0
1462711802,14,0
1462711803,15,0
1462711806,16,0
1462711809,18,0
1462711812,19,0
1462711813,20,0
1462711818,21,0
1462711824,22,0
1462711827,23,0
1462711829,24,0
1462711833,25,0
1462711835,26,0
1462711836,27,0
1462711840,28,0
1462711844,29,0
1462711850,30,0
1462711855,31,0
1462711858,32,0
1462711861,33,0
1462711862,34,0
1462711868,35,0
1462711871,36,0
1462711875,37,0
1462711879,38,0
1462711883,39,0
1462711886,40,0
1462711888,41,0
1462711890,42,0
1462711893,43,0
1462711897,44,0
1462711900,45,0
1462711903,46,0
1462711906,47,0
1462711909,48,0
1462711912,49,0
1462711914,50,0
1462711917,51,0
1462711920,52,0
1462711925,53,0
1462711930,54,0
1462711933,55,0
1462711937,56,0
1462711938,56,1
1462711942,57,1
1462711946,57,2
1462711948,58,2
1462711953,59,2
1462711954,59,3
1462711958,60,3
1462711961,61,3
1462711964,61,4
1462711965,62,4
1462711969,63,4
1462711973,63,5
1462711974,64,5
1462711976,65,5
1462711982,66,5
1462711985,66,6
1462711986,67,6
1462711991,68,6
1462711995,68,7
1462711996,69,7
1462712000,70,7
1462712004,71,7
1462712008,72,7
1462712009,72,8
1462712014,73,8
1462712019,74,9
1462712025,75,9
1462712030,76,9
1462712031,76,10
1462712034,77,10
1462712040,78,10
1462712043,78,11
1462712045,79,11
1462712049,80,11
1462712055,81,12
1462712059,82,12
1462712061,82,13
1462712062,83,13
1462712066,84,13
1462712072,85,13
1462712073,85,14
1462712077,86,14
1462712081,87,14
1462712083,87,15
1462712084,88,15
1462712088,89,15
1462712091,90,15
1462712095,90,16
1462712096,91,16
1462712103,92,16
1462712110,92,17
1462712111,93,17
1462712117,94,17
1462712124,95,17
1462712125,95,18
1462712128,96,18
1462712136,97,18
1462712143,98,18
1462712153,99,19
1462712166,100,19
1462712168,100,20
1462712177,100,21
1462712187,100,22
1462712196,100,23
1462712204,100,24
1462712213,100,25
1462712222,100,26
1462712233,100,27
1462712243,100,28
1462712252,100,29
1462712255,100,30
1462712258,100,31
1462712261,100,32
1462712267,100,33
1462712270,100,34
1462712273,100,35
1462712276,100,36
1462712279,100,37
1462712285,100,38
1462712297,100,39
1462712307,100,40
1462712343,100,41
1462712379,100,42
1462712410,100,43
1462712413,100,44
1462712416,100,45
1462712419,100,46
1462712422,100,47
1462712425,100,48
1462712428,100,49
1462712431,100,50
1462712434,100,51
1462712437,100,52
1462712440,100,53
1462712443,100,54
1462712446,100,55
1462712452,100,56
1462712455,100,57
1462712458,100,58
1462712461,100,59
1462712464,100,60
1462712467,100,61
1462712470,100,62
1462712473,100,63
1462712475,100,64
1462712479,100,65
1462712482,100,66
1462712485,100,67
1462712488,100,68
1462712491,100,69
1462712498,100,70
1462712509,100,71
1462712516,100,72
1462712522,100,73
1462712530,100,74
1462712537,100,75
1462712550,100,76
1462712559,100,77
1462712569,100,78
1462712586,100,79
1462712601,100,80
1462712620,100,81
1462712636,100,82
1462712645,100,83
1462712657,100,84
1462712666,100,85
1462712678,100,86
1462712690,100,87
1462712706,100,88
1462712732,100,89
1462712756,100,90
1462712780,100,91
1462712808,100,92
1462712829,100,93
1462712856,100,94
1462712883,100,95
1462712910,100,96
1462712937,100,97
1462712964,100,98
1462712992,100,99
1462713019,100,100
