timestamp,map,reduce
1462714408,0,0
1462714424,1,0
1462714425,3,0
1462714428,4,0
1462714434,5,0
1462714435,6,0
1462714449,7,0
1462714451,8,0
1462714453,9,0
1462714455,10,0
1462714459,11,0
1462714464,12,0
1462714472,13,0
1462714474,14,0
1462714477,15,0
1462714479,16,0
1462714481,17,0
1462714485,18,0
1462714488,19,0
1462714495,20,0
1462714497,21,0
1462714501,22,0
1462714504,23,0
1462714506,24,0
1462714511,25,0
1462714518,26,0
1462714521,27,0
1462714526,28,0
1462714530,29,0
1462714533,30,0
1462714538,31,0
1462714542,32,0
1462714547,33,0
1462714550,34,0
1462714554,35,0
1462714556,36,0
1462714559,37,0
1462714563,38,0
1462714566,39,0
1462714570,40,0
1462714573,41,0
1462714578,42,0
1462714581,43,0
1462714582,44,0
1462714587,45,0
1462714590,46,0
1462714596,47,0
1462714602,48,0
1462714606,49,0
1462714608,50,0
1462714613,51,0
1462714617,52,0
1462714622,53,0
1462714627,54,0
1462714631,55,0
1462714633,55,1
1462714636,56,2
1462714641,57,2
1462714644,58,2
1462714647,58,3
1462714651,59,3
1462714655,60,3
1462714656,60,4
1462714659,61,5
1462714665,62,5
1462714667,62,6
1462714671,63,6
1462714676,63,7
1462714677,64,7
1462714683,65,7
1462714688,66,7
1462714689,66,8
1462714694,67,8
1462714701,68,8
1462714707,68,9
1462714708,69,9
1462714714,70,9
1462714717,70,10
1462714720,71,10
1462714729,72,10
1462714731,72,11
1462714735,73,11
1462714744,74,11
1462714749,74,12
1462714753,75,12
1462714760,76,12
1462714767,77,13
1462714773,78,13
1462714776,78,14
1462714781,79,14
1462714786,80,14
1462714790,80,15
1462714793,81,15
1462714798,82,15
1462714802,83,15
1462714804,83,16
1462714807,84,16
1462714812,85,16
1462714818,86,16
1462714819,86,17
1462714821,87,17
1462714827,88,17
1462714829,88,18
1462714833,89,18
1462714839,90,18
1462714841,91,18
1462714845,92,18
1462714850,92,19
1462714863,93,19
1462714871,94,20
1462714875,95,20
1462714880,96,20
1462714886,97,20
1462714893,98,20
1462714896,99,20
1462714898,99,21
1462714906,100,21
1462714916,100,22
1462714924,100,23
1462714933,100,24
1462714945,100,25
1462714963,100,26
1462714979,100,27
1462714989,100,28
1462714994,100,29
1462714998,100,30
1462715004,100,31
1462715009,100,32
1462715013,100,33
1462715018,100,34
1462715022,100,35
1462715028,100,36
1462715036,100,37
1462715042,100,38
1462715048,100,39
1462715054,100,40
1462715060,100,41
1462715064,100,42
1462715073,100,43
1462715077,100,44
1462715089,100,45
1462715104,100,46
1462715118,100,47
1462715133,100,48
1462715148,100,49
1462715163,100,50
1462715182,100,51
1462715200,100,52
1462715222,100,53
1462715241,100,54
1462715261,100,55
1462715297,100,56
1462715672,100,57
1462715687,100,58
1462715699,100,59
1462715708,100,60
1462715720,100,61
1462715726,100,62
1462715741,100,63
1462715750,100,64
1462715759,100,65
1462715768,100,66
1462715777,100,67
1462715783,100,68
1462715798,100,69
1462715808,100,70
1462715817,100,71
1462715826,100,72
1462715835,100,73
1462715844,100,74
1462715853,100,75
1462715862,100,76
1462715871,100,77
1462715883,100,78
1462715914,100,79
1462715953,100,80
1462715993,100,81
1462716059,100,82
1462716138,100,83
1462716177,100,84
1462716217,100,85
1462716259,100,86
1462716298,100,87
1462716340,100,88
1462716379,100,89
1462716425,100,90
1462716470,100,91
1462716512,100,92
1462716554,100,93
1462716597,100,94
1462716639,100,95
1462716684,100,96
1462716727,100,97
1462716793,100,98
1462716830,100,99
1462716858,100,100
