timestamp,map,reduce
1458865336,0,0
1458865356,5,0
1458865358,7,0
1458865360,11,0
1458865364,13,0
1458865367,14,0
1458865370,16,0
1458865386,17,0
1458865389,18,0
1458865390,19,0
1458865393,22,0
1458865394,23,0
1458865395,25,0
1458865396,27,0
1458865397,28,0
1458865398,29,0
1458865399,30,0
1458865400,31,0
1458865402,33,0
1458865404,34,0
1458865406,35,0
1458865411,35,2
1458865413,36,2
1458865414,36,3
1458865415,36,4
1458865416,37,4
1458865417,38,5
1458865420,41,5
1458865421,42,5
1458865422,43,6
1458865423,44,6
1458865424,45,6
1458865425,45,7
1458865426,46,7
1458865429,47,8
1458865430,48,8
1458865431,48,9
1458865433,49,9
1458865434,49,10
1458865437,49,11
1458865440,49,12
1458865442,49,13
1458865444,50,13
1458865445,51,13
1458865448,53,14
1458865449,54,14
1458865450,55,14
1458865451,56,14
1458865452,57,15
1458865454,58,15
1458865458,59,15
1458865459,60,16
1458865461,61,17
1458865466,61,18
1458865467,62,19
1458865472,63,19
1458865473,63,20
1458865474,64,20
1458865478,65,20
1458865479,66,21
1458865480,68,21
1458865482,69,21
1458865483,71,21
1458865485,72,21
1458865486,73,21
1458865488,74,22
1458865489,75,22
1458865491,76,22
1458865492,76,23
1458865496,77,23
1458865497,77,24
1458865498,79,24
1458865501,80,25
1458865503,81,25
1458865504,83,25
1458865505,84,25
1458865507,85,25
1458865508,86,25
1458865510,87,25
1458865511,87,26
1458865512,88,26
1458865514,89,26
1458865516,89,27
1458865518,90,27
1458865520,91,27
1458865522,91,28
1458865523,93,28
1458865524,93,29
1458865526,93,30
1458865527,94,30
1458865529,95,30
1458865532,96,30
1458865535,97,31
1458865539,97,32
1458865540,98,32
1458865543,99,32
1458865548,99,33
1458865553,100,33
1458865558,100,34
1458865559,100,36
1458865560,100,40
1458865561,100,51
1458865562,100,54
1458865563,100,65
1458865566,100,68
1458865569,100,69
1458865572,100,70
1458865575,100,71
1458865577,100,72
1458865580,100,73
1458865583,100,74
1458865586,100,75
1458865588,100,76
1458865591,100,77
1458865594,100,78
1458865597,100,79
1458865599,100,80
1458865603,100,81
1458865606,100,82
1458865608,100,83
1458865611,100,84
1458865614,100,85
1458865617,100,86
1458865620,100,87
1458865622,100,88
1458865625,100,89
1458865628,100,90
1458865631,100,91
1458865633,100,92
1458865637,100,93
1458865640,100,94
1458865644,100,95
1458865649,100,96
1458865653,100,97
1458865659,100,98
1458865664,100,99
1458865671,100,100
