timestamp,map,reduce
1462286000,0,0
1462286021,1,0
1462286023,2,0
1462286028,3,0
1462286049,4,0
1462286055,5,0
1462286058,6,0
1462286062,7,0
1462286074,8,0
1462286079,9,0
1462286082,10,0
1462286087,11,0
1462286101,12,0
1462286105,13,0
1462286111,14,0
1462286119,15,0
1462286131,16,0
1462286134,17,0
1462286138,18,0
1462286145,19,0
1462286153,20,0
1462286160,21,0
1462286167,22,0
1462286173,23,0
1462286183,24,0
1462286191,25,0
1462286197,26,0
1462286206,27,0
1462286214,28,0
1462286220,29,0
1462286226,30,0
1462286234,31,0
1462286240,32,0
1462286249,33,0
1462286256,34,0
1462286269,35,0
1462286275,36,0
1462286285,37,0
1462286294,38,0
1462286302,38,1
1462286303,39,1
1462286307,39,2
1462286316,39,3
1462286318,40,3
1462286326,40,4
1462286335,41,4
1462286342,41,5
1462286357,41,6
1462286373,42,6
1462286379,42,7
1462286390,43,7
1462286406,44,7
1462286421,45,7
1462286435,46,7
1462286444,46,8
1462286453,47,8
1462286466,48,8
1462286480,49,8
1462286482,49,9
1462286492,50,9
1462286507,50,10
1462286508,51,10
1462286531,52,10
1462286543,53,10
1462286546,53,11
1462286556,54,11
1462286569,55,11
1462286585,56,11
1462286602,56,12
1462286609,57,12
1462286622,58,12
1462286636,59,12
1462286649,60,12
1462286665,61,13
1462286679,62,13
1462286695,63,13
1462286708,64,13
1462286720,65,13
1462286734,66,14
1462286749,67,14
1462286764,68,14
1462286775,69,14
1462286789,70,14
1462286800,70,15
1462286805,71,15
1462286823,72,15
1462286836,73,15
1462286850,73,16
1462286851,74,16
1462286865,75,16
1462286881,76,16
1462286888,76,17
1462286900,77,17
1462286915,78,17
1462286927,79,17
1462286941,80,18
1462286959,81,18
1462286976,82,18
1462286986,83,18
1462287000,84,18
1462287005,84,19
1462287014,85,19
1462287022,86,19
1462287034,87,19
1462287042,88,19
1462287052,88,20
1462287056,89,20
1462287078,90,20
1462287098,90,21
1462287109,91,21
1462287131,92,21
1462287167,93,21
1462287172,93,22
1462287185,94,22
1462287200,95,22
1462287206,95,23
1462287226,96,23
1462287234,96,24
1462287243,97,24
1462287260,98,24
1462287261,98,25
1462287276,99,25
1462287285,99,26
1462287301,99,27
1462287318,100,27
1462287329,100,29
1462287331,100,36
1462287333,100,38
1462287334,100,39
1462287336,100,40
1462287338,100,41
1462287339,100,42
1462287343,100,43
1462287345,100,44
1462287348,100,45
1462287352,100,46
1462287356,100,47
1462287361,100,48
1462287365,100,49
1462287370,100,50
1462287375,100,51
1462287381,100,52
1462287389,100,53
1462287399,100,54
1462287412,100,55
1462287426,100,56
1462287441,100,57
1462287457,100,58
1462287473,100,59
1462287482,100,60
1462287500,100,61
1462287517,100,62
1462287539,100,63
1462287562,100,64
1462287581,100,65
1462287603,100,66
1462287627,100,67
1462287644,100,68
1462287662,100,69
1462287683,100,70
1462287703,100,71
1462287721,100,72
1462287738,100,73
1462287756,100,74
1462287779,100,75
1462287802,100,76
1462287823,100,77
1462287828,100,78
1462287838,100,79
1462287861,100,80
1462287870,100,81
1462287876,100,82
1462287901,100,83
1462287924,100,84
1462287938,100,86
1462287950,100,87
1462287951,100,88
1462287973,100,89
1462287993,100,90
1462288017,100,91
1462288044,100,92
1462288072,100,93
1462288105,100,94
1462288134,100,95
1462288173,100,96
1462288239,100,97
1462288307,100,98
1462288379,100,99
1462288466,100,100
