timestamp,map,reduce
1462823005,0,0
1462823023,2,0
1462823024,5,0
1462823029,6,0
1462823030,7,0
1462823032,9,0
1462823033,10,0
1462823039,11,0
1462823041,12,0
1462823043,13,0
1462823044,14,0
1462823048,16,0
1462823060,17,0
1462823062,18,0
1462823066,19,0
1462823067,20,0
1462823068,21,0
1462823069,23,0
1462823070,24,0
1462823074,25,0
1462823075,26,0
1462823076,27,0
1462823079,28,0
1462823082,29,0
1462823083,30,0
1462823085,31,0
1462823087,32,0
1462823089,33,0
1462823091,34,0
1462823094,35,0
1462823099,36,0
1462823101,37,0
1462823106,38,0
1462823107,39,0
1462823109,40,0
1462823110,41,0
1462823111,42,0
1462823113,43,0
1462823114,44,0
1462823116,45,0
1462823118,46,0
1462823120,47,0
1462823122,48,0
1462823124,49,0
1462823128,50,0
1462823131,51,0
1462823132,52,0
1462823140,53,1
1462823142,53,2
1462823143,53,3
1462823150,54,4
1462823153,55,4
1462823154,56,5
1462823157,58,5
1462823158,59,5
1462823159,60,5
1462823161,61,5
1462823164,61,6
1462823170,62,6
1462823173,63,7
1462823174,65,7
1462823176,66,7
1462823177,67,7
1462823180,68,7
1462823183,68,8
1462823186,69,8
1462823188,70,8
1462823189,71,8
1462823190,72,8
1462823191,73,8
1462823192,75,8
1462823193,76,8
1462823196,77,9
1462823197,78,9
1462823198,79,9
1462823206,83,10
1462823209,86,11
1462823210,87,11
1462823213,88,11
1462823216,89,12
1462823217,90,12
1462823220,92,12
1462823222,93,13
1462823223,94,13
1462823224,95,13
1462823227,97,13
1462823228,98,13
1462823229,98,14
1462823231,99,14
1462823235,99,15
1462823239,100,15
1462823241,100,16
1462823247,100,17
1462823253,100,18
1462823259,100,19
1462823262,100,20
1462823267,100,21
1462823275,100,22
1462823278,100,23
1462823281,100,24
1462823284,100,25
1462823287,100,26
1462823293,100,27
1462823296,100,28
1462823299,100,29
1462823302,100,30
1462823305,100,31
1462823308,100,32
1462823311,100,33
1462823314,100,34
1462823317,100,35
1462823322,100,36
1462823325,100,37
1462823329,100,38
1462823335,100,39
1462823341,100,40
1462823347,100,41
1462823350,100,42
1462823356,100,43
1462823365,100,44
1462823371,100,45
1462823375,100,46
1462823384,100,47
1462823387,100,48
1462823393,100,49
1462823399,100,50
1462823405,100,51
1462823411,100,52
1462823414,100,53
1462823420,100,54
1462823423,100,55
1462823429,100,56
1462823432,100,57
1462823435,100,58
1462823441,100,59
1462823444,100,60
1462823447,100,61
1462823453,100,62
1462823456,100,63
1462823459,100,64
1462823465,100,65
1462823468,100,66
1462823474,100,67
1462823488,100,68
1462823501,100,69
1462823511,100,70
1462823520,100,71
1462823528,100,72
1462823535,100,73
1462823546,100,74
1462823558,100,75
1462823568,100,76
1462823580,100,77
1462823595,100,78
1462823615,100,79
1462823639,100,80
1462823671,100,81
1462823704,100,82
1462823739,100,83
1462823775,100,84
1462823807,100,85
1462823842,100,86
1462823878,100,87
1462823938,100,88
1462824041,100,89
1462824077,100,90
1462824113,100,91
1462824150,100,92
1462824186,100,93
1462824225,100,94
1462824261,100,95
1462824301,100,96
1462824337,100,97
1462824370,100,98
1462824402,100,99
1462824430,100,100
