timestamp,map,reduce
1462338555,0,0
1462338571,1,0
1462338574,2,0
1462338577,3,0
1462338580,4,0
1462338585,5,0
1462338589,6,0
1462338594,7,0
1462338598,8,0
1462338610,9,0
1462338615,10,0
1462338618,11,0
1462338622,12,0
1462338625,13,0
1462338630,14,0
1462338633,15,0
1462338641,16,0
1462338645,17,0
1462338648,18,0
1462338656,19,0
1462338660,20,0
1462338664,21,0
1462338667,22,0
1462338672,23,0
1462338677,24,0
1462338683,25,0
1462338690,26,0
1462338696,27,0
1462338703,28,0
1462338710,29,0
1462338716,30,0
1462338722,31,0
1462338727,32,0
1462338733,33,0
1462338738,34,0
1462338744,35,0
1462338749,36,0
1462338754,37,0
1462338760,38,0
1462338766,39,0
1462338771,40,0
1462338775,41,0
1462338780,42,0
1462338785,43,0
1462338791,44,0
1462338798,45,0
1462338804,45,1
1462338809,46,1
1462338815,46,2
1462338826,47,2
1462338829,47,3
1462338835,48,3
1462338841,48,4
1462338849,49,4
1462338863,50,4
1462338865,50,5
1462338881,50,6
1462338889,51,6
1462338900,51,7
1462338905,52,7
1462338911,53,7
1462338921,53,8
1462338924,54,8
1462338936,55,8
1462338945,55,9
1462338951,56,9
1462338966,57,9
1462338972,57,10
1462338987,58,10
1462338989,58,11
1462339005,59,11
1462339018,60,12
1462339025,61,12
1462339032,62,12
1462339041,63,12
1462339044,63,13
1462339053,64,13
1462339061,65,13
1462339070,66,13
1462339079,67,13
1462339084,67,14
1462339090,68,14
1462339095,69,14
1462339101,70,14
1462339108,71,14
1462339116,72,14
1462339120,72,15
1462339124,73,15
1462339129,74,15
1462339136,75,15
1462339145,76,15
1462339156,77,15
1462339167,78,15
1462339169,78,16
1462339176,79,16
1462339188,80,16
1462339195,81,16
1462339204,82,16
1462339212,83,17
1462339223,84,17
1462339228,85,17
1462339236,86,17
1462339244,87,17
1462339251,87,18
1462339257,88,18
1462339266,89,18
1462339273,90,18
1462339281,91,18
1462339288,92,18
1462339290,92,19
1462339300,93,19
1462339306,94,19
1462339310,95,19
1462339315,96,19
1462339323,97,19
1462339324,97,20
1462339333,98,20
1462339343,99,20
1462339346,99,21
1462339355,100,21
1462339363,100,22
1462339370,100,23
1462339379,100,24
1462339384,100,26
1462339385,100,27
1462339387,100,29
1462339388,100,33
1462339390,100,35
1462339391,100,39
1462339393,100,40
1462339394,100,42
1462339396,100,43
1462339397,100,44
1462339399,100,45
1462339401,100,46
1462339406,100,47
1462339420,100,48
1462339434,100,49
1462339445,100,50
1462339454,100,51
1462339467,100,52
1462339480,100,53
1462339489,100,54
1462339504,100,55
1462339521,100,56
1462339535,100,57
1462339552,100,58
1462339569,100,59
1462339583,100,60
1462339602,100,61
1462339610,100,62
1462339615,100,63
1462339623,100,64
1462339632,100,65
1462339646,100,66
1462339663,100,67
1462339686,100,68
1462339710,100,69
1462339736,100,70
1462339755,100,71
1462339781,100,72
1462339797,100,73
1462339815,100,74
1462339825,100,75
1462339828,100,76
1462339831,100,77
1462339837,100,78
1462339852,100,79
1462339861,100,80
1462339870,100,81
1462339879,100,82
1462339889,100,83
1462339898,100,84
1462339911,100,85
1462339925,100,86
1462339931,100,87
1462339944,100,88
1462339957,100,90
1462339977,100,91
1462339992,100,92
1462340010,100,93
1462340032,100,94
1462340066,100,95
1462340092,100,96
1462340123,100,97
1462340148,100,98
1462340177,100,99
1462340223,100,100
