timestamp,map,reduce
1462796884,0,0
1462796900,2,0
1462796901,5,0
1462796915,6,0
1462796918,8,0
1462796919,10,0
1462796929,11,0
1462796931,12,0
1462796933,13,0
1462796935,14,0
1462796936,15,0
1462796943,16,0
1462796945,17,0
1462796948,18,0
1462796949,19,0
1462796951,20,0
1462796952,21,0
1462796953,22,0
1462796958,23,0
1462796960,24,0
1462796964,25,0
1462796966,26,0
1462796967,27,0
1462796969,28,0
1462796975,29,0
1462796979,30,0
1462796980,31,0
1462796983,32,0
1462796984,33,0
1462796989,34,0
1462796992,35,0
1462796994,36,0
1462796997,37,0
1462796999,38,0
1462797004,39,0
1462797005,40,0
1462797007,40,1
1462797009,40,2
1462797012,40,3
1462797014,41,3
1462797016,42,4
1462797020,43,4
1462797021,43,5
1462797022,44,5
1462797023,45,5
1462797025,45,6
1462797031,46,7
1462797032,47,7
1462797035,48,8
1462797037,49,8
1462797041,49,9
1462797046,50,10
1462797047,51,10
1462797051,52,11
1462797055,53,11
1462797056,53,12
1462797061,54,13
1462797064,55,13
1462797068,55,14
1462797069,56,14
1462797072,57,15
1462797078,57,16
1462797079,58,16
1462797083,59,16
1462797085,59,17
1462797087,60,17
1462797089,61,17
1462797091,62,17
1462797092,62,18
1462797095,63,18
1462797098,64,18
1462797100,64,19
1462797101,65,19
1462797104,66,19
1462797108,67,19
1462797109,67,20
1462797112,68,20
1462797114,68,21
1462797117,69,21
1462797120,70,21
1462797124,71,21
1462797127,71,22
1462797129,72,22
1462797132,73,22
1462797134,73,23
1462797137,74,23
1462797141,75,23
1462797144,76,23
1462797145,76,24
1462797148,77,24
1462797151,78,24
1462797154,78,25
1462797157,79,25
1462797159,80,25
1462797161,81,25
1462797163,81,26
1462797164,82,26
1462797166,83,26
1462797171,84,26
1462797173,84,27
1462797174,85,27
1462797177,86,27
1462797182,87,27
1462797183,87,28
1462797185,88,28
1462797190,89,28
1462797193,90,28
1462797196,90,29
1462797197,91,29
1462797201,92,29
1462797204,92,30
1462797206,93,30
1462797209,94,30
1462797213,95,30
1462797215,96,31
1462797220,97,31
1462797222,98,32
1462797227,99,32
1462797234,99,33
1462797236,100,33
1462797245,100,34
1462797246,100,35
1462797249,100,36
1462797251,100,37
1462797254,100,38
1462797255,100,39
1462797258,100,40
1462797261,100,41
1462797264,100,42
1462797267,100,43
1462797269,100,44
1462797272,100,45
1462797275,100,46
1462797278,100,47
1462797279,100,48
1462797282,100,49
1462797285,100,50
1462797288,100,51
1462797290,100,52
1462797293,100,53
1462797296,100,54
1462797299,100,55
1462797300,100,56
1462797306,100,57
1462797309,100,58
1462797313,100,59
1462797319,100,60
1462797325,100,61
1462797330,100,62
1462797334,100,63
1462797339,100,64
1462797343,100,65
1462797346,100,66
1462797351,100,67
1462797355,100,68
1462797358,100,69
1462797363,100,70
1462797367,100,71
1462797372,100,66
1462797373,100,61
1462797375,100,67
1462797376,100,73
1462797384,100,74
1462797391,100,75
1462797397,100,76
1462797405,100,77
1462797411,100,78
1462797418,100,79
1462797426,100,80
1462797435,100,81
1462797460,100,82
1462797515,100,83
1462797565,100,84
1462797591,100,85
1462797609,100,86
1462797627,100,87
1462797645,100,88
1462797664,100,89
1462797682,100,90
1462797700,100,91
1462797720,100,92
1462797739,100,93
1462797757,100,94
1462797777,100,95
1462797796,100,96
1462797814,100,97
1462797836,100,98
1462797854,100,99
1462797875,100,100
