applicationID,time,reducer,percentage
application_1462718033130_0116,1463268042.0,0,1.75
application_1462718033130_0116,1463268042.0,1,1.6666668
application_1462718033130_0116,1463268043.0,2,1.8333334
application_1462718033130_0116,1463268044.0,3,1.8333334
application_1462718033130_0116,1463268045.0,4,1.9166667
application_1462718033130_0116,1463268045.0,0,2.0
application_1462718033130_0116,1463268045.0,1,1.9166667
application_1462718033130_0116,1463268046.0,2,1.9166667
application_1462718033130_0116,1463268047.0,3,1.9166667
application_1462718033130_0116,1463268047.0,5,1.9166667
application_1462718033130_0116,1463268048.0,4,2.0
application_1462718033130_0116,1463268048.0,0,2.0
application_1462718033130_0116,1463268048.0,1,1.9166667
application_1462718033130_0116,1463268050.0,2,1.9166667
application_1462718033130_0116,1463268050.0,3,2.0
application_1462718033130_0116,1463268050.0,5,1.9166667
application_1462718033130_0116,1463268051.0,1,2.5833335
application_1462718033130_0116,1463268052.0,4,2.0
application_1462718033130_0116,1463268052.0,0,2.7500002
application_1462718033130_0116,1463268053.0,3,2.0
application_1462718033130_0116,1463268053.0,5,1.9166667
application_1462718033130_0116,1463268053.0,2,2.5833335
application_1462718033130_0116,1463268054.0,1,3.25
application_1462718033130_0116,1463268055.0,4,2.5833335
application_1462718033130_0116,1463268055.0,0,3.3333335
application_1462718033130_0116,1463268056.0,3,3.0833334
application_1462718033130_0116,1463268056.0,5,2.8333334
application_1462718033130_0116,1463268057.0,2,3.25
application_1462718033130_0116,1463268058.0,1,3.25
application_1462718033130_0116,1463268058.0,4,3.3333335
application_1462718033130_0116,1463268058.0,0,3.3333335
application_1462718033130_0116,1463268059.0,3,3.3333335
application_1462718033130_0116,1463268059.0,5,3.1666666
application_1462718033130_0116,1463268060.0,2,3.25
application_1462718033130_0116,1463268061.0,1,3.25
application_1462718033130_0116,1463268061.0,4,3.3333335
application_1462718033130_0116,1463268061.0,0,4.0
application_1462718033130_0116,1463268062.0,3,3.3333335
application_1462718033130_0116,1463268062.0,5,3.25
application_1462718033130_0116,1463268063.0,2,3.25
application_1462718033130_0116,1463268064.0,1,4.5833334
application_1462718033130_0116,1463268064.0,4,3.666667
application_1462718033130_0116,1463268064.0,0,4.6666667
application_1462718033130_0116,1463268065.0,5,3.3333335
application_1462718033130_0116,1463268065.0,3,3.9166667
application_1462718033130_0116,1463268066.0,2,4.5833334
application_1462718033130_0116,1463268067.0,1,4.5833334
application_1462718033130_0116,1463268067.0,4,4.6666667
application_1462718033130_0116,1463268067.0,0,4.6666667
application_1462718033130_0116,1463268069.0,3,4.6666667
application_1462718033130_0116,1463268069.0,5,4.5
