applicationID,time,reducer,percentage
application_1462718033130_0078,1463223038.0,1,1.9166667
application_1462718033130_0078,1463223039.0,0,0.4166667
application_1462718033130_0078,1463223041.0,2,1.9166667
application_1462718033130_0078,1463223041.0,1,1.9166667
application_1462718033130_0078,1463223042.0,0,1.9166667
application_1462718033130_0078,1463223044.0,2,1.9166667
application_1462718033130_0078,1463223044.0,5,1.9166667
application_1462718033130_0078,1463223044.0,3,1.8333334
application_1462718033130_0078,1463223044.0,1,1.9166667
application_1462718033130_0078,1463223045.0,0,2.0
application_1462718033130_0078,1463223046.0,4,1.5833333
application_1462718033130_0078,1463223047.0,2,1.9166667
application_1462718033130_0078,1463223047.0,5,1.9166667
application_1462718033130_0078,1463223047.0,3,2.0
application_1462718033130_0078,1463223048.0,1,2.9166667
application_1462718033130_0078,1463223049.0,0,2.0
application_1462718033130_0078,1463223049.0,4,2.0
application_1462718033130_0078,1463223050.0,5,1.9166667
application_1462718033130_0078,1463223050.0,2,2.8333334
application_1462718033130_0078,1463223050.0,3,2.0
application_1462718033130_0078,1463223051.0,1,3.25
application_1462718033130_0078,1463223052.0,0,2.8333334
application_1462718033130_0078,1463223053.0,4,2.0
application_1462718033130_0078,1463223053.0,5,3.25
application_1462718033130_0078,1463223053.0,2,3.25
application_1462718033130_0078,1463223053.0,3,2.5833335
application_1462718033130_0078,1463223054.0,1,3.25
application_1462718033130_0078,1463223055.0,0,3.3333335
application_1462718033130_0078,1463223056.0,4,2.0
application_1462718033130_0078,1463223056.0,5,3.25
application_1462718033130_0078,1463223056.0,2,3.25
application_1462718033130_0078,1463223056.0,3,3.3333335
application_1462718033130_0078,1463223058.0,1,3.5833336
application_1462718033130_0078,1463223058.0,0,3.3333335
application_1462718033130_0078,1463223059.0,4,3.0833334
application_1462718033130_0078,1463223059.0,5,3.25
application_1462718033130_0078,1463223060.0,3,3.3333335
application_1462718033130_0078,1463223060.0,2,3.9166667
application_1462718033130_0078,1463223061.0,1,4.5833334
application_1462718033130_0078,1463223061.0,0,4.25
application_1462718033130_0078,1463223062.0,4,3.3333335
application_1462718033130_0078,1463223062.0,5,4.25
application_1462718033130_0078,1463223063.0,3,3.3333335
application_1462718033130_0078,1463223063.0,2,4.5833334
application_1462718033130_0078,1463223064.0,1,4.5833334
application_1462718033130_0078,1463223064.0,0,4.6666667
application_1462718033130_0078,1463223065.0,4,3.3333335
application_1462718033130_0078,1463223065.0,5,4.5833334
application_1462718033130_0078,1463223066.0,2,4.5833334
application_1462718033130_0078,1463223066.0,3,4.6666667
application_1462718033130_0078,1463223067.0,1,4.5833334
application_1462718033130_0078,1463223067.0,0,4.6666667
application_1462718033130_0078,1463223068.0,4,4.5833334
application_1462718033130_0078,1463223068.0,5,4.5833334
application_1462718033130_0078,1463223069.0,2,5.2500002
application_1462718033130_0078,1463223069.0,3,4.6666667
application_1462718033130_0078,1463223071.0,0,5.5000003
application_1462718033130_0078,1463223071.0,1,5.5833336
application_1462718033130_0078,1463223071.0,4,4.6666667
application_1462718033130_0078,1463223072.0,5,5.4166667
application_1462718033130_0078,1463223072.0,2,5.9166666
application_1462718033130_0078,1463223072.0,3,4.6666667
application_1462718033130_0078,1463223074.0,0,6.0000002
application_1462718033130_0078,1463223074.0,1,5.9166666
application_1462718033130_0078,1463223074.0,4,4.6666667
application_1462718033130_0078,1463223075.0,5,5.9166666
application_1462718033130_0078,1463223075.0,2,5.9166666
application_1462718033130_0078,1463223075.0,3,5.666667
application_1462718033130_0078,1463223077.0,0,6.0000002
application_1462718033130_0078,1463223077.0,1,5.9166666
application_1462718033130_0078,1463223077.0,4,5.2500002
application_1462718033130_0078,1463223078.0,5,5.9166666
application_1462718033130_0078,1463223078.0,2,6.0833335
application_1462718033130_0078,1463223078.0,3,6.0000002
application_1462718033130_0078,1463223080.0,1,5.9166666
application_1462718033130_0078,1463223080.0,0,6.916667
application_1462718033130_0078,1463223080.0,4,6.0000002
application_1462718033130_0078,1463223081.0,5,7.083334
application_1462718033130_0078,1463223081.0,2,7.2500005
application_1462718033130_0078,1463223081.0,3,6.0000002
application_1462718033130_0078,1463223083.0,1,5.9166666
application_1462718033130_0078,1463223083.0,0,7.333334
application_1462718033130_0078,1463223083.0,4,6.0000002
application_1462718033130_0078,1463223084.0,5,7.2500005
application_1462718033130_0078,1463223084.0,2,7.2500005
application_1462718033130_0078,1463223084.0,3,6.0000002
application_1462718033130_0078,1463223086.0,1,5.9166666
application_1462718033130_0078,1463223086.0,0,7.333334
application_1462718033130_0078,1463223086.0,4,6.0000002
application_1462718033130_0078,1463223087.0,2,7.5833336
application_1462718033130_0078,1463223087.0,3,6.0000002
application_1462718033130_0078,1463223087.0,5,7.2500005
application_1462718033130_0078,1463223089.0,1,6.25
application_1462718033130_0078,1463223089.0,0,8.083334
application_1462718033130_0078,1463223090.0,4,6.0000002
application_1462718033130_0078,1463223090.0,2,8.5
application_1462718033130_0078,1463223090.0,3,6.0000002
application_1462718033130_0078,1463223091.0,5,7.75
application_1462718033130_0078,1463223092.0,1,7.2500005
application_1462718033130_0078,1463223092.0,0,8.6666666
application_1462718033130_0078,1463223093.0,4,6.0000002
application_1462718033130_0078,1463223093.0,2,8.583333
application_1462718033130_0078,1463223093.0,3,6.0000002
application_1462718033130_0078,1463223094.0,5,8.583333
application_1462718033130_0078,1463223095.0,1,7.2500005
application_1462718033130_0078,1463223096.0,4,6.0000002
application_1462718033130_0078,1463223096.0,0,8.6666666
application_1462718033130_0078,1463223096.0,2,8.583333
application_1462718033130_0078,1463223096.0,3,6.0000002
application_1462718033130_0078,1463223097.0,5,8.583333
application_1462718033130_0078,1463223098.0,1,7.2500005
application_1462718033130_0078,1463223099.0,4,6.0000002
application_1462718033130_0078,1463223099.0,0,9.0
application_1462718033130_0078,1463223099.0,2,9.3333334
application_1462718033130_0078,1463223100.0,3,6.0000002
application_1462718033130_0078,1463223100.0,5,8.583333
application_1462718033130_0078,1463223101.0,1,7.2500005
application_1462718033130_0078,1463223102.0,4,6.0000002
application_1462718033130_0078,1463223102.0,0,9.583333
application_1462718033130_0078,1463223103.0,2,9.916668
application_1462718033130_0078,1463223103.0,3,6.0000002
application_1462718033130_0078,1463223103.0,5,9.25
application_1462718033130_0078,1463223104.0,1,7.2500005
application_1462718033130_0078,1463223105.0,4,6.0000002
application_1462718033130_0078,1463223105.0,0,10.000001
application_1462718033130_0078,1463223106.0,2,9.916668
application_1462718033130_0078,1463223106.0,3,6.0000002
application_1462718033130_0078,1463223106.0,5,9.916668
application_1462718033130_0078,1463223107.0,1,7.2500005
application_1462718033130_0078,1463223108.0,4,6.0000002
application_1462718033130_0078,1463223108.0,0,10.000001
application_1462718033130_0078,1463223109.0,2,10.1666674
application_1462718033130_0078,1463223109.0,3,6.0000002
application_1462718033130_0078,1463223110.0,5,9.916668
application_1462718033130_0078,1463223110.0,1,7.2500005
application_1462718033130_0078,1463223111.0,4,6.0000002
application_1462718033130_0078,1463223111.0,0,10.416667
application_1462718033130_0078,1463223112.0,2,11.2500004
application_1462718033130_0078,1463223112.0,3,6.0000002
application_1462718033130_0078,1463223113.0,5,10.333334
application_1462718033130_0078,1463223113.0,1,7.2500005
application_1462718033130_0078,1463223114.0,4,6.0000002
application_1462718033130_0078,1463223114.0,0,11.333334
application_1462718033130_0078,1463223115.0,2,11.2500004
application_1462718033130_0078,1463223115.0,3,7.083334
application_1462718033130_0078,1463223116.0,5,11.166667
application_1462718033130_0078,1463223116.0,1,7.2500005
application_1462718033130_0078,1463223117.0,4,7.083334
application_1462718033130_0078,1463223117.0,0,11.333334
application_1462718033130_0078,1463223118.0,2,11.2500004
application_1462718033130_0078,1463223118.0,3,7.333334
application_1462718033130_0078,1463223119.0,5,11.2500004
application_1462718033130_0078,1463223119.0,1,7.5
application_1462718033130_0078,1463223120.0,4,7.333334
application_1462718033130_0078,1463223121.0,0,11.416667
application_1462718033130_0078,1463223121.0,2,12.083334
application_1462718033130_0078,1463223121.0,3,7.333334
application_1462718033130_0078,1463223122.0,1,8.583333
application_1462718033130_0078,1463223123.0,5,11.2500004
application_1462718033130_0078,1463223123.0,4,7.333334
application_1462718033130_0078,1463223124.0,0,12.3333335
application_1462718033130_0078,1463223124.0,2,12.583333
application_1462718033130_0078,1463223124.0,3,8.0
application_1462718033130_0078,1463223125.0,1,8.583333
application_1462718033130_0078,1463223126.0,5,11.5833335
application_1462718033130_0078,1463223127.0,4,7.333334
application_1462718033130_0078,1463223127.0,0,12.666667
application_1462718033130_0078,1463223127.0,2,12.583333
application_1462718033130_0078,1463223128.0,3,8.3333336
application_1462718033130_0078,1463223128.0,1,8.583333
application_1462718033130_0078,1463223129.0,5,12.583333
application_1462718033130_0078,1463223130.0,4,8.583333
application_1462718033130_0078,1463223130.0,0,12.666667
application_1462718033130_0078,1463223130.0,2,12.583333
application_1462718033130_0078,1463223131.0,3,8.6666666
application_1462718033130_0078,1463223131.0,1,8.583333
application_1462718033130_0078,1463223132.0,5,12.583333
application_1462718033130_0078,1463223133.0,4,8.6666666
application_1462718033130_0078,1463223133.0,2,13.083334
application_1462718033130_0078,1463223133.0,0,13.083334
application_1462718033130_0078,1463223134.0,3,8.6666666
application_1462718033130_0078,1463223134.0,1,9.3333334
application_1462718033130_0078,1463223135.0,5,12.583333
application_1462718033130_0078,1463223136.0,4,8.6666666
application_1462718033130_0078,1463223136.0,2,13.916667
application_1462718033130_0078,1463223136.0,0,13.916667
application_1462718033130_0078,1463223137.0,3,8.6666666
application_1462718033130_0078,1463223137.0,1,9.916668
application_1462718033130_0078,1463223138.0,5,12.916666
application_1462718033130_0078,1463223139.0,4,8.6666666
application_1462718033130_0078,1463223139.0,2,13.916667
application_1462718033130_0078,1463223139.0,0,14.0
application_1462718033130_0078,1463223140.0,3,8.6666666
application_1462718033130_0078,1463223140.0,1,9.916668
application_1462718033130_0078,1463223142.0,2,13.916667
application_1462718033130_0078,1463223142.0,4,8.6666666
application_1462718033130_0078,1463223141.0,5,13.916667
application_1462718033130_0078,1463223142.0,0,14.0
application_1462718033130_0078,1463223143.0,3,8.6666666
application_1462718033130_0078,1463223144.0,1,9.916668
application_1462718033130_0078,1463223145.0,4,8.6666666
