applicationID,time,reducer,percentage
application_1462718033130_0096,1463243080.0,1,1.6666668
application_1462718033130_0096,1463243081.0,2,1.1666667
application_1462718033130_0096,1463243081.0,4,1.75
application_1462718033130_0096,1463243081.0,5,1.5833333
application_1462718033130_0096,1463243083.0,1,1.9166667
application_1462718033130_0096,1463243084.0,2,1.9166667
application_1462718033130_0096,1463243084.0,4,2.0
application_1462718033130_0096,1463243084.0,5,1.9166667
application_1462718033130_0096,1463243086.0,1,1.9166667
application_1462718033130_0096,1463243087.0,2,1.9166667
application_1462718033130_0096,1463243087.0,4,2.0
application_1462718033130_0096,1463243088.0,5,1.9166667
application_1462718033130_0096,1463243090.0,1,2.0
application_1462718033130_0096,1463243090.0,2,2.0
application_1462718033130_0096,1463243091.0,4,2.0
application_1462718033130_0096,1463243091.0,5,2.0
application_1462718033130_0096,1463243093.0,1,3.0000001
application_1462718033130_0096,1463243093.0,2,3.1666666
application_1462718033130_0096,1463243094.0,4,2.8333334
application_1462718033130_0096,1463243094.0,5,3.25
application_1462718033130_0096,1463243096.0,2,3.25
application_1462718033130_0096,1463243097.0,4,3.3333335
application_1462718033130_0096,1463243097.0,1,3.25
application_1462718033130_0096,1463243097.0,5,3.25
application_1462718033130_0096,1463243099.0,2,3.25
application_1462718033130_0096,1463243100.0,1,3.25
application_1462718033130_0096,1463243100.0,5,3.25
application_1462718033130_0096,1463243100.0,4,3.3333335
application_1462718033130_0096,1463243103.0,2,4.3333333
application_1462718033130_0096,1463243103.0,5,4.0833335
application_1462718033130_0096,1463243103.0,1,3.25
application_1462718033130_0096,1463243103.0,4,3.3333335
application_1462718033130_0096,1463243106.0,2,4.5833334
application_1462718033130_0096,1463243106.0,5,4.5833334
application_1462718033130_0096,1463243107.0,1,3.666667
application_1462718033130_0096,1463243107.0,4,4.0
application_1462718033130_0096,1463243109.0,2,4.5833334
application_1462718033130_0096,1463243109.0,5,4.5833334
application_1462718033130_0096,1463243110.0,1,4.5833334
application_1462718033130_0096,1463243110.0,4,4.6666667
application_1462718033130_0096,1463243112.0,2,5.5000003
application_1462718033130_0096,1463243113.0,5,5.4166667
application_1462718033130_0096,1463243113.0,1,4.5833334
application_1462718033130_0096,1463243113.0,4,4.6666667
application_1462718033130_0096,1463243116.0,2,5.9166666
application_1462718033130_0096,1463243116.0,5,5.9166666
application_1462718033130_0096,1463243116.0,1,4.5833334
application_1462718033130_0096,1463243117.0,4,5.3333335
application_1462718033130_0096,1463243117.0,0,0.0
application_1462718033130_0096,1463243119.0,2,5.9166666
application_1462718033130_0096,1463243119.0,5,5.9166666
application_1462718033130_0096,1463243119.0,1,5.5833336
application_1462718033130_0096,1463243120.0,4,6.0000002
application_1462718033130_0096,1463243121.0,3,0.58333334
application_1462718033130_0096,1463243122.0,0,0.4166667
application_1462718033130_0096,1463243122.0,2,6.8333335
application_1462718033130_0096,1463243122.0,1,5.9166666
application_1462718033130_0096,1463243122.0,5,6.5
application_1462718033130_0096,1463243123.0,4,6.0000002
application_1462718033130_0096,1463243124.0,3,1.2500001
application_1462718033130_0096,1463243125.0,2,7.2500005
application_1462718033130_0096,1463243125.0,0,0.9166667
application_1462718033130_0096,1463243126.0,5,7.2500005
application_1462718033130_0096,1463243126.0,1,5.9166666
application_1462718033130_0096,1463243126.0,4,6.0833335
application_1462718033130_0096,1463243128.0,2,7.2500005
application_1462718033130_0096,1463243129.0,5,7.2500005
application_1462718033130_0096,1463243129.0,4,7.333334
application_1462718033130_0096,1463243129.0,1,6.666667
application_1462718033130_0096,1463243129.0,3,1.5000001
application_1462718033130_0096,1463243131.0,2,7.5
application_1462718033130_0096,1463243132.0,5,7.833333
application_1462718033130_0096,1463243132.0,4,7.333334
application_1462718033130_0096,1463243132.0,1,7.2500005
application_1462718033130_0096,1463243132.0,3,2.0
application_1462718033130_0096,1463243133.0,0,1.75
application_1462718033130_0096,1463243134.0,2,8.5
application_1462718033130_0096,1463243135.0,5,8.583333
application_1462718033130_0096,1463243135.0,4,7.333334
application_1462718033130_0096,1463243136.0,3,2.0
application_1462718033130_0096,1463243136.0,1,7.2500005
application_1462718033130_0096,1463243136.0,0,2.0
application_1462718033130_0096,1463243137.0,2,8.583333
application_1462718033130_0096,1463243138.0,5,8.583333
application_1462718033130_0096,1463243138.0,4,7.333334
application_1462718033130_0096,1463243139.0,3,2.0
application_1462718033130_0096,1463243139.0,1,7.2500005
application_1462718033130_0096,1463243139.0,0,2.0
application_1462718033130_0096,1463243141.0,2,8.6666666
application_1462718033130_0096,1463243141.0,5,8.6666666
application_1462718033130_0096,1463243141.0,4,7.333334
application_1462718033130_0096,1463243142.0,3,2.0
application_1462718033130_0096,1463243142.0,1,7.2500005
application_1462718033130_0096,1463243142.0,0,2.0
application_1462718033130_0096,1463243144.0,2,9.166667
application_1462718033130_0096,1463243144.0,5,9.25
application_1462718033130_0096,1463243145.0,4,7.333334
application_1462718033130_0096,1463243145.0,1,7.2500005
application_1462718033130_0096,1463243145.0,3,2.0
application_1462718033130_0096,1463243145.0,0,2.0
application_1462718033130_0096,1463243147.0,2,9.916668
application_1462718033130_0096,1463243147.0,5,9.916668
application_1462718033130_0096,1463243148.0,4,8.583333
application_1462718033130_0096,1463243148.0,1,7.2500005
application_1462718033130_0096,1463243148.0,3,2.5000002
application_1462718033130_0096,1463243148.0,0,2.0
application_1462718033130_0096,1463243150.0,2,9.916668
application_1462718033130_0096,1463243150.0,5,9.916668
application_1462718033130_0096,1463243151.0,4,8.6666666
application_1462718033130_0096,1463243151.0,1,7.2500005
application_1462718033130_0096,1463243152.0,0,2.4166666
application_1462718033130_0096,1463243152.0,3,3.0833334
application_1462718033130_0096,1463243153.0,2,9.916668
application_1462718033130_0096,1463243153.0,5,9.916668
application_1462718033130_0096,1463243154.0,4,8.6666666
application_1462718033130_0096,1463243154.0,1,7.2500005
application_1462718033130_0096,1463243156.0,3,3.3333335
application_1462718033130_0096,1463243156.0,0,3.1666666
application_1462718033130_0096,1463243156.0,5,10.083334
application_1462718033130_0096,1463243156.0,2,10.083334
application_1462718033130_0096,1463243157.0,4,8.6666666
application_1462718033130_0096,1463243157.0,1,8.5
application_1462718033130_0096,1463243159.0,3,3.3333335
application_1462718033130_0096,1463243159.0,5,10.666667
application_1462718033130_0096,1463243159.0,2,10.666667
application_1462718033130_0096,1463243159.0,0,3.3333335
application_1462718033130_0096,1463243160.0,4,8.6666666
application_1462718033130_0096,1463243160.0,1,8.583333
application_1462718033130_0096,1463243162.0,3,3.3333335
application_1462718033130_0096,1463243162.0,5,11.2500004
application_1462718033130_0096,1463243162.0,2,11.2500004
application_1462718033130_0096,1463243163.0,0,3.3333335
application_1462718033130_0096,1463243163.0,4,8.6666666
application_1462718033130_0096,1463243163.0,1,8.583333
application_1462718033130_0096,1463243165.0,3,3.3333335
application_1462718033130_0096,1463243165.0,5,11.2500004
application_1462718033130_0096,1463243166.0,2,11.2500004
application_1462718033130_0096,1463243166.0,0,3.3333335
application_1462718033130_0096,1463243166.0,4,8.6666666
application_1462718033130_0096,1463243166.0,1,8.583333
application_1462718033130_0096,1463243168.0,3,3.3333335
application_1462718033130_0096,1463243169.0,5,11.5833335
