applicationID,time,reducer,percentage
application_1462718033130_0114,1463264655.0,1,1.9166667
application_1462718033130_0114,1463264658.0,0,1.1666667
application_1462718033130_0114,1463264658.0,1,1.9166667
application_1462718033130_0114,1463264659.0,2,1.8333334
application_1462718033130_0114,1463264661.0,0,2.0
application_1462718033130_0114,1463264661.0,1,1.9166667
application_1462718033130_0114,1463264661.0,3,2.0
application_1462718033130_0114,1463264662.0,2,1.9166667
application_1462718033130_0114,1463264662.0,4,1.9166667
application_1462718033130_0114,1463264664.0,0,2.0
application_1462718033130_0114,1463264664.0,1,2.6666667
application_1462718033130_0114,1463264665.0,2,1.9166667
application_1462718033130_0114,1463264665.0,4,2.0
application_1462718033130_0114,1463264665.0,3,2.0
application_1462718033130_0114,1463264667.0,0,2.0
application_1462718033130_0114,1463264667.0,1,3.25
application_1462718033130_0114,1463264668.0,2,2.0
application_1462718033130_0114,1463264668.0,4,2.0
application_1462718033130_0114,1463264668.0,3,2.0
application_1462718033130_0114,1463264671.0,0,3.25
application_1462718033130_0114,1463264671.0,1,3.25
application_1462718033130_0114,1463264671.0,2,3.1666666
application_1462718033130_0114,1463264671.0,4,2.3333333
application_1462718033130_0114,1463264671.0,3,2.6666667
application_1462718033130_0114,1463264674.0,0,3.3333335
application_1462718033130_0114,1463264674.0,1,3.5
application_1462718033130_0114,1463264674.0,2,3.25
application_1462718033130_0114,1463264674.0,4,3.3333335
application_1462718033130_0114,1463264674.0,3,3.3333335
application_1462718033130_0114,1463264677.0,0,3.3333335
application_1462718033130_0114,1463264677.0,1,4.5833334
application_1462718033130_0114,1463264677.0,2,3.25
application_1462718033130_0114,1463264677.0,4,3.3333335
application_1462718033130_0114,1463264678.0,3,3.3333335
application_1462718033130_0114,1463264680.0,0,4.1666668
application_1462718033130_0114,1463264680.0,1,4.5833334
application_1462718033130_0114,1463264680.0,2,3.25
application_1462718033130_0114,1463264680.0,4,3.3333335
application_1462718033130_0114,1463264681.0,3,3.3333335
application_1462718033130_0114,1463264683.0,0,4.6666667
application_1462718033130_0114,1463264683.0,1,4.5833334
application_1462718033130_0114,1463264683.0,4,3.3333335
application_1462718033130_0114,1463264683.0,2,3.666667
application_1462718033130_0114,1463264685.0,3,3.9166667
application_1462718033130_0114,1463264686.0,0,4.6666667
application_1462718033130_0114,1463264686.0,1,5.0000004
application_1462718033130_0114,1463264686.0,2,4.5833334
application_1462718033130_0114,1463264686.0,4,4.3333333
application_1462718033130_0114,1463264688.0,3,4.6666667
application_1462718033130_0114,1463264689.0,0,5.5833336
application_1462718033130_0114,1463264689.0,1,5.9166666
application_1462718033130_0114,1463264689.0,2,4.5833334
application_1462718033130_0114,1463264689.0,4,4.6666667
application_1462718033130_0114,1463264691.0,3,4.6666667
application_1462718033130_0114,1463264692.0,0,6.0000002
application_1462718033130_0114,1463264692.0,1,5.9166666
application_1462718033130_0114,1463264692.0,2,4.5833334
application_1462718033130_0114,1463264692.0,4,4.6666667
application_1462718033130_0114,1463264693.0,5,0.083333335
application_1462718033130_0114,1463264694.0,3,4.6666667
application_1462718033130_0114,1463264695.0,1,5.9166666
application_1462718033130_0114,1463264695.0,0,6.0000002
application_1462718033130_0114,1463264695.0,4,4.6666667
application_1462718033130_0114,1463264695.0,2,5.4166667
application_1462718033130_0114,1463264697.0,3,5.5833336
application_1462718033130_0114,1463264699.0,2,5.9166666
application_1462718033130_0114,1463264699.0,0,6.4166665
application_1462718033130_0114,1463264699.0,4,5.9166666
application_1462718033130_0114,1463264699.0,1,6.0000002
application_1462718033130_0114,1463264700.0,3,6.0000002
application_1462718033130_0114,1463264701.0,5,0.4166667
application_1462718033130_0114,1463264702.0,2,5.9166666
application_1462718033130_0114,1463264702.0,0,7.333334
application_1462718033130_0114,1463264702.0,4,6.0000002
application_1462718033130_0114,1463264702.0,1,7.2500005
application_1462718033130_0114,1463264703.0,3,6.0000002
application_1462718033130_0114,1463264705.0,1,7.2500005
application_1462718033130_0114,1463264705.0,4,6.0000002
application_1462718033130_0114,1463264705.0,0,7.333334
application_1462718033130_0114,1463264705.0,2,5.9166666
application_1462718033130_0114,1463264706.0,3,6.0000002
application_1462718033130_0114,1463264707.0,5,1.0
application_1462718033130_0114,1463264708.0,4,6.0000002
application_1462718033130_0114,1463264708.0,1,7.2500005
application_1462718033130_0114,1463264708.0,2,5.9166666
