applicationID,time,reducer,percentage
application_1462718033130_0110,1463257609.0,3,2.0
application_1462718033130_0110,1463257612.0,4,1.1666667
application_1462718033130_0110,1463257614.0,3,2.0
application_1462718033130_0110,1463257615.0,4,2.0
application_1462718033130_0110,1463257617.0,3,2.5000002
application_1462718033130_0110,1463257618.0,4,2.0
application_1462718033130_0110,1463257620.0,3,3.3333335
application_1462718033130_0110,1463257622.0,4,2.0
application_1462718033130_0110,1463257624.0,3,3.3333335
application_1462718033130_0110,1463257625.0,4,3.0000001
application_1462718033130_0110,1463257627.0,3,4.6666667
application_1462718033130_0110,1463257628.0,4,3.3333335
application_1462718033130_0110,1463257630.0,3,4.6666667
application_1462718033130_0110,1463257631.0,4,3.3333335
application_1462718033130_0110,1463257633.0,3,4.6666667
application_1462718033130_0110,1463257634.0,4,4.0833335
application_1462718033130_0110,1463257636.0,3,5.666667
application_1462718033130_0110,1463257637.0,4,4.6666667
application_1462718033130_0110,1463257639.0,3,6.0000002
application_1462718033130_0110,1463257640.0,4,4.6666667
application_1462718033130_0110,1463257642.0,3,6.0000002
application_1462718033130_0110,1463257642.0,0,0.0
application_1462718033130_0110,1463257642.0,2,0.0
application_1462718033130_0110,1463257643.0,4,4.6666667
application_1462718033130_0110,1463257645.0,3,7.083334
application_1462718033130_0110,1463257646.0,1,0.083333335
application_1462718033130_0110,1463257646.0,5,0.0
application_1462718033130_0110,1463257646.0,4,5.4166667
application_1462718033130_0110,1463257648.0,3,7.333334
application_1462718033130_0110,1463257649.0,4,6.0000002
application_1462718033130_0110,1463257650.0,0,0.4166667
application_1462718033130_0110,1463257651.0,5,0.25
application_1462718033130_0110,1463257651.0,2,0.4166667
application_1462718033130_0110,1463257651.0,3,7.333334
application_1462718033130_0110,1463257652.0,1,0.4166667
application_1462718033130_0110,1463257653.0,4,6.0000002
application_1462718033130_0110,1463257654.0,3,8.166667
application_1462718033130_0110,1463257656.0,0,0.9166667
application_1462718033130_0110,1463257656.0,2,0.75000003
application_1462718033130_0110,1463257656.0,4,6.0000002
